Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-30,,4,,SFO,@,LAC,L 27-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2018,2018-10-07,,5,,SFO,,ARI,L 18-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2018,2018-10-15,,6,,SFO,@,GNB,L 30-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2018,2018-10-21,,7,,SFO,,LAR,L 10-39,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2018,2018-10-28,,8,,SFO,@,ARI,L 15-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2018,2018-11-01,9,9,23.225,SFO,,OAK,W 34-3,*,16,22,72.73,262,3,0,151.9,0,0,11.91,14.64,4,-3,-0.75,0,1,0,0,0,-2,0,55,100%,0,0%,0,0%,
7,2018,2018-11-12,10,10,23.236,SFO,,NYG,L 23-27,*,27,39,69.23,250,1,2,73.7,0,0,6.41,4.62,2,1,0.50,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
8,2018,2018-11-25,11,12,23.249,SFO,@,TAM,L 9-27,*,18,32,56.25,221,1,2,62.1,4,27,6.91,4.72,2,-1,-0.50,0,1,0,0,1,0,0,64,100%,0,0%,0,0%,
9,2018,2018-12-02,12,13,23.256,SFO,@,SEA,L 16-43,*,30,48,62.50,414,2,1,95.3,3,28,8.63,8.52,2,1,0.50,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
10,2018,2018-12-09,13,14,23.263,SFO,,DEN,W 20-14,*,20,33,60.61,332,2,1,102.1,3,27,10.06,9.91,5,-10,-2.00,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
11,2018,2018-12-16,14,15,23.270,SFO,,SEA,W 26-23,*,20,29,68.97,275,1,0,110.6,3,18,9.48,10.17,2,-2,-1.00,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
12,2018,2018-12-23,15,16,23.277,SFO,,CHI,L 9-14,*,22,38,57.89,241,0,1,65.8,1,9,6.34,5.16,0,0,,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
13,2018,2018-12-30,16,17,23.284,SFO,@,LAR,L 32-48,*,23,33,69.70,282,3,3,88.2,3,18,8.55,6.27,1,-2,-2.00,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
14,2019,2019-09-08,,1,,SFO,@,TAM,W 31-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
