Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
18,2021,2021-09-19,2,2,22.095,MIN,@,ARI,L 33-34,*,10,6,65,10.83,1,60.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,87%,0,0%,0,0%,
19,2021,2021-09-26,3,3,22.102,MIN,,SEA,W 30-17,*,11,9,118,13.11,1,81.8%,10.73,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,83%,0,0%,0,0%,
20,2021,2021-10-03,4,4,22.109,MIN,,CLE,L 7-14,*,7,6,84,14.00,1,85.7%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,88%,0,0%,0,0%,
21,2021,2021-10-10,5,5,22.116,MIN,,DET,W 19-17,*,8,7,124,17.71,0,87.5%,15.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,90%,0,0%,0,0%,
22,2021,2021-10-17,6,6,22.123,MIN,@,CAR,W 34-28,*,14,8,80,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,84,94%,0,0%,0,0%,
23,2021,2021-10-31,7,8,22.137,MIN,,DAL,L 16-20,*,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,71%,0,0%,0,0%,
24,2021,2021-11-07,8,9,22.144,MIN,@,BAL,L 31-34,*,5,3,69,23.00,1,60.0%,13.80,1,11,11.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,80%,0,0%,0,0%,
25,2021,2021-11-14,9,10,22.151,MIN,@,LAC,W 27-20,*,11,9,143,15.89,0,81.8%,13.00,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,76%,0,0%,0,0%,
26,2021,2021-11-21,10,11,22.158,MIN,,GNB,W 34-31,*,10,8,169,21.13,2,80.0%,16.90,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,63,90%,0,0%,0,0%,
27,2021,2021-11-28,11,12,22.165,MIN,@,SFO,L 26-34,*,9,4,83,20.75,0,44.4%,9.22,0,0,,0,1,1,100.00,24,0,0,118.7,0,0,24.00,24.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,93%,0,0%,0,0%,
28,2021,2021-12-05,12,13,22.172,MIN,@,DET,L 27-29,*,14,11,182,16.55,1,78.6%,13.00,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,91%,0,0%,0,0%,
29,2021,2021-12-09,13,14,22.176,MIN,,PIT,W 36-28,*,15,7,79,11.29,1,46.7%,5.27,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,96%,0,0%,0,0%,
30,2021,2021-12-20,14,15,22.187,MIN,@,CHI,W 17-9,*,10,4,47,11.75,1,40.0%,4.70,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,92%,0,0%,0,0%,
31,2021,2021-12-26,15,16,22.193,MIN,,LAR,L 23-30,*,12,8,116,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,
32,2021,2022-01-02,16,17,22.200,MIN,@,GNB,L 10-37,*,11,6,58,9.67,0,54.5%,5.27,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
33,2021,2022-01-09,17,18,22.207,MIN,,CHI,W 31-17,*,7,5,107,21.40,1,71.4%,15.29,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,96%,0,0%,0,0%,
34,2022,2022-09-11,1,1,23.087,MIN,,GNB,W 23-7,*,11,9,184,20.44,2,81.8%,16.73,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,57,92%,0,0%,0,0%,
35,2022,2022-09-19,2,2,23.095,MIN,@,PHI,L 7-24,*,12,6,48,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%,
36,2022,2022-09-25,3,3,23.101,MIN,,DET,W 28-24,*,6,3,14,4.67,0,50.0%,2.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
37,2022,2022-10-02,4,4,23.108,MIN,@,NOR,W 28-25,*,13,10,147,14.70,0,76.9%,11.31,1,3,3.00,1,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,94%,0,0%,0,0%,
38,2022,2022-10-09,5,5,23.115,MIN,,CHI,W 29-22,*,13,12,154,12.83,0,92.3%,11.85,0,0,,0,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,
39,2022,2022-10-16,6,6,23.122,MIN,@,MIA,W 24-16,*,8,6,107,17.83,0,75.0%,13.38,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,49,94%,0,0%,0,0%,
40,2022,2022-10-30,7,8,23.136,MIN,,ARI,W 34-26,*,8,6,98,16.33,0,75.0%,12.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,
41,2022,2022-11-06,8,9,23.143,MIN,@,WAS,W 20-17,*,13,7,115,16.43,1,53.8%,8.85,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
42,2022,2022-11-13,9,10,23.150,MIN,@,BUF,W 33-30,*,16,10,193,19.30,1,62.5%,12.06,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,
43,2022,2022-11-20,10,11,23.157,MIN,,DAL,L 3-40,*,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,79%,0,0%,0,0%,
