Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,2014-09-07,1,1,21.017,TAM,,CAR,L 14-20,*,9,5,37,7.40,0,55.6%,4.11,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,
2,2014,2014-09-14,2,2,21.024,TAM,,STL,L 17-19,*,4,4,49,12.25,0,100.0%,12.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,89%,0,0%,0,0%,
3,2014,2014-09-18,3,3,21.028,TAM,@,ATL,L 14-56,*,7,4,52,13.00,0,57.1%,7.43,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,67%,0,0%,0,0%,
4,2014,2014-09-28,4,4,21.038,TAM,@,PIT,W 27-24,*,7,4,65,16.25,1,57.1%,9.29,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,34,52%,0,0%,0,0%,
5,2014,2014-10-05,,5,,TAM,@,NOR,L 31-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2014,2014-10-12,6,6,21.052,TAM,,BAL,L 17-48,*,8,4,55,13.75,1,50.0%,6.88,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,79%,0,0%,0,0%,
7,2014,2014-10-26,7,8,21.066,TAM,,MIN,L 13-19,*,7,4,78,19.50,0,57.1%,11.14,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,
8,2014,2014-11-02,8,9,21.073,TAM,@,CLE,L 17-22,*,11,7,124,17.71,2,63.6%,11.27,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,52,80%,0,0%,0,0%,
9,2014,2014-11-09,9,10,21.080,TAM,,ATL,L 17-27,*,9,7,125,17.86,1,77.8%,13.89,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,85%,0,0%,0,0%,
10,2014,2014-11-16,10,11,21.087,TAM,@,WAS,W 27-7,*,9,7,209,29.86,2,77.8%,23.22,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,47,94%,0,0%,0,0%,
11,2014,2014-11-23,11,12,21.094,TAM,@,CHI,L 13-21,*,11,3,47,15.67,1,27.3%,4.27,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,74,97%,0,0%,0,0%,
12,2014,2014-11-30,12,13,21.101,TAM,,CIN,L 13-14,*,8,4,49,12.25,0,50.0%,6.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,91%,0,0%,0,0%,
13,2014,2014-12-07,13,14,21.108,TAM,@,DET,L 17-34,*,11,4,45,11.25,2,36.4%,4.09,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,95%,0,0%,0,0%,
14,2014,2014-12-14,14,15,21.115,TAM,@,CAR,L 17-19,*,8,2,13,6.50,1,25.0%,1.63,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,96%,0,0%,0,0%,
15,2014,2014-12-21,15,16,21.122,TAM,,GNB,L 3-20,*,7,4,49,12.25,0,57.1%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,92%,0,0%,0,0%,
16,2014,2014-12-28,16,17,21.129,TAM,,NOR,L 20-23,*,6,5,54,10.80,1,83.3%,9.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,48%,0,0%,0,0%,
17,2015,2015-09-13,,1,,TAM,,TEN,L 14-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2015,2015-09-20,2,2,22.030,TAM,@,NOR,W 26-19,,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,61%,0,0%,0,0%,
