Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
27,2019,2019-11-24,11,12,23.258,CLE,,MIA,W 41-24,,0,0,,0,1,17,17.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,73%,
28,2019,2019-12-01,12,13,23.265,CLE,@,PIT,L 13-20,,0,0,,0,2,21,10.50,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,84%,
29,2019,2019-12-08,13,14,23.272,CLE,,CIN,W 27-19,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,81%,
30,2019,2019-12-15,14,15,23.279,CLE,@,ARI,L 24-38,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,78%,
31,2019,2019-12-22,15,16,23.286,CLE,,BAL,L 15-31,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,22,92%,
32,2019,2019-12-29,16,17,23.293,CLE,@,CIN,L 23-33,,0,0,,0,1,19,19.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,86%,
33,2020,2020-09-13,1,1,24.186,CLE,@,BAL,L 6-38,,0,0,,0,0,0,,0,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,28,47%,20,80%,
34,2020,2020-09-17,2,2,24.190,CLE,,CIN,W 35-30,*,0,0,,0,0,0,,0,0,0,0.0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,76,83%,16,59%,
35,2020,2020-09-27,3,3,24.200,CLE,,WAS,W 34-20,*,0,0,,0,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0%,30,47%,21,75%,
36,2020,2020-10-04,4,4,24.207,CLE,@,DAL,W 49-38,*,0,0,,0,0,0,,0,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,48%,23,74%,
37,2020,2020-10-11,5,5,24.214,CLE,,IND,W 32-23,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,22,79%,
38,2020,2020-10-18,6,6,24.221,CLE,@,PIT,L 7-38,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,26,97%,
39,2020,2020-10-25,7,7,24.228,CLE,@,CIN,W 37-34,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,22,79%,
40,2020,2020-11-01,8,8,24.235,CLE,,LVR,L 6-16,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,15,83%,
41,2020,2020-11-15,9,10,24.249,CLE,,HOU,W 10-7,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,15,88%,
42,2020,2020-11-22,10,11,24.256,CLE,,PHI,W 22-17,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,24,83%,
43,2020,2020-11-29,11,12,24.263,CLE,@,JAX,W 27-25,,0,0,,0,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,38%,19,73%,
44,2020,2020-12-06,12,13,24.270,CLE,@,TEN,W 41-35,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,4,5%,23,77%,
45,2020,2020-12-14,13,14,24.278,CLE,,BAL,L 42-47,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,27,82%,
46,2020,2020-12-20,14,15,24.284,CLE,@,NYG,W 20-6,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,16,84%,
47,2020,2020-12-27,15,16,24.291,CLE,@,NYJ,L 16-23,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,30,88%,
48,2020,2021-01-03,16,17,24.298,CLE,,PIT,W 24-22,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,84%,
49,2021,2021-09-12,1,1,25.185,HOU,,JAX,W 37-21,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,28,80%,
50,2021,2021-09-19,2,2,25.192,HOU,@,CLE,L 21-31,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,10%,21,84%,
