Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,24.103,TAM,@,MIN,W 20-17,,,,,,,,,,,,,,0,0%,26,41%,8,29%
2,2023,2023-09-17,2,2,24.110,TAM,,CHI,W 27-17,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,23,43%,7,26%
3,2023,2023-09-25,3,3,24.118,TAM,,PHI,L 11-25,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,25,31%,6,30%
4,2023,2023-10-01,4,4,24.124,TAM,@,NOR,W 26-9,,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0%,21,32%,6,23%
5,2023,2023-10-15,5,6,24.138,TAM,,DET,L 6-20,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0%,30,43%,7,28%
6,2023,2023-10-22,6,7,24.145,TAM,,ATL,L 13-16,,0.0,0,1,1,0,0,0,0,0,1,-2,0,0,0%,20,31%,7,33%
7,2023,2023-10-26,7,8,24.149,TAM,@,BUF,L 18-24,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0%,24,35%,8,31%
8,2023,2023-11-05,8,9,24.159,TAM,@,HOU,L 37-39,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,24%,6,18%
9,2023,2023-11-12,9,10,24.166,TAM,,TEN,W 20-6,,1.0,2,0,2,2,2,0,0,0,0,0,0,0,0%,27,43%,6,26%
10,2023,2023-11-19,10,11,24.173,TAM,@,SFO,L 14-27,,2.0,4,0,4,3,2,0,0,0,0,0,0,0,0%,21,35%,8,37%
11,2023,2023-11-26,11,12,24.180,TAM,@,IND,L 20-27,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,48,66%,7,26%
12,2023,2023-12-03,12,13,24.187,TAM,,CAR,W 21-18,*,1.0,3,3,6,0,0,0,0,0,0,0,0,0,0%,47,65%,2,7%
13,2023,2023-12-10,13,14,24.194,TAM,@,ATL,W 29-25,*,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0%,37,51%,6,19%
14,2023,2023-12-17,14,15,24.201,TAM,@,GNB,W 34-20,*,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0%,36,60%,5,20%
15,2023,2023-12-24,15,16,24.208,TAM,,JAX,W 30-12,*,1.5,4,1,5,2,1,0,0,1,1,0,0,0,0%,35,53%,1,5%
16,2023,2023-12-31,16,17,24.215,TAM,,NOR,L 13-23,*,0.0,2,0,2,2,0,0,0,0,0,0,0,0,0%,46,66%,6,23%
17,2023,2024-01-07,17,18,24.222,TAM,@,CAR,W 9-0,*,1.0,3,2,5,1,1,0,0,0,0,0,0,0,0%,32,62%,1,5%
18,2024,2024-09-08,1,1,25.101,TAM,,WAS,W 37-20,*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,54%,4,15%
19,2024,2024-09-15,2,2,25.108,TAM,@,DET,W 20-16,*,0.0,1,1,2,1,3,0,0,0,0,0,0,0,0%,65,76%,6,23%
20,2024,2024-09-22,3,3,25.115,TAM,,DEN,L 7-26,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,45,66%,6,27%
21,2024,2024-09-29,4,4,25.122,TAM,,PHI,W 33-16,*,1.0,2,0,2,1,0,0,0,1,0,0,0,0,0%,36,63%,2,7%
22,2024,2024-10-03,5,5,25.126,TAM,@,ATL,L 30-36,*,0.0,4,1,5,1,2,0,0,0,0,0,0,0,0%,49,56%,10,31%
23,2024,2024-10-13,6,6,25.136,TAM,@,NOR,W 51-27,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0%,40,57%,5,14%
24,2024,2024-10-21,7,7,25.144,TAM,,BAL,L 31-41,*,1.0,5,0,5,2,1,0,0,0,0,0,0,0,0%,35,59%,7,24%
25,2024,2024-10-27,8,8,25.150,TAM,,ATL,L 26-31,*,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0%,38,61%,7,26%
26,2024,2024-11-04,9,9,25.158,TAM,@,KAN,L 24-30,*,0.0,3,2,5,2,0,0,0,0,0,0,0,0,0%,61,72%,6,21%
27,2024,2024-11-10,10,10,25.164,TAM,,SFO,L 20-23,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0%,46,72%,9,31%
28,2024,2024-11-24,11,12,25.178,TAM,@,NYG,W 30-7,*,0.0,3,0,3,0,2,0,0,0,0,0,0,0,0%,47,80%,2,10%
