Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.328,TAM,,SFO,L 17-31,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,84%,
2,2019,2019-09-12,2,2,22.332,TAM,@,CAR,W 20-14,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,17,57%,
3,2019,2019-09-22,,3,,TAM,,NYG,L 31-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2019,2019-09-29,,4,,TAM,@,LAR,W 55-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2019,2019-10-06,,5,,TAM,@,NOR,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2019,2019-10-13,6,6,22.363,TAM,,CAR,L 26-37,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,2,3%,18,46%,
7,2019,2019-10-27,7,8,23.012,TAM,@,TEN,L 23-27,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,1,2%,23,79%,
8,2019,2019-11-03,8,9,23.019,TAM,@,SEA,L 34-40,,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0%,57,77%,10,28%,
9,2019,2019-11-10,9,10,23.026,TAM,,ARI,W 30-27,,0,0,,0,0,0,0.0,2,0,2,1,0,1,0,0,4,0,0,0,0,0,0,0,0%,32,48%,16,50%,
10,2019,2019-11-17,10,11,23.033,TAM,,NOR,L 17-34,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,11,42%,
11,2019,2019-11-24,11,12,23.040,TAM,@,ATL,W 35-22,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0%,67,79%,16,47%,
12,2019,2019-12-01,12,13,23.047,TAM,@,JAX,W 28-11,*,0,0,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,10%,2,8%,
13,2019,2019-12-08,13,14,23.054,TAM,,IND,W 38-35,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,51,81%,6,19%,
14,2019,2019-12-15,14,15,23.061,TAM,@,DET,W 38-17,,1,0,0.00,0,0,0,0.0,3,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0%,41,64%,8,27%,
15,2019,2019-12-21,15,16,23.067,TAM,,HOU,L 20-23,*,0,0,,0,0,0,0.0,1,0,1,0,0,1,31,0,1,0,0,0,0,0,0,0,0%,41,62%,7,23%,
16,2019,2019-12-29,16,17,23.075,TAM,,ATL,L 22-28,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,80%,6,21%,
17,2020,2020-09-13,1,1,23.334,TAM,@,NOR,L 23-34,,0,0,,0,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,51%,24,73%,
18,2020,2020-09-20,2,2,23.341,TAM,,CAR,W 31-17,,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,74%,10,40%,
19,2020,2020-09-27,3,3,23.348,TAM,@,DEN,W 28-10,*,0,0,,0,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,87%,10,34%,
