Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,22.149,ARI,,WAS,L 6-24,,4,24,6.00,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,32%,0,0%,5,25%,
2,2018,2018-09-16,2,2,22.156,ARI,@,LAR,L 0-34,,1,5,5.00,0,5,5,15,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,22%,0,0%,5,28%,
3,2018,2018-09-23,3,3,22.163,ARI,,CHI,L 14-16,,5,10,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,16%,0,0%,9,41%,
4,2018,2018-09-30,4,4,22.170,ARI,,SEA,L 17-20,,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,12%,0,0%,4,14%,
5,2018,2018-10-07,5,5,22.177,ARI,@,SFO,W 28-18,,1,-1,-1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,6%,0,0%,4,15%,
6,2018,2018-10-14,6,6,22.184,ARI,@,MIN,L 17-27,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,7%,0,0%,6,21%,
7,2018,2018-10-18,7,7,22.188,ARI,,DEN,L 10-45,,5,9,1.80,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,33%,0,0%,8,25%,
8,2018,2018-10-28,8,8,22.198,ARI,,SFO,W 18-15,,2,9,4.50,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,20%,0,0%,9,35%,
9,2018,2018-11-11,9,10,22.212,ARI,@,KAN,L 14-26,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,23%,0,0%,6,24%,
10,2018,2018-11-18,10,11,22.219,ARI,,OAK,L 21-23,,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,11,20%,0,0%,12,36%,
11,2018,2018-11-25,11,12,22.226,ARI,@,LAC,L 10-45,,5,0,0.00,0,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,9,19%,0,0%,16,57%,
12,2018,2018-12-02,12,13,22.233,ARI,@,GNB,W 20-17,,5,53,10.60,2,2,2,13,6.50,0,100.0%,6.50,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,13,21%,0,0%,15,48%,
13,2018,2018-12-09,13,14,22.240,ARI,,DET,L 3-17,,3,14,4.67,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,10,14%,0,0%,12,50%,
14,2018,2018-12-16,14,15,22.247,ARI,@,ATL,L 14-40,,8,22,2.75,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,25,37%,0,0%,18,55%,
15,2018,2018-12-23,15,16,22.254,ARI,,LAR,L 9-31,,4,20,5.00,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,13,25%,0,0%,15,58%,
16,2018,2018-12-30,16,17,22.261,ARI,@,SEA,L 24-27,,6,14,2.33,0,2,2,4,2.00,0,100.0%,2.00,1,18,18.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,16,24%,0,0%,23,70%,
17,2019,2019-09-08,1,1,23.148,ARI,,DET,T 27-27,,1,5,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,10,11%,0,0%,15,38%,
18,2019,2019-09-15,2,2,23.155,ARI,@,BAL,L 17-23,,1,2,2.00,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,40%,0,0%,11,39%,
19,2019,2019-09-22,3,3,23.162,ARI,,CAR,L 20-38,,3,15,5.00,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,13,43%,
20,2019,2019-09-29,4,4,23.169,ARI,,SEA,L 10-27,*,6,37,6.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,21%,0,0%,10,38%,
21,2019,2019-10-06,5,5,23.176,ARI,@,CIN,W 26-23,,8,68,8.50,1,4,3,18,6.00,0,75.0%,4.50,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,36%,0,0%,12,40%,
22,2019,2019-10-13,6,6,23.183,ARI,,ATL,W 34-33,,5,34,6.80,0,2,2,33,16.50,1,100.0%,16.50,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,20,29%,0,0%,11,33%,
23,2019,2019-10-20,7,7,23.190,ARI,@,NYG,W 27-21,,27,126,4.67,3,4,2,24,12.00,0,50.0%,6.00,0,0,,0,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,60,94%,0,0%,6,21%,
24,2019,2019-10-27,8,8,23.197,ARI,@,NOR,L 9-31,*,7,8,1.14,0,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,61%,0,0%,0,0%,
25,2019,2019-10-31,,9,,ARI,,SFO,L 25-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2019,2019-11-10,,10,,ARI,@,TAM,L 27-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2019,2019-11-17,,11,,ARI,@,SFO,L 26-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2019,2019-12-01,12,13,23.232,ARI,,LAR,L 7-34,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,13,46%,
29,2019,2019-12-08,13,14,23.239,ARI,,PIT,L 17-23,,1,9,9.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,11,19%,0,0%,16,64%,
30,2019,2019-12-15,14,15,23.246,ARI,,CLE,W 38-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,15,56%,
31,2019,2019-12-22,15,16,23.253,ARI,@,SEA,W 27-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,0,0%,23,66%,
32,2019,2019-12-29,16,17,23.260,ARI,@,LAR,L 24-31,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,14,48%,
33,2020,2020-09-13,1,1,24.153,ARI,@,SFO,W 24-20,,6,26,4.33,0,5,3,19,6.33,1,60.0%,3.80,1,42,42.00,0,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,28,34%,0,0%,5,18%,
34,2020,2020-09-20,2,2,24.160,ARI,,WAS,W 30-15,,3,4,1.33,0,4,3,9,3.00,0,75.0%,2.25,1,0,0.00,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,27,35%,0,0%,8,29%,
