Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
99,2023,2024-01-07,17,18,28.336,TAM,@,CAR,W 9-0,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,73%,0,0%,
100,2024,2024-09-08,1,1,29.216,TAM,,WAS,W 37-20,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,59%,4,15%,
101,2024,2024-09-15,2,2,29.223,TAM,@,DET,W 20-16,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,39,46%,3,12%,
102,2024,2024-09-22,3,3,,TAM,,DEN,L 7-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
103,2024,2024-09-29,4,4,29.237,TAM,,PHI,W 33-16,*,0,0,0,,0,0.0%,,0,0,1.0,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,68%,2,7%,
104,2024,2024-10-03,5,5,29.241,TAM,@,ATL,L 30-36,*,0,0,0,,0,0.0%,,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,62%,9,28%,
105,2024,2024-10-13,6,6,29.251,TAM,@,NOR,W 51-27,*,0,0,0,,0,0.0%,,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,60%,6,16%,
106,2024,2024-10-21,7,7,29.259,TAM,,BAL,L 31-41,*,0,0,0,,0,0.0%,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,64%,7,24%,
107,2024,2024-10-27,8,8,29.265,TAM,,ATL,L 26-31,*,0,0,0,,0,0.0%,,0,0,0.0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,73%,7,26%,
108,2024,2024-11-04,9,9,29.273,TAM,@,KAN,L 24-30,*,0,0,0,,0,0.0%,,0,0,2.0,7,3,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,60,71%,6,21%,
109,2024,2024-11-10,10,10,29.279,TAM,,SFO,L 20-23,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,67%,9,31%,
110,2024,2024-11-24,11,12,29.293,TAM,@,NYG,W 30-7,*,0,0,0,,0,0.0%,,0,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3%,32,54%,2,10%,
