Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
15,2018,2018-12-23,15,16,23.321,TAM,@,DAL,L 20-27,*,0,0,0,,0,0.0%,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,85%,6,22%,
16,2018,2018-12-30,16,17,23.328,TAM,,ATL,L 32-34,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,68%,6,19%,
17,2019,2019-09-08,1,1,24.215,TAM,,SFO,L 17-31,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,70%,6,24%,
18,2019,2019-09-12,2,2,24.219,TAM,@,CAR,W 20-14,*,0,0,0,,0,0.0%,,0,0,0.0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,57,76%,4,13%,
19,2019,2019-09-22,3,3,24.229,TAM,,NYG,L 31-32,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,41,66%,4,12%,
20,2019,2019-09-29,4,4,24.236,TAM,@,LAR,W 55-40,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,48,54%,7,18%,
21,2019,2019-10-06,5,5,24.243,TAM,@,NOR,L 24-31,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,59%,7,23%,
22,2019,2019-10-13,6,6,24.250,TAM,,CAR,L 26-37,*,0,0,0,,0,0.0%,,0,0,0.5,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,66%,8,21%,
23,2019,2019-10-27,7,8,24.264,TAM,@,TEN,L 23-27,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,31,53%,6,21%,
24,2019,2019-11-03,8,9,24.271,TAM,@,SEA,L 34-40,*,0,0,0,,0,0.0%,,0,0,0.0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,59,80%,7,19%,
25,2019,2019-11-10,9,10,24.278,TAM,,ARI,W 30-27,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,4%,49,73%,5,16%,
26,2019,2019-11-17,10,11,24.285,TAM,,NOR,L 17-34,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,69%,7,27%,
27,2019,2019-11-24,11,12,24.292,TAM,@,ATL,W 35-22,*,1,1,1,1.00,1,100.0%,1.00,1,6,1.0,1,1,2,1,1,0,0,0,2,0,0,0,0,0,0,1,2%,42,49%,6,18%,
28,2019,2019-12-01,12,13,24.299,TAM,@,JAX,W 28-11,*,,,,,,0.0%,,0,0,,,,,,,,,,,0,,,0,0,0,1,1%,39,57%,2,8%,
29,2019,2019-12-08,13,14,24.306,TAM,,IND,W 38-35,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1%,39,62%,6,19%,
30,2019,2019-12-15,14,15,24.313,TAM,@,DET,W 38-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,48,75%,10,33%,
31,2019,2019-12-21,15,16,24.319,TAM,,HOU,L 20-23,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,73%,13,43%,
32,2019,2019-12-29,16,17,24.327,TAM,,ATL,L 22-28,*,0,0,0,,0,0.0%,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2%,69,78%,11,39%,
33,2020,2020-09-13,1,1,25.221,TAM,@,NOR,L 23-34,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,84%,12,36%,
34,2020,2020-09-20,2,2,25.228,TAM,,CAR,W 31-17,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,56%,9,36%,
35,2020,2020-09-27,3,3,25.235,TAM,@,DEN,W 28-10,*,0,0,0,,0,0.0%,,0,0,1.0,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,37,59%,7,24%,
36,2020,2020-10-04,4,4,25.242,TAM,,LAC,W 38-31,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,83%,13,41%,
37,2020,2020-10-08,5,5,25.246,TAM,@,CHI,L 19-20,*,0,0,0,,0,0.0%,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,70%,8,29%,
38,2020,2020-10-18,6,6,,TAM,,GNB,W 38-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
39,2020,2020-10-25,7,7,,TAM,@,LVR,W 45-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
40,2020,2020-11-02,8,8,,TAM,@,NYG,W 25-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
