Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.113,TAM,,SFO,L 17-31,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,4,6%,2,8%,
2,2019,2019-09-12,2,2,23.117,TAM,@,CAR,W 20-14,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,92%,5,17%,
3,2019,2019-09-22,3,3,23.127,TAM,,NYG,L 31-32,*,0,0,,0,0,0,0.0,4,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,60,97%,9,26%,
4,2019,2019-09-29,4,4,23.134,TAM,@,LAR,W 55-40,*,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,89,100%,8,21%,
5,2019,2019-10-06,5,5,23.141,TAM,@,NOR,L 24-31,*,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,94%,5,17%,
6,2019,2019-10-13,,6,,TAM,,CAR,L 26-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2019,2019-10-27,7,8,23.162,TAM,@,TEN,L 23-27,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,1,2%,0,0%,
8,2019,2019-11-03,8,9,23.169,TAM,@,SEA,L 34-40,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,26%,16,44%,
9,2019,2019-11-10,9,10,23.176,TAM,,ARI,W 30-27,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,32,48%,7,22%,
10,2019,2019-11-17,10,11,23.183,TAM,,NOR,L 17-34,*,0,0,,0,0,0,1.0,5,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,47,70%,8,31%,
11,2019,2019-11-24,11,12,23.190,TAM,@,ATL,W 35-22,,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,51,60%,8,24%,
12,2019,2019-12-01,12,13,23.197,TAM,@,JAX,W 28-11,,0,0,,0,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,49%,3,13%,
13,2019,2019-12-08,13,14,23.204,TAM,,IND,W 38-35,,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,1,-1,0,0,0%,27,43%,15,48%,
14,2019,2019-12-15,14,15,23.211,TAM,@,DET,W 38-17,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,23,36%,6,20%,
15,2019,2019-12-21,15,16,23.217,TAM,,HOU,L 20-23,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,41,62%,12,40%,
16,2019,2019-12-29,16,17,23.225,TAM,,ATL,L 22-28,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,53,60%,12,43%,
17,2020,2020-09-13,1,1,24.118,TAM,@,NOR,L 23-34,,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0%,0,0%,21,64%,
18,2020,2020-09-20,2,2,24.125,TAM,,CAR,W 31-17,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,15,60%,
19,2020,2020-09-27,3,3,24.132,TAM,@,DEN,W 28-10,,0,0,,0,0,0,0.0,3,1,4,0,0,1,30,0,1,0,0,0,0,0,0,0,0%,42,67%,19,66%,
20,2020,2020-10-04,4,4,24.139,TAM,,LAC,W 38-31,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,19,59%,
21,2020,2020-10-08,5,5,24.143,TAM,@,CHI,L 19-20,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,13,46%,
22,2020,2020-10-18,6,6,24.153,TAM,,GNB,W 38-10,,0,0,,0,0,0,0.0,0,0,0,0,0,1,37,0,1,0,0,0,0,0,0,0,0%,10,16%,5,17%,
23,2020,2020-10-25,7,7,24.160,TAM,@,LVR,W 45-20,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,13,20%,13,42%,
24,2020,2020-11-02,8,8,24.168,TAM,@,NYG,W 25-23,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,27%,10,37%,
25,2020,2020-11-08,9,9,24.174,TAM,,NOR,L 3-38,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,31,0,0,0%,7,10%,6,29%,
26,2020,2020-11-15,10,10,24.181,TAM,@,CAR,W 46-23,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,15,31%,15,47%,
27,2020,2020-11-23,11,11,24.189,TAM,,LAR,L 24-27,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,31%,5,17%,
28,2020,2020-11-29,12,12,24.195,TAM,,KAN,L 24-27,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,11%,8,28%,
29,2020,2020-12-13,13,14,24.209,TAM,,MIN,W 26-14,,0,0,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,29%,1,5%,
30,2020,2020-12-20,14,15,24.216,TAM,@,ATL,W 31-27,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,23%,17,52%,
31,2020,2020-12-26,15,16,24.222,TAM,@,DET,W 47-7,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,9%,10,33%,
32,2020,2021-01-03,16,17,24.230,TAM,,ATL,W 44-27,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,7,10%,0,0%,
33,2021,2021-09-09,1,1,25.114,TAM,,DAL,W 31-29,,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,82%,3,9%,
34,2021,2021-09-19,2,2,25.124,TAM,,ATL,W 48-25,,0,0,,0,2,12,0.0,4,0,4,0,0,2,46,2,3,0,0,0,0,0,0,0,0%,39,54%,4,13%,
35,2021,2021-09-26,3,3,25.131,TAM,@,LAR,L 24-34,,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,35%,3,10%,
36,2021,2021-10-03,4,4,25.138,TAM,@,NWE,W 19-17,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,41%,4,14%,
37,2021,2021-10-10,5,5,25.145,TAM,,MIA,W 45-17,*,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,98%,3,11%,
38,2021,2021-10-14,6,6,25.149,TAM,@,PHI,W 28-22,*,0,0,,0,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,100%,5,21%,
39,2021,2021-10-24,7,7,25.159,TAM,,CHI,W 38-3,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,8,12%,4,16%,
40,2021,2021-10-31,8,8,25.166,TAM,@,NOR,L 27-36,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,13%,3,10%,
41,2021,2021-11-14,9,10,25.180,TAM,@,WAS,L 19-29,*,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,47,64%,2,8%,
42,2021,2021-11-22,10,11,25.188,TAM,,NYG,W 30-10,,0,0,,0,0,0,0.0,2,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,41,71%,3,12%,
43,2021,2021-11-28,11,12,25.194,TAM,@,IND,W 38-31,,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0%,37,54%,10,32%,
44,2021,2021-12-05,12,13,,TAM,@,ATL,W 30-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
