Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,21.233,TAM,@,NOR,L 23-34,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,70,100%,0,0%,4,12%,
2,2020,2020-09-20,2,2,21.240,TAM,,CAR,W 31-17,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,61,100%,0,0%,5,20%,
3,2020,2020-09-27,3,3,21.247,TAM,@,DEN,W 28-10,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,5,17%,
4,2020,2020-10-04,4,4,21.254,TAM,,LAC,W 38-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,76,100%,0,0%,7,22%,
5,2020,2020-10-08,5,5,21.258,TAM,@,CHI,L 19-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,71,100%,0,0%,5,18%,
6,2020,2020-10-18,6,6,21.268,TAM,,GNB,W 38-10,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,64,100%,0,0%,6,20%,
7,2020,2020-10-25,7,7,21.275,TAM,@,LVR,W 45-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,72,100%,0,0%,7,23%,
8,2020,2020-11-02,8,8,21.283,TAM,@,NYG,W 25-23,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,70,100%,0,0%,5,19%,
9,2020,2020-11-08,9,9,21.289,TAM,,NOR,L 3-38,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,50,100%,0,0%,1,5%,
10,2020,2020-11-15,10,10,21.296,TAM,@,CAR,W 46-23,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,80,100%,0,0%,9,28%,
11,2020,2020-11-23,11,11,21.304,TAM,,LAR,L 24-27,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,4,13%,
12,2020,2020-11-29,12,12,21.310,TAM,,KAN,L 24-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,59,100%,0,0%,4,14%,
13,2020,2020-12-13,13,14,21.324,TAM,,MIN,W 26-14,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,51,100%,0,0%,5,23%,
14,2020,2020-12-20,14,15,21.331,TAM,@,ATL,W 31-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,5,15%,
15,2020,2020-12-26,15,16,21.337,TAM,@,DET,W 47-7,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,77,100%,0,0%,8,27%,
16,2020,2021-01-03,16,17,21.345,TAM,,ATL,W 44-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,67,100%,0,0%,8,29%,
17,2021,2021-09-09,1,1,22.228,TAM,,DAL,W 31-29,*,,,,,,0.0%,,,,,,,,,,,,,,65,100%,0,0%,5,15%,
18,2021,2021-09-19,2,2,22.238,TAM,,ATL,W 48-25,*,,,,,,0.0%,,,,,,,,,,,,,,63,100%,0,0%,7,23%,
19,2021,2021-09-26,3,3,22.245,TAM,@,LAR,L 24-34,*,,,,,,0.0%,,,,,,,,,,,,,,73,100%,0,0%,5,17%,
20,2021,2021-10-03,4,4,22.252,TAM,@,NWE,W 19-17,*,,,,,,0.0%,,,,,,,,,,,,,,78,100%,0,0%,6,21%,
21,2021,2021-10-10,5,5,22.259,TAM,,MIA,W 45-17,*,,,,,,0.0%,,,,,,,,,,,,,,74,100%,0,0%,8,29%,
22,2021,2021-10-14,6,6,22.263,TAM,@,PHI,W 28-22,*,,,,,,0.0%,,,,,,,,,,,,,,75,100%,0,0%,4,17%,
23,2021,2021-10-24,7,7,22.273,TAM,,CHI,W 38-3,*,,,,,,0.0%,,,,,,,,,,,,,,73,100%,0,0%,7,28%,
24,2021,2021-10-31,8,8,22.280,TAM,@,NOR,L 27-36,*,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,61,100%,0,0%,3,10%,
25,2021,2021-11-14,9,10,22.294,TAM,@,WAS,L 19-29,*,,,,,,0.0%,,,,,,,,,,,,,,48,100%,0,0%,4,16%,
26,2021,2021-11-22,10,11,22.302,TAM,,NYG,W 30-10,*,,,,,,0.0%,,,,,,,,,,,,,,78,100%,0,0%,6,24%,
27,2021,2021-11-28,11,12,22.308,TAM,@,IND,W 38-31,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,6,19%,
28,2021,2021-12-05,12,13,22.315,TAM,@,ATL,W 30-17,*,,,,,,0.0%,,,,,,,,,,,,,,70,100%,0,0%,5,19%,
29,2021,2021-12-12,13,14,22.322,TAM,,BUF,W 33-27,*,,,,,,0.0%,,,,,,,,,,,,,,83,100%,0,0%,5,14%,
30,2021,2021-12-19,14,15,22.329,TAM,,NOR,L 0-9,*,,,,,,0.0%,,,,,,,,,,,,,,74,100%,0,0%,1,4%,
31,2021,2021-12-26,15,16,22.336,TAM,@,CAR,W 32-6,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,6,22%,
32,2021,2022-01-02,16,17,22.343,TAM,@,NYJ,W 28-24,*,,,,,,0.0%,,,,,,,,,,,,,,74,100%,0,0%,4,15%,
33,2021,2022-01-09,17,18,22.350,TAM,,CAR,W 41-17,*,,,,,,0.0%,,,,,,,,,,,,,,60,100%,0,0%,8,29%,
34,2022,2022-09-11,1,1,23.230,TAM,@,DAL,W 19-3,*,,,,,,0.0%,,,,,,,,,,,,,,62,100%,0,0%,6,25%,
35,2022,2022-09-18,2,2,23.237,TAM,@,NOR,W 20-10,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,0,0%,
36,2022,2022-09-25,3,3,23.244,TAM,,GNB,L 12-14,*,,,,,,0.0%,,,,,,,,,,,,,,65,100%,0,0%,0,0%,
37,2022,2022-10-02,4,4,23.251,TAM,,KAN,L 31-41,*,,,,,,0.0%,,,,,,,,,,,,,,64,100%,0,0%,5,17%,
38,2022,2022-10-09,5,5,23.258,TAM,,ATL,W 21-15,*,,,,,,0.0%,,,,,,,,,,,,,,79,100%,0,0%,3,14%,
39,2022,2022-10-16,6,6,23.265,TAM,@,PIT,L 18-20,*,,,,,,0.0%,,,,,,,,,,,,,,72,100%,0,0%,4,14%,
40,2022,2022-10-23,7,7,23.272,TAM,@,CAR,L 3-21,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,1,4%,
41,2022,2022-10-27,8,8,23.276,TAM,,BAL,L 22-27,*,,,,,,0.0%,,,,,,,,,,,,,,68,100%,0,0%,4,13%,
42,2022,2022-11-06,9,9,23.286,TAM,,LAR,W 16-13,*,,,,,,0.0%,,,,,,,,,,,,,,84,100%,0,0%,5,15%,
43,2022,2022-11-13,10,10,23.293,TAM,,SEA,W 21-16,*,,,,,,0.0%,,,,,,,,,,,,,,75,100%,0,0%,4,19%,
44,2022,2022-11-27,11,12,23.307,TAM,@,CLE,L 17-23,*,,,,,,0.0%,,,,,,,,,,,,,,68,99%,0,0%,3,10%,
45,2022,2022-12-05,12,13,,TAM,,NOR,W 17-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2022,2022-12-11,13,14,,TAM,@,SFO,L 7-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,2022,2022-12-18,14,15,,TAM,,CIN,L 23-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,2022,2022-12-25,15,16,23.335,TAM,@,ARI,W 19-16,*,,,,,,0.0%,,,,,,,,,,,,,,81,100%,0,0%,1,3%,
