Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,TAM,@,MIN,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,,TAM,,CHI,W 27-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2023,2023-09-25,3,3,,TAM,,PHI,L 11-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2023,2023-10-01,4,4,,TAM,@,NOR,W 26-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-15,5,6,23.122,TAM,,DET,L 6-20,,1,1,8,8.00,0,100.0%,8.00,0.0,0,0,0,0,0,6,11%,0,0%,7,28%,
6,2023,2023-10-22,6,7,23.129,TAM,,ATL,L 13-16,,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,15,21%,0,0%,4,19%,
7,2023,2023-10-26,7,8,23.133,TAM,@,BUF,L 18-24,,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,8,12%,0,0%,11,42%,
8,2023,2023-11-05,8,9,23.143,TAM,@,HOU,L 37-39,,,,,,,0.0%,,,,,,,,10,15%,0,0%,12,36%,
9,2023,2023-11-12,9,10,23.150,TAM,,TEN,W 20-6,*,,,,,,0.0%,,,,,,,,11,17%,0,0%,3,13%,
10,2023,2023-11-19,10,11,23.157,TAM,@,SFO,L 14-27,,2,2,13,6.50,0,100.0%,6.50,0.0,0,0,0,0,0,12,17%,0,0%,9,41%,
11,2023,2023-11-26,11,12,23.164,TAM,@,IND,L 20-27,,1,1,12,12.00,0,100.0%,12.00,0.0,0,0,0,0,0,12,20%,0,0%,10,37%,
12,2023,2023-12-03,12,13,23.171,TAM,,CAR,W 21-18,*,,,,,,0.0%,,,,,,,,11,18%,0,0%,12,41%,
13,2023,2023-12-10,13,14,23.178,TAM,@,ATL,W 29-25,,,,,,,0.0%,,,,,,,,4,6%,0,0%,6,19%,
14,2023,2023-12-17,14,15,23.185,TAM,@,GNB,W 34-20,,,,,,,0.0%,,,,,,,,13,21%,0,0%,6,24%,
15,2023,2023-12-24,15,16,23.192,TAM,,JAX,W 30-12,,1,1,25,25.00,0,100.0%,25.00,0.0,0,0,0,0,0,11,15%,0,0%,5,25%,
16,2023,2023-12-31,16,17,23.199,TAM,,NOR,L 13-23,,,,,,,0.0%,,,,,,,,6,11%,0,0%,11,42%,
17,2023,2024-01-07,17,18,23.206,TAM,@,CAR,W 9-0,,,,,,,0.0%,,,,,,,,9,14%,0,0%,7,35%,
18,2024,2024-09-08,1,1,24.085,TAM,,WAS,W 37-20,,,,,,,0.0%,,,,,,,,17,27%,0,0%,5,19%,
19,2024,2024-09-15,2,2,24.092,TAM,@,DET,W 20-16,,,,,,,0.0%,,,,,,,,16,33%,0,0%,5,19%,
20,2024,2024-09-22,3,3,24.099,TAM,,DEN,L 7-26,,1,1,8,8.00,0,100.0%,8.00,0.0,0,0,0,0,0,12,21%,0,0%,7,32%,
21,2024,2024-09-29,4,4,24.106,TAM,,PHI,W 33-16,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,15,19%,0,0%,6,22%,
22,2024,2024-10-03,5,5,24.110,TAM,@,ATL,L 30-36,*,,,,,,0.0%,,,,,,,,12,23%,0,0%,7,22%,
23,2024,2024-10-13,6,6,24.120,TAM,@,NOR,W 51-27,,,,,,,0.0%,,,,,,,,24,31%,0,0%,6,16%,
24,2024,2024-10-21,7,7,,TAM,,BAL,L 31-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-10-27,8,8,24.134,TAM,,ATL,L 26-31,,,,,,,0.0%,,,,,,,,11,15%,0,0%,1,4%,
26,2024,2024-11-04,9,9,24.142,TAM,@,KAN,L 24-30,,,,,,,0.0%,,,,,,,,16,29%,0,0%,11,39%,
27,2024,2024-11-10,10,10,24.148,TAM,,SFO,L 20-23,,,,,,,0.0%,,,,,,,,17,28%,0,0%,10,34%,
28,2024,2024-11-24,11,12,24.162,TAM,@,NYG,W 30-7,*,1,1,26,26.00,0,100.0%,26.00,0.0,0,0,0,0,0,24,37%,0,0%,9,45%,
