Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-17,1,2,21.202,TAM,,CHI,W 29-7,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,41%,0,0%,8,36%,
2,2017,2017-09-24,2,3,21.209,TAM,@,MIN,L 17-34,,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,21%,0,0%,11,39%,
3,2017,2017-10-01,3,4,21.216,TAM,,NYG,W 25-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,10,34%,
4,2017,2017-10-05,4,5,21.220,TAM,,NWE,L 14-19,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,24%,0,0%,13,45%,
5,2017,2017-10-15,5,6,21.230,TAM,@,ARI,L 33-38,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,20%,0,0%,19,73%,
6,2017,2017-10-22,6,7,21.237,TAM,@,BUF,L 27-30,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,31%,0,0%,17,59%,
7,2017,2017-10-29,7,8,21.244,TAM,,CAR,L 3-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,19,83%,
8,2017,2017-11-05,8,9,21.251,TAM,@,NOR,L 10-30,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,18,31%,0,0%,18,67%,
9,2017,2017-11-12,9,10,21.258,TAM,,NYJ,W 15-10,*,10,5,68,13.60,0,50.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,97%,0,0%,1,4%,
10,2017,2017-11-19,10,11,21.265,TAM,@,MIA,W 30-20,,2,2,38,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,33%,0,0%,18,60%,
11,2017,2017-11-26,11,12,21.272,TAM,@,ATL,L 20-34,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,19,27%,0,0%,16,62%,
12,2017,2017-12-03,12,13,21.279,TAM,@,GNB,L 20-26,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,22%,0,0%,20,71%,
13,2017,2017-12-10,13,14,21.286,TAM,,DET,L 21-24,,6,5,68,13.60,0,83.3%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,40,56%,0,0%,15,62%,
14,2017,2017-12-18,14,15,21.294,TAM,,ATL,L 21-24,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,56%,0,0%,10,38%,
15,2017,2017-12-24,15,16,21.300,TAM,@,CAR,L 19-22,*,6,3,98,32.67,0,50.0%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,84%,0,0%,0,0%,
