Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.161,TAM,@,MIN,W 20-17,,3,2,8,4.00,1,66.7%,2.67,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,23,34%,0,0%,0,0%,
2,2023,2023-09-17,2,2,22.168,TAM,,CHI,W 27-17,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,35,49%,0,0%,2,7%,
3,2023,2023-09-25,3,3,22.176,TAM,,PHI,L 11-25,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,34,72%,0,0%,0,0%,
4,2023,2023-10-01,4,4,22.182,TAM,@,NOR,W 26-9,,3,2,6,3.00,1,66.7%,2.00,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,53,75%,0,0%,0,0%,
5,2023,2023-10-15,5,6,22.196,TAM,,DET,L 6-20,,7,2,47,23.50,0,28.6%,6.71,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,37,66%,0,0%,0,0%,
6,2023,2023-10-22,6,7,22.203,TAM,,ATL,L 13-16,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,
7,2023,2023-10-26,7,8,22.207,TAM,@,BUF,L 18-24,*,6,3,22,7.33,0,50.0%,3.67,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,55,81%,0,0%,0,0%,
8,2023,2023-11-05,8,9,22.217,TAM,@,HOU,L 37-39,*,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,48,73%,0,0%,0,0%,
9,2023,2023-11-12,9,10,22.224,TAM,,TEN,W 20-6,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,
10,2023,2023-11-19,10,11,22.231,TAM,@,SFO,L 14-27,,6,4,22,5.50,0,66.7%,3.67,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,51,72%,0,0%,0,0%,
11,2023,2023-11-26,11,12,22.238,TAM,@,IND,L 20-27,*,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,41,68%,0,0%,0,0%,
12,2023,2023-12-03,12,13,22.245,TAM,,CAR,W 21-18,,5,2,12,6.00,0,40.0%,2.40,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,38,61%,0,0%,0,0%,
13,2023,2023-12-10,13,14,22.252,TAM,@,ATL,W 29-25,*,1,1,5,5.00,0,100.0%,5.00,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,58,85%,0,0%,1,3%,
14,2023,2023-12-17,14,15,22.259,TAM,@,GNB,W 34-20,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,
15,2023,2023-12-24,15,16,22.266,TAM,,JAX,W 30-12,*,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,39,53%,0,0%,1,5%,
16,2023,2023-12-31,16,17,22.273,TAM,,NOR,L 13-23,*,5,4,84,21.00,1,80.0%,16.80,0,0,,0,0,0,,0,0,0,,0,1,6,1,1,0,0,0,0,41,73%,0,0%,1,4%,
17,2023,2024-01-07,17,18,22.280,TAM,@,CAR,W 9-0,*,6,2,10,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,29,45%,0,0%,0,0%,
18,2024,2024-09-08,1,1,23.159,TAM,,WAS,W 37-20,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,1,15,15.00,0,0,0,0,0,0,0,0,0,20,31%,0,0%,4,15%,
19,2024,2024-09-15,2,2,23.166,TAM,@,DET,W 20-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,10,21%,0,0%,3,12%,
20,2024,2024-09-22,3,3,23.173,TAM,,DEN,L 7-26,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,12,21%,0,0%,5,23%,
21,2024,2024-09-29,4,4,23.180,TAM,,PHI,W 33-16,*,3,3,26,8.67,1,100.0%,8.67,0,0,,0,1,14,14.00,0,1,5,5.00,0,1,6,0,0,0,0,0,0,11,14%,0,0%,3,11%,
22,2024,2024-10-03,5,5,,TAM,@,ATL,L 30-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2024,2024-10-13,6,6,,TAM,@,NOR,W 51-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2024,2024-10-21,7,7,23.202,TAM,,BAL,L 31-41,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0,0,0,0,59,72%,0,0%,2,7%,
25,2024,2024-10-27,8,8,23.208,TAM,,ATL,L 26-31,*,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,2,31,15.50,0,0,0,0,0,0,0,0,0,51,70%,0,0%,3,11%,
26,2024,2024-11-04,9,9,23.216,TAM,@,KAN,L 24-30,*,4,2,33,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,2,18,9.00,0,0,0,0,0,0,0,0,0,27,49%,0,0%,4,14%,
27,2024,2024-11-10,10,10,23.222,TAM,,SFO,L 20-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,15,25%,0,0%,1,3%,
28,2024,2024-11-24,11,12,23.236,TAM,@,NYG,W 30-7,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,1,15,15.00,0,0,0,0,0,0,0,0,0,17,26%,0,0%,4,20%,
