Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,22.276,TAM,,WAS,W 37-20,*,3,1,32,32.00,1,33.3%,10.67,0,0,,0,0,0,,0,1,6,53,83%,0,0%,0,0%,
2.0,2024.0,2024-09-15,2.0,2.0,22.283,TAM,@,DET,W 20-16,*,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,38,79%,0,0%,0,0%,
3.0,2024.0,2024-09-22,3.0,3.0,22.29,TAM,,DEN,L 7-26,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,44,77%,0,0%,0,0%,
4.0,2024.0,2024-09-29,4.0,4.0,,TAM,,PHI,W 33-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5.0,2024.0,2024-10-03,5.0,5.0,,TAM,@,ATL,L 30-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6.0,2024.0,2024-10-13,6.0,6.0,22.311,TAM,@,NOR,W 51-27,,1,0,0,,0,0.0%,0.00,0,0,,0,3,12,4.00,0,0,0,14,18%,0,0%,6,16%,
7.0,2024.0,2024-10-21,7.0,7.0,22.319,TAM,,BAL,L 31-41,*,8,3,15,5.00,0,37.5%,1.88,1,11,11.00,0,0,0,,0,0,0,49,60%,0,0%,0,0%,
8.0,2024.0,2024-10-27,8.0,8.0,22.325,TAM,,ATL,L 26-31,*,7,4,35,8.75,0,57.1%,5.00,1,17,17.00,0,0,0,,0,0,0,59,81%,0,0%,0,0%,
9.0,2024.0,2024-11-04,9.0,9.0,,TAM,@,KAN,L 24-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10.0,2024.0,2024-11-10,10.0,10.0,,TAM,,SFO,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11.0,2024.0,2024-11-24,11.0,12.0,22.353,TAM,@,NYG,W 30-7,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,41,63%,0,0%,0,0%,
