Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.242,TAM,@,DAL,W 19-3,,6,14,2.33,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,27%,0,0%,16,67%,
2,2022,2022-09-18,2,2,23.249,TAM,@,NOR,W 20-10,,2,1,0.50,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,10,38%,
3,2022,2022-09-25,3,3,23.256,TAM,,GNB,L 12-14,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,9%,0,0%,10,40%,
4,2022,2022-10-02,4,4,23.263,TAM,,KAN,L 31-41,,3,6,2.00,1,5,5,50,10.00,0,100.0%,10.00,2,51,25.50,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,24,38%,0,0%,11,37%,
5,2022,2022-10-09,5,5,23.270,TAM,,ATL,W 21-15,,5,14,2.80,0,4,3,28,9.33,0,75.0%,7.00,1,18,18.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,39%,0,0%,7,32%,
6,2022,2022-10-16,6,6,23.277,TAM,@,PIT,L 18-20,,4,12,3.00,0,4,3,11,3.67,0,75.0%,2.75,2,54,27.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,16,22%,0,0%,10,36%,
7,2022,2022-10-23,7,7,23.284,TAM,@,CAR,L 3-21,,6,24,4.00,0,2,1,8,8.00,0,50.0%,4.00,2,46,23.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,43%,0,0%,10,42%,
8,2022,2022-10-27,8,8,23.288,TAM,,BAL,L 22-27,,4,19,4.75,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,18,26%,0,0%,12,39%,
9,2022,2022-11-06,9,9,23.298,TAM,,LAR,W 16-13,,8,27,3.38,0,3,3,7,2.33,0,100.0%,2.33,1,25,25.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,35%,0,0%,11,33%,
10,2022,2022-11-13,10,10,23.305,TAM,,SEA,W 21-16,*,22,105,4.77,0,0,0,0,,0,0.0%,,2,30,15.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,64%,0,0%,4,19%,
