Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2012,2012-09-09,1,1,22.230,TAM,,CAR,W 16-10,*,,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,100%,10,40%,
2,2012,2012-09-16,2,2,22.237,TAM,@,NYG,L 34-41,*,,0,0,0.0,7,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,91%,9,24%,
3,2012,2012-09-23,3,3,22.244,TAM,@,DAL,L 10-16,*,,0,0,0.0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,5,19%,
4,2012,2012-09-30,4,4,22.251,TAM,,WAS,L 22-24,*,,0,0,0.0,12,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,90%,7,21%,
5,2012,2012-10-14,5,6,22.265,TAM,,KAN,W 38-10,*,,0,0,0.0,5,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,94%,3,11%,
6,2012,2012-10-21,6,7,22.272,TAM,,NOR,L 28-35,*,,0,0,0.0,6,2,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0%,64,100%,5,17%,
7,2012,2012-10-25,7,8,22.276,TAM,@,MIN,W 36-17,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,100%,3,9%,
8,2012,2012-11-04,8,9,22.286,TAM,@,OAK,W 42-32,*,,0,0,0.0,14,2,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,81,100%,6,17%,
9,2012,2012-11-11,9,10,22.293,TAM,,SDG,W 34-24,*,,0,0,0.0,13,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,4,14%,
10,2012,2012-11-18,10,11,22.300,TAM,@,CAR,W 27-21,*,,0,0,0.0,6,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,5,17%,
