Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-10-06,5,5,23.180,LAC,,DEN,L 13-20,,1,1,100.0,2,3,66.7,0,7,0,0%,0,0%,8,30%,
2,2019,2019-10-13,6,6,23.187,LAC,,PIT,L 17-24,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,8,31%,
3,2019,2019-10-20,7,7,23.194,LAC,@,TEN,L 20-23,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,10,42%,
4,2019,2019-10-27,8,8,23.201,LAC,@,CHI,W 17-16,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,8,31%,
5,2019,2019-11-11,9,10,23.216,SFO,,SEA,L 24-27,,1,1,100.0,3,4,75.0,0,10,0,0%,0,0%,6,17%,
6,2019,2019-11-17,10,11,23.222,SFO,,ARI,W 36-26,,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,4,15%,
7,2019,2019-11-24,11,12,23.229,SFO,,GNB,W 37-8,,4,4,100.0,3,3,100.0,0,13,0,0%,0,0%,7,27%,
8,2019,2019-12-01,,13,,SFO,@,BAL,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2019,2019-12-08,13,14,23.243,IND,@,TAM,L 35-38,,3,3,100.0,2,3,66.7,0,9,0,0%,0,0%,6,19%,
10,2019,2019-12-16,14,15,23.251,IND,@,NOR,L 7-34,,1,1,100.0,,,,0,1,0,0%,0,0%,1,4%,
11,2019,2019-12-22,15,16,23.257,IND,,CAR,W 38-6,,5,5,100.0,1,1,100.0,0,8,0,0%,0,0%,6,23%,
12,2019,2019-12-29,16,17,23.264,IND,@,JAX,L 20-38,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,4,15%,
13,2020,2020-11-15,9,10,24.220,JAX,@,GNB,L 20-24,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,4,13%,
14,2020,2020-11-22,10,11,24.227,JAX,,PIT,L 3-27,,,,,1,1,100.0,0,3,0,0%,0,0%,1,4%,
15,2020,2020-11-29,11,12,,JAX,,CLE,L 25-27,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
16,2020,2020-12-06,12,13,24.241,JAX,@,MIN,L 24-27,,1,2,50.0,1,2,50.0,0,4,0,0%,0,0%,4,12%,
17,2020,2020-12-20,14,15,,NYJ,@,LAR,W 23-20,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List
18,2020,2020-12-27,15,16,,NYJ,,CLE,W 23-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
