Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.149,TAM,@,DAL,W 19-3,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,30,48%,0,0%,12,50%,
2,2022,2022-09-18,2,2,23.156,TAM,@,NOR,W 20-10,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,49%,0,0%,15,58%,
3,2022,2022-09-25,3,3,,TAM,,GNB,L 12-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2022,2022-10-02,4,4,23.170,TAM,,KAN,L 31-41,*,4,3,29,9.67,0,75.0%,7.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,67%,0,0%,11,37%,
5,2022,2022-10-09,5,5,23.177,TAM,,ATL,W 21-15,*,7,6,43,7.17,0,85.7%,6.14,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,94%,0,0%,5,23%,
6,2022,2022-10-16,6,6,23.184,TAM,@,PIT,L 18-20,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,40,56%,0,0%,5,18%,
7,2022,2022-10-23,7,7,23.191,TAM,@,CAR,L 3-21,,5,4,64,16.00,0,80.0%,12.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,81%,0,0%,6,25%,
8,2022,2022-10-27,8,8,23.195,TAM,,BAL,L 22-27,*,5,2,15,7.50,0,40.0%,3.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,62,91%,0,0%,6,19%,
9,2022,2022-11-06,9,9,23.205,TAM,,LAR,W 16-13,*,6,5,68,13.60,1,83.3%,11.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,85%,0,0%,7,21%,
10,2022,2022-11-13,10,10,23.212,TAM,,SEA,W 21-16,,3,3,35,11.67,0,100.0%,11.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,61%,0,0%,3,14%,
