Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
29,2023,2023-11-27,12,12,24.267,CHI,@,MIN,W 12-10,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,137,45.67,15,102,34.0,1,33.3%,1,33.3%,0,0,0%,0,0%,8,40%,
30,2023,2023-12-10,13,14,24.280,CHI,,DET,W 28-13,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,129,43.00,18,111,37.0,0,0.0%,1,33.3%,0,0,0%,0,0%,8,33%,
31,2023,2023-12-17,14,15,24.287,CHI,@,CLE,L 17-20,,0.0,0,0,0,0,0,0,0,0,0,0,0,10,448,44.80,23,405,40.5,1,10.0%,2,20.0%,0,0,0%,0,0%,13,37%,
32,2023,2023-12-24,15,16,24.294,CHI,,ARI,W 27-16,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,260,52.00,4,236,47.2,1,20.0%,2,40.0%,0,0,0%,0,0%,11,38%,
33,2023,2023-12-31,16,17,24.301,CHI,,ATL,W 37-17,,0.0,1,0,1,0,0,0,0,0,0,0,0,4,195,48.75,27,148,37.0,1,25.0%,0,0.0%,0,0,0%,0,0%,20,63%,
34,2023,2024-01-07,17,18,24.308,CHI,@,GNB,L 9-17,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,137,45.67,0,117,39.0,1,33.3%,2,66.7%,0,0,0%,0,0%,10,56%,
35,2024,2024-09-29,4,4,25.208,TAM,,PHI,W 33-16,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,150,37.50,4,146,36.5,0,0.0%,1,25.0%,0,0,0%,0,0%,17,63%,
36,2024,2024-10-03,5,5,25.212,TAM,@,ATL,L 30-36,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,87,43.50,0,67,33.5,1,50.0%,0,0.0%,0,0,0%,0,0%,16,50%,
37,2024,2024-10-13,6,6,,TAM,@,NOR,W 51-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,2024,2024-10-21,7,7,25.230,TAM,,BAL,L 31-41,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,93,46.50,0,93,46.5,0,0.0%,1,50.0%,0,0,0%,0,0%,10,34%,
39,2024,2024-10-27,8,8,25.236,TAM,,ATL,L 26-31,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,42,42.00,14,28,28.0,0,0.0%,0,0.0%,0,0,0%,0,0%,11,41%,
40,2024,2024-11-04,9,9,25.244,TAM,@,KAN,L 24-30,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,216,43.20,30,186,37.2,0,0.0%,2,40.0%,0,0,0%,0,0%,15,54%,
41,2024,2024-11-10,10,10,25.250,TAM,,SFO,L 20-23,,0.0,0,1,1,0,0,0,0,0,0,0,0,6,273,45.50,37,236,39.3,0,0.0%,2,33.3%,0,0,0%,0,0%,15,52%,
42,2024,2024-11-24,11,12,25.264,TAM,@,NYG,W 30-7,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,80,40.00,8,72,36.0,0,0.0%,1,50.0%,0,0,0%,0,0%,13,65%,
