Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1,2023,2023-09-10,1,1,,TAM,@,MIN,W 20-17,Did Not Play
2,2023,2023-09-17,2,2,,TAM,,CHI,W 27-17,Did Not Play
3,2023,2023-09-25,3,3,,TAM,,PHI,L 11-25,Did Not Play
4,2023,2023-10-01,4,4,,TAM,@,NOR,W 26-9,Did Not Play
5,2023,2023-10-15,5,6,,TAM,,DET,L 6-20,Did Not Play
6,2023,2023-10-22,6,7,,TAM,,ATL,L 13-16,Did Not Play
7,2023,2023-10-26,7,8,,TAM,@,BUF,L 18-24,Did Not Play
8,2023,2023-11-05,8,9,,TAM,@,HOU,L 37-39,Did Not Play
9,2023,2023-11-12,9,10,,TAM,,TEN,W 20-6,Did Not Play
10,2023,2023-11-19,10,11,,TAM,@,SFO,L 14-27,Did Not Play
11,2023,2023-11-26,11,12,,TAM,@,IND,L 20-27,Did Not Play
12,2023,2023-12-03,12,13,,TAM,,CAR,W 21-18,Did Not Play
13,2023,2023-12-10,13,14,,TAM,@,ATL,W 29-25,Did Not Play
14,2023,2023-12-17,14,15,,TAM,@,GNB,W 34-20,Did Not Play
15,2023,2023-12-24,15,16,,TAM,,JAX,W 30-12,Did Not Play
16,2023,2023-12-31,16,17,,TAM,,NOR,L 13-23,Did Not Play
17,2023,2024-01-07,17,18,,TAM,@,CAR,W 9-0,Did Not Play
18,2024,2024-09-08,1,1,,TAM,,WAS,W 37-20,Did Not Play
19,2024,2024-09-15,2,2,,TAM,@,DET,W 20-16,Did Not Play
20,2024,2024-09-22,3,3,,TAM,,DEN,L 7-26,Did Not Play
21,2024,2024-09-29,4,4,,TAM,,PHI,W 33-16,Did Not Play
22,2024,2024-10-03,5,5,,TAM,@,ATL,L 30-36,Did Not Play
23,2024,2024-10-13,6,6,,TAM,@,NOR,W 51-27,Did Not Play
24,2024,2024-10-21,7,7,,TAM,,BAL,L 31-41,Did Not Play
25,2024,2024-10-27,8,8,,TAM,,ATL,L 26-31,Did Not Play
26,2024,2024-11-04,9,9,,TAM,@,KAN,L 24-30,Did Not Play
27,2024,2024-11-10,10,10,,TAM,,SFO,L 20-23,Did Not Play
28,2024,2024-11-24,11,12,,TAM,@,NYG,W 30-7,Did Not Play
