Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,24.234,TAM,@,DAL,W 19-3,,,,,,,0.0%,,,,,,0,0,,,,,,,16,26%,0,0%,2,8%,
2,2022,2022-09-18,2,2,24.241,TAM,@,NOR,W 20-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,24,36%,0,0%,18,69%,
3,2022,2022-09-25,3,3,24.248,TAM,,GNB,L 12-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,11,17%,0,0%,14,56%,
4,2022,2022-10-02,4,4,24.255,TAM,,KAN,L 31-41,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,0.0,0,0,0,0,0,9,14%,0,0%,17,57%,
5,2022,2022-10-09,5,5,24.262,TAM,,ATL,W 21-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,14,18%,0,0%,17,78%,
6,2022,2022-10-16,6,6,24.269,TAM,@,PIT,L 18-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,2,0,0,18,25%,0,0%,19,68%,
7,2022,2022-10-23,7,7,24.276,TAM,@,CAR,L 3-21,*,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,0.0,0,0,0,0,0,18,27%,0,0%,16,67%,
8,2022,2022-10-27,8,8,24.280,TAM,,BAL,L 22-27,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,1,1,2,0,0,13,19%,0,0%,21,68%,
9,2022,2022-11-06,9,9,24.290,TAM,,LAR,W 16-13,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,17,20%,0,0%,25,76%,
10,2022,2022-11-13,10,10,24.297,TAM,,SEA,W 21-16,*,,,,,,0.0%,,,,,,0,0,,,,,,,23,31%,0,0%,10,48%,
11,2022,2022-11-27,11,12,24.311,TAM,@,CLE,L 17-23,*,1,1,5,5.00,1,100.0%,5.00,0,0,,0,1,6,0.0,1,0,1,0,0,16,23%,0,0%,18,58%,
12,2022,2022-12-05,12,13,24.319,TAM,,NOR,W 17-16,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,15,19%,0,0%,14,52%,
13,2022,2022-12-11,13,14,24.325,TAM,@,SFO,L 7-35,*,1,1,11,11.00,0,100.0%,11.00,1,7,7.00,0,0,0,0.0,2,1,3,0,0,5,7%,0,0%,11,52%,
14,2022,2022-12-18,14,15,24.332,TAM,,CIN,L 23-34,*,,,,,,0.0%,,,,,,0,0,,,,,,,20,27%,0,0%,16,64%,
15,2022,2022-12-25,15,16,24.339,TAM,@,ARI,W 19-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,14,17%,0,0%,23,70%,
16,2022,2023-01-01,16,17,24.346,TAM,,CAR,W 30-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,23,29%,0,0%,19,61%,
17,2022,2023-01-08,17,18,24.353,TAM,@,ATL,L 17-30,*,,,,,,0.0%,,,,,,0,0,,,,,,,9,16%,0,0%,16,57%,
18,2023,2023-09-10,1,1,25.233,TAM,@,MIN,W 20-17,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,32,47%,0,0%,20,72%,
19,2023,2023-09-17,2,2,25.240,TAM,,CHI,W 27-17,,,,,,,0.0%,,,,,,0,0,,,,,,,18,25%,0,0%,19,70%,
20,2023,2023-09-25,3,3,25.248,TAM,,PHI,L 11-25,*,,,,,,0.0%,,,,,,0,0,,,,,,,10,21%,0,0%,14,70%,
21,2023,2023-10-01,4,4,25.254,TAM,@,NOR,W 26-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,15,21%,0,0%,19,73%,
22,2023,2023-10-15,5,6,25.268,TAM,,DET,L 6-20,*,,,,,,0.0%,,,,,,0,0,,,,,,,14,25%,0,0%,16,64%,
23,2023,2023-10-22,6,7,25.275,TAM,,ATL,L 13-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,12,16%,0,0%,14,67%,
24,2023,2023-10-26,7,8,25.279,TAM,@,BUF,L 18-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,6,9%,0,0%,18,69%,
25,2023,2023-11-05,8,9,25.289,TAM,@,HOU,L 37-39,,,,,,,0.0%,,,,,,0,0,,,,,,,10,15%,0,0%,27,82%,
