Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,22.319,TAM,,WAS,W 37-20,,0.0,0,1,1,0,0,0.0,0%,25.0,42%,11.0,41%
2.0,2024.0,2024-09-15,2.0,2.0,22.326,TAM,@,DET,W 20-16,,0.0,1,0,1,0,1,0.0,0%,18.0,21%,10.0,38%
3.0,2024.0,2024-09-22,3.0,3.0,22.333,TAM,,DEN,L 7-26,,0.0,0,1,1,0,2,0.0,0%,23.0,34%,9.0,41%
4.0,2024.0,2024-09-29,4.0,4.0,22.34,TAM,,PHI,W 33-16,,0.0,2,1,3,0,1,0.0,0%,21.0,37%,10.0,37%
5.0,2024.0,2024-10-03,5.0,5.0,22.344,TAM,@,ATL,L 30-36,,0.0,1,0,1,0,0,0.0,0%,36.0,41%,14.0,44%
6.0,2024.0,2024-10-13,6.0,6.0,22.354,TAM,@,NOR,W 51-27,,0.5,0,3,3,0,2,0.0,0%,27.0,39%,15.0,41%
7.0,2024.0,2024-10-21,7.0,7.0,22.362,TAM,,BAL,L 31-41,,0.0,1,0,1,0,0,0.0,0%,21.0,36%,12.0,41%
8.0,2024.0,2024-10-27,8.0,8.0,23.002,TAM,,ATL,L 26-31,,0.0,0,0,0,0,0,0.0,0%,21.0,34%,12.0,44%
9.0,2024.0,2024-11-04,9.0,9.0,23.01,TAM,@,KAN,L 24-30,,0.0,0,0,0,0,1,0.0,0%,26.0,31%,11.0,39%
10.0,2024.0,2024-11-10,10.0,10.0,23.016,TAM,,SFO,L 20-23,,0.0,0,0,0,0,0,0.0,0%,20.0,31%,9.0,31%
11.0,2024.0,2024-11-24,11.0,12.0,23.03,TAM,@,NYG,W 30-7,,0.0,1,0,1,0,0,0.0,0%,26.0,44%,8.0,40%
