Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,21.320,TAM,@,MIN,W 20-17,,5,15,3.00,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,15%,0,0%,15,54%,
2,2023,2023-09-17,2,2,21.327,TAM,,CHI,W 27-17,,8,7,0.88,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,24%,0,0%,9,33%,
3,2023,2023-09-25,3,3,21.335,TAM,,PHI,L 11-25,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,9%,0,0%,8,40%,
4,2023,2023-10-01,4,4,21.341,TAM,@,NOR,W 26-9,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,35%,
5,2023,2023-10-15,5,6,21.355,TAM,,DET,L 6-20,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,11,44%,
6,2023,2023-10-22,6,7,21.362,TAM,,ATL,L 13-16,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,7,33%,
7,2023,2023-10-26,7,8,,TAM,@,BUF,L 18-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-11-05,8,9,,TAM,@,HOU,L 37-39,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2023,2023-11-12,9,10,22.018,TAM,,TEN,W 20-6,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,3,13%,
10,2023,2023-11-19,10,11,22.025,TAM,@,SFO,L 14-27,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,8,37%,
11,2023,2023-11-26,11,12,22.032,TAM,@,IND,L 20-27,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,6,22%,
12,2023,2023-12-03,12,13,22.039,TAM,,CAR,W 21-18,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,4,14%,
13,2023,2023-12-10,13,14,22.046,TAM,@,ATL,W 29-25,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,5,16%,
14,2023,2023-12-17,14,15,,TAM,@,GNB,W 34-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2023,2023-12-24,15,16,,TAM,,JAX,W 30-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2023,2023-12-31,16,17,,TAM,,NOR,L 13-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
