Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
100,2024,2024-09-15,2,2,27.219,GNB,,IND,W 16-10,*,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,100%,3,14%,
101,2024,2024-09-22,3,3,27.226,GNB,@,TEN,W 30-14,*,0,0,,0,,1,6,0.0,4,1,5,0,0,1,35,1,1,0,0,0,0,0,0,0,0%,53,98%,2,7%,
102,2024,2024-09-29,4,4,,GNB,,MIN,L 29-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
103,2024,2024-10-06,5,5,,GNB,@,LAR,W 24-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
104,2024,2024-10-13,6,6,27.247,GNB,,ARI,W 34-13,*,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0%,46,79%,0,0%,
105,2024,2024-10-20,7,7,27.254,GNB,,HOU,W 24-22,*,0,0,,0,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,98%,0,0%,
106,2024,2024-10-27,8,8,27.261,GNB,@,JAX,W 30-27,*,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,57,100%,3,9%,
107,2024,2024-11-03,9,9,,GNB,,DET,L 14-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
108,2024,2024-11-17,10,11,27.282,GNB,@,CHI,W 20-19,*,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,10,14%,0,0%,
109,2024,2024-11-24,11,12,,GNB,,SFO,W 38-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
