Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
16,2018,2018-12-30,,17,,GNB,,DET,L 0-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2019,2019-09-05,1,1,22.208,GNB,@,CHI,W 10-3,*,0,0,,0,,0,0,0.0,3,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,71,100%,3,12%,
18,2019,2019-09-15,2,2,22.218,GNB,,MIN,W 21-16,*,0,0,,0,,0,0,0.0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,65,100%,1,3%,
19,2019,2019-09-22,3,3,22.225,GNB,,DEN,W 27-16,*,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0%,73,100%,0,0%,
20,2019,2019-09-26,4,4,22.229,GNB,,PHI,L 27-34,*,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,1,4%,
21,2019,2019-10-06,5,5,22.239,GNB,@,DAL,W 34-24,*,0,0,,0,,0,0,0.0,2,0,2,0,0,1,37,0,3,0,0,0,0,0,0,0,0%,69,97%,1,3%,
22,2019,2019-10-14,6,6,22.247,GNB,,DET,W 23-22,*,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,98%,0,0%,
23,2019,2019-10-20,7,7,22.253,GNB,,OAK,W 42-24,*,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,94%,1,4%,
24,2019,2019-10-27,8,8,22.260,GNB,@,KAN,W 31-24,*,0,0,,0,,0,0,0.0,5,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,100%,2,7%,
25,2019,2019-11-03,9,9,22.267,GNB,@,LAC,L 11-26,*,0,0,,0,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,96%,0,0%,
26,2019,2019-11-10,10,10,22.274,GNB,,CAR,W 24-16,*,0,0,,0,,0,0,0.0,6,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,72,100%,0,0%,
27,2019,2019-11-24,11,12,22.288,GNB,@,SFO,L 8-37,*,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,48,100%,0,0%,
28,2019,2019-12-01,12,13,22.295,GNB,@,NYG,W 31-13,*,0,0,,0,,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,0,0%,
