Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
20,2021,2021-10-03,4,4,23.154,GNB,,PIT,W 27-17,,15,81,5.40,0,1,1,16,16.00,0,100.0%,16.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,40%,0,0%,7,28%,
21,2021,2021-10-10,5,5,23.161,GNB,@,CIN,W 25-22,,8,30,3.75,0,4,4,49,12.25,1,100.0%,12.25,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21,33%,0,0%,7,23%,
22,2021,2021-10-17,6,6,23.168,GNB,@,CHI,W 24-14,,11,59,5.36,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,42%,0,0%,9,43%,
23,2021,2021-10-24,7,7,23.175,GNB,,WAS,W 24-10,,3,6,2.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,13,23%,0,0%,5,26%,
24,2021,2021-10-28,8,8,23.179,GNB,@,ARI,W 24-21,,16,78,4.88,0,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,29,40%,0,0%,5,23%,
25,2021,2021-11-07,9,9,23.189,GNB,@,KAN,L 7-13,,8,46,5.75,0,4,4,44,11.00,0,100.0%,11.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,38%,0,0%,4,18%,
26,2021,2021-11-14,10,10,23.196,GNB,,SEA,W 17-0,,21,66,3.14,2,2,2,62,31.00,0,100.0%,31.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,3,17%,
27,2021,2021-11-21,11,11,23.203,GNB,@,MIN,L 31-34,*,11,53,4.82,0,6,6,44,7.33,0,100.0%,7.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,75%,0,0%,0,0%,
28,2021,2021-11-28,12,12,23.210,GNB,,LAR,W 36-28,,20,69,3.45,0,5,5,21,4.20,1,100.0%,4.20,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,51%,0,0%,0,0%,
29,2021,2021-12-12,13,14,23.224,GNB,,CHI,W 45-30,,15,71,4.73,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,3,0,35,54%,0,0%,6,17%,
30,2021,2021-12-19,14,15,23.231,GNB,@,BAL,W 31-30,,7,22,3.14,1,1,1,13,13.00,0,100.0%,13.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,37%,0,0%,7,28%,
31,2021,2021-12-25,15,16,23.237,GNB,,CLE,W 24-22,,9,41,4.56,0,3,3,15,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,44%,0,0%,5,22%,
