Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,23.117,GNB,@,CHI,W 38-20,,,,,,,0.0%,,0,0,9,15%,0,0%,0,0%
2,2023,2023-09-17,2,2,23.124,GNB,@,ATL,L 24-25,,0,0,0,,0,0.0%,,0,0,5,10%,0,0%,0,0%
3,2023,2023-09-24,3,3,23.131,GNB,,NOR,W 18-17,,,,,,,0.0%,,0,0,3,4%,0,0%,3,12%
4,2023,2023-09-28,4,4,23.135,GNB,,DET,L 20-34,,,,,,,0.0%,,0,0,6,11%,0,0%,7,23%
5,2023,2023-10-09,5,5,23.146,GNB,@,LVR,L 13-17,,1,1,12,12.00,0,100.0%,12.00,0,0,9,16%,0,0%,4,17%
6,2023,2023-10-22,6,7,23.159,GNB,@,DEN,L 17-19,,1,1,2,2.00,0,100.0%,2.00,0,0,4,6%,0,0%,6,24%
7,2023,2023-10-29,7,8,23.166,GNB,,MIN,L 10-24,,,,,,,0.0%,,0,0,5,7%,0,0%,9,39%
8,2023,2023-11-05,8,9,23.173,GNB,,LAR,W 20-3,,,,,,,0.0%,,0,0,5,7%,0,0%,5,22%
9,2023,2023-11-12,9,10,23.180,GNB,@,PIT,L 19-23,,,,,,,0.0%,,0,0,0,0%,0,0%,10,34%
10,2023,2023-11-19,10,11,23.187,GNB,,LAC,W 23-20,,,,,,,0.0%,,0,0,16,22%,0,0%,10,38%
11,2023,2023-11-23,11,12,23.191,GNB,@,DET,W 29-22,,1,0,0,,0,0.0%,0.00,0,0,14,25%,0,0%,9,39%
12,2023,2023-12-03,12,13,23.201,GNB,,KAN,W 27-19,,1,1,1,1.00,1,100.0%,1.00,1,6,20,31%,0,0%,5,23%
13,2023,2023-12-11,13,14,23.209,GNB,@,NYG,L 22-24,,,,,,,0.0%,,0,0,10,15%,0,0%,4,15%
14,2023,2023-12-17,14,15,23.215,GNB,,TAM,L 20-34,,1,0,0,,0,0.0%,0.00,0,0,10,17%,0,0%,8,32%
15,2023,2023-12-24,15,16,23.222,GNB,@,CAR,W 33-30,*,,,,,,0.0%,,0,0,20,30%,0,0%,10,33%
16,2023,2023-12-31,16,17,23.229,GNB,@,MIN,W 33-10,,1,1,6,6.00,0,100.0%,6.00,0,0,41,55%,0,0%,3,13%
17,2023,2024-01-07,17,18,23.236,GNB,,CHI,W 17-9,,,,,,,0.0%,,0,0,12,20%,0,0%,4,22%
18,2024,2024-09-06,1,1,24.113,GNB,@,PHI,L 29-34,,,,,,,0.0%,,0,0,1,1%,0,0%,8,26%
19,2024,2024-09-15,2,2,24.122,GNB,,IND,W 16-10,,,,,,,0.0%,,0,0,6,9%,0,0%,2,9%
20,2024,2024-09-22,3,3,24.129,GNB,@,TEN,W 30-14,,,,,,,0.0%,,0,0,2,3%,0,0%,3,11%
21,2024,2024-09-29,4,4,24.136,GNB,,MIN,L 29-31,,,,,,,0.0%,,0,0,2,3%,0,0%,6,21%
22,2024,2024-10-06,5,5,24.143,GNB,@,LAR,W 24-19,,,,,,,0.0%,,0,0,19,32%,0,0%,4,18%
23,2024,2024-10-13,6,6,24.150,GNB,,ARI,W 34-13,*,2,2,38,19.00,0,100.0%,19.00,0,0,28,38%,0,0%,4,15%
24,2024,2024-10-20,7,7,24.157,GNB,,HOU,W 24-22,*,1,1,2,2.00,0,100.0%,2.00,0,0,16,28%,0,0%,6,21%
25,2024,2024-10-27,8,8,24.164,GNB,@,JAX,W 30-27,*,1,0,0,,0,0.0%,0.00,0,0,25,36%,0,0%,6,18%
26,2024,2024-11-03,9,9,24.171,GNB,,DET,L 14-24,*,,,,,,0.0%,,0,0,12,18%,0,0%,5,23%
27,2024,2024-11-17,10,11,24.185,GNB,@,CHI,W 20-19,,,,,,,0.0%,,0,0,17,37%,0,0%,5,28%
28,2024,2024-11-24,11,12,24.192,GNB,,SFO,W 38-10,,,,,,,0.0%,,0,0,24,33%,0,0%,3,12%
