Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,GNB,@,CHI,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,24.132,GNB,@,ATL,L 24-25,,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,5,10%,0,0%,0,0%,
3,2023,2023-09-24,3,3,24.139,GNB,,NOR,W 18-17,,2,6,3.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,1,0,0,0,0,0,8,10%,0,0%,0,0%,
4,2023,2023-09-28,4,4,,GNB,,DET,L 20-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2023,2023-10-09,5,5,24.154,GNB,@,LVR,L 13-17,,,,,,,,,,,0.0%,,0,0,,,,,,,1,2%,0,0%,0,0%,
6,2023,2023-10-22,6,7,24.167,GNB,@,DEN,L 17-19,,2,19,9.50,0,2,2,8,4.00,0,100.0%,4.00,0,0,0,0,0,0,0,0,5,8%,0,0%,2,8%,
7,2023,2023-10-29,7,8,,GNB,,MIN,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2023,2023-11-05,8,9,24.181,GNB,,LAR,W 20-3,,4,43,10.75,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,
9,2023,2023-11-12,9,10,24.188,GNB,@,PIT,L 19-23,,,,,,,,,,,0.0%,,0,0,,,,,,,3,4%,0,0%,0,0%,
10,2023,2023-11-19,10,11,24.195,GNB,,LAC,W 23-20,,3,12,4.00,0,2,1,9,9.00,0,50.0%,4.50,0,0,0,0,0,0,0,0,6,8%,0,0%,0,0%,
11,2023,2023-11-23,11,12,,GNB,@,DET,W 29-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2023,2023-12-03,12,13,,GNB,,KAN,W 27-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2023,2023-12-11,13,14,,GNB,@,NYG,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2023,2023-12-17,14,15,,GNB,,TAM,L 20-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2023,2023-12-24,15,16,,GNB,@,CAR,W 33-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2023,2023-12-31,16,17,,GNB,@,MIN,W 33-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2023,2024-01-07,17,18,,GNB,,CHI,W 17-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2024,2024-09-06,1,1,25.121,GNB,@,PHI,L 29-34,,4,46,11.50,0,3,2,2,1.00,0,66.7%,0.67,0,0,0,0,0,0,0,0,16,24%,0,0%,0,0%,
19,2024,2024-09-15,2,2,25.130,GNB,,IND,W 16-10,,5,9,1.80,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,13,19%,0,0%,0,0%,
20,2024,2024-09-22,3,3,25.137,GNB,@,TEN,W 30-14,,12,50,4.17,0,2,2,35,17.50,1,100.0%,17.50,1,6,0,0,0,0,0,0,26,41%,0,0%,0,0%,
21,2024,2024-09-29,4,4,25.144,GNB,,MIN,L 29-31,,8,27,3.38,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,30,39%,0,0%,0,0%,
22,2024,2024-10-06,5,5,25.151,GNB,@,LAR,W 24-19,,6,24,4.00,0,1,1,-9,-9.00,0,100.0%,-9.00,0,0,0,0,0,0,0,0,15,25%,0,0%,0,0%,
23,2024,2024-10-13,6,6,25.158,GNB,,ARI,W 34-13,,7,54,7.71,0,2,1,19,19.00,0,50.0%,9.50,0,0,0,0,0,0,0,0,23,32%,0,0%,0,0%,
24,2024,2024-10-20,7,7,25.165,GNB,,HOU,W 24-22,,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,12,21%,0,0%,0,0%,
25,2024,2024-10-27,8,8,25.172,GNB,@,JAX,W 30-27,,4,5,1.25,0,2,2,-2,-1.00,0,100.0%,-1.00,0,0,0,0,0,0,0,0,12,17%,0,0%,0,0%,
26,2024,2024-11-03,9,9,25.179,GNB,,DET,L 14-24,,4,28,7.00,1,1,1,1,1.00,0,100.0%,1.00,1,6,0,0,0,1,0,0,13,20%,0,0%,0,0%,
27,2024,2024-11-17,10,11,25.193,GNB,@,CHI,W 20-19,,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,3,7%,0,0%,0,0%,
28,2024,2024-11-24,11,12,25.200,GNB,,SFO,W 38-10,,9,41,4.56,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,15,21%,0,0%,0,0%,
