Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
28,2023,2023-11-23,11,12,24.195,GNB,@,DET,W 29-22,*,7,5,94,18.80,1,71.4%,13.43,0,0,,0,0,0,,0,,1,6,49,88%,0,0%,0,0%,
29,2023,2023-12-03,12,13,24.205,GNB,,KAN,W 27-19,*,9,7,71,10.14,2,77.8%,7.89,2,15,7.50,0,0,0,,0,,2,12,47,73%,0,0%,0,0%,
30,2023,2023-12-11,13,14,,GNB,@,NYG,L 22-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2023,2023-12-17,14,15,,GNB,,TAM,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2023,2023-12-24,15,16,,GNB,@,CAR,W 33-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2023,2023-12-31,16,17,,GNB,@,MIN,W 33-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,2023,2024-01-07,17,18,,GNB,,CHI,W 17-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2024,2024-09-06,1,1,25.117,GNB,@,PHI,L 29-34,*,5,3,13,4.33,1,60.0%,2.60,0,0,,0,0,0,,0,,1,6,42,63%,0,0%,0,0%,
36,2024,2024-09-15,2,2,25.126,GNB,,IND,W 16-10,*,,,,,,0.0%,,,,,,,,,,,0,0,41,59%,0,0%,0,0%,
37,2024,2024-09-22,3,3,25.133,GNB,@,TEN,W 30-14,*,2,2,67,33.50,0,100.0%,33.50,0,0,,0,0,0,,0,,0,0,34,54%,0,0%,0,0%,
38,2024,2024-09-29,4,4,25.140,GNB,,MIN,L 29-31,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,9,12%,0,0%,0,0%,
39,2024,2024-10-06,5,5,,GNB,@,LAR,W 24-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2024,2024-10-13,6,6,25.154,GNB,,ARI,W 34-13,*,4,3,68,22.67,1,75.0%,17.00,0,0,,0,0,0,,0,,1,6,44,60%,0,0%,0,0%,
41,2024,2024-10-20,7,7,25.161,GNB,,HOU,W 24-22,*,2,1,9,9.00,0,50.0%,4.50,1,-4,-4.00,0,0,0,,0,,0,0,31,53%,0,0%,0,0%,
42,2024,2024-10-27,8,8,25.168,GNB,@,JAX,W 30-27,*,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,0,,0,0,52,74%,0,0%,0,0%,
43,2024,2024-11-03,9,9,25.175,GNB,,DET,L 14-24,*,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,0,,0,1,0,2,37,57%,0,0%,0,0%,
44,2024,2024-11-17,10,11,25.189,GNB,@,CHI,W 20-19,*,4,4,150,37.50,0,100.0%,37.50,0,0,,0,0,0,,0,,0,0,31,67%,0,0%,0,0%,
45,2024,2024-11-24,11,12,25.196,GNB,,SFO,W 38-10,*,3,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,,0,,0,0,47,65%,0,0%,0,0%,
