Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,22.151,GNB,@,MIN,L 7-23,,5,4,37,9.25,0,80.0%,7.40,1,11,11.00,0,0,0,,0,0,0,0,0,0,0,0,0,35,57%,0,0%,0,0%,
2,2022,2022-09-18,2,2,22.158,GNB,,CHI,W 27-10,,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,25,37%,0,0%,0,0%,
3,2022,2022-09-25,3,3,22.165,GNB,@,TAM,W 14-12,*,8,8,73,9.13,1,100.0%,9.13,0,0,,0,0,0,,0,1,6,1,0,0,1,0,0,55,89%,0,0%,1,4%,
4,2022,2022-10-02,4,4,22.172,GNB,,NWE,W 27-24,*,8,5,47,9.40,1,62.5%,5.88,0,0,,0,0,0,,0,1,6,1,1,0,0,0,0,70,96%,0,0%,0,0%,
5,2022,2022-10-09,5,5,22.179,GNB,,NYG,L 22-27,*,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,86%,0,0%,0,0%,
6,2022,2022-10-16,6,6,22.186,GNB,,NYJ,L 10-27,*,9,4,21,5.25,0,44.4%,2.33,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,
7,2022,2022-10-23,7,7,22.193,GNB,@,WAS,L 21-23,*,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,48,89%,0,0%,0,0%,
8,2022,2022-10-30,8,8,22.200,GNB,@,BUF,L 17-27,*,7,4,62,15.50,1,57.1%,8.86,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,54,82%,0,0%,0,0%,
9,2022,2022-11-06,9,9,22.207,GNB,@,DET,L 9-15,*,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,
10,2022,2022-11-13,10,10,,GNB,,DAL,W 31-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2022,2022-11-17,11,11,,GNB,,TEN,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2022,2022-11-27,12,12,,GNB,@,PHI,L 33-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2022,2022-12-04,13,13,,GNB,@,CHI,W 28-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2022,2022-12-19,14,15,22.250,GNB,,LAR,W 24-12,,5,5,55,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,23,32%,0,0%,0,0%,
15,2022,2022-12-25,15,16,22.256,GNB,@,MIA,W 26-20,,6,3,36,12.00,0,50.0%,6.00,0,0,,0,2,39,19.50,0,0,0,0,0,0,0,0,0,40,61%,0,0%,2,8%,
16,2022,2023-01-01,16,17,22.263,GNB,,MIN,W 41-17,,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,31,49%,0,0%,0,0%,
17,2022,2023-01-08,17,18,22.270,GNB,,DET,L 16-20,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,23,38%,0,0%,0,0%,
18,2023,2023-09-10,1,1,23.150,GNB,@,CHI,W 38-20,,5,4,26,6.50,2,80.0%,5.20,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,29,48%,0,0%,0,0%,
19,2023,2023-09-17,2,2,23.157,GNB,@,ATL,L 24-25,*,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,38,76%,0,0%,0,0%,
20,2023,2023-09-24,3,3,23.164,GNB,,NOR,W 18-17,*,12,5,73,14.60,1,41.7%,6.08,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,68,86%,0,0%,0,0%,
21,2023,2023-09-28,4,4,23.168,GNB,,DET,L 20-34,*,13,9,95,10.56,0,69.2%,7.31,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,50,88%,0,0%,0,0%,
22,2023,2023-10-09,5,5,23.179,GNB,@,LVR,L 13-17,*,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,50,86%,0,0%,0,0%,
23,2023,2023-10-22,6,7,23.192,GNB,@,DEN,L 17-19,*,5,2,30,15.00,1,40.0%,6.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,52,81%,0,0%,0,0%,
24,2023,2023-10-29,7,8,23.199,GNB,,MIN,L 10-24,*,9,4,18,4.50,1,44.4%,2.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,56,82%,0,0%,0,0%,
25,2023,2023-11-05,8,9,23.206,GNB,,LAR,W 20-3,*,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,62,86%,0,0%,0,0%,
26,2023,2023-11-12,9,10,23.213,GNB,@,PIT,L 19-23,*,5,3,31,10.33,1,60.0%,6.20,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,56,82%,0,0%,0,0%,
27,2023,2023-11-19,10,11,23.220,GNB,,LAC,W 23-20,*,6,5,53,10.60,1,83.3%,8.83,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,49,68%,0,0%,0,0%,
28,2023,2023-11-23,11,12,23.224,GNB,@,DET,W 29-22,*,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,48,86%,0,0%,1,4%,
29,2023,2023-12-03,12,13,23.234,GNB,,KAN,W 27-19,*,5,4,72,18.00,0,80.0%,14.40,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,52,81%,0,0%,0,0%,
30,2023,2023-12-11,13,14,23.242,GNB,@,NYG,L 22-24,*,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,56,82%,0,0%,0,0%,
