Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
40,2023,2023-10-22,6,7,25.098,GNB,@,DEN,L 17-19,*,,,,,,,60,94%,0,0%,1,4%,
41,2023,2023-10-29,7,8,25.105,GNB,,MIN,L 10-24,*,,,,,,,68,100%,0,0%,0,0%,
42,2023,2023-11-05,8,9,25.112,GNB,,LAR,W 20-3,*,,,,,,,72,100%,0,0%,5,22%,
43,2023,2023-11-12,9,10,25.119,GNB,@,PIT,L 19-23,*,,,,,,,68,100%,0,0%,4,14%,
44,2023,2023-11-19,10,11,25.126,GNB,,LAC,W 23-20,*,,,,,,,72,100%,0,0%,5,19%,
45,2023,2023-11-23,11,12,25.130,GNB,@,DET,W 29-22,*,,,,,,,56,100%,0,0%,5,22%,
46,2023,2023-12-03,12,13,25.140,GNB,,KAN,W 27-19,*,,,,,,,64,100%,0,0%,5,23%,
47,2023,2023-12-11,13,14,25.148,GNB,@,NYG,L 22-24,*,,,,,,,68,100%,0,0%,5,19%,
48,2023,2023-12-17,14,15,25.154,GNB,,TAM,L 20-34,*,,,,,,,60,100%,0,0%,3,12%,
49,2023,2023-12-24,15,16,25.161,GNB,@,CAR,W 33-30,*,,,,,,,66,100%,0,0%,6,20%,
50,2023,2023-12-31,16,17,25.168,GNB,@,MIN,W 33-10,*,,,,,,,71,96%,0,0%,6,25%,
51,2023,2024-01-07,17,18,25.175,GNB,,CHI,W 17-9,*,,,,,,,60,100%,0,0%,4,22%,
52,2024,2024-09-06,1,1,26.052,GNB,@,PHI,L 29-34,*,,,,,,,65,97%,0,0%,0,0%,
53,2024,2024-09-15,2,2,26.061,GNB,,IND,W 16-10,*,,,,,,,70,100%,0,0%,0,0%,
54,2024,2024-09-22,3,3,26.068,GNB,@,TEN,W 30-14,*,,,,,,,63,100%,0,0%,0,0%,
55,2024,2024-09-29,4,4,26.075,GNB,,MIN,L 29-31,*,0,0,0,0,0,0,76,100%,0,0%,0,0%,
56,2024,2024-10-06,5,5,26.082,GNB,@,LAR,W 24-19,*,,,,,,,59,100%,0,0%,0,0%,
57,2024,2024-10-13,6,6,26.089,GNB,,ARI,W 34-13,*,,,,,,,68,93%,0,0%,5,19%,
58,2024,2024-10-20,7,7,26.096,GNB,,HOU,W 24-22,*,,,,,,,58,100%,0,0%,1,3%,
59,2024,2024-10-27,8,8,26.103,GNB,@,JAX,W 30-27,*,,,,,,,70,100%,0,0%,2,6%,
60,2024,2024-11-03,9,9,,GNB,,DET,L 14-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,2024,2024-11-17,10,11,26.124,GNB,@,CHI,W 20-19,*,,,,,,,46,100%,0,0%,0,0%,
62,2024,2024-11-24,11,12,26.131,GNB,,SFO,W 38-10,*,,,,,,,68,94%,0,0%,0,0%,
