Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
54,2022,2022-10-23,7,7,,GNB,@,WAS,L 21-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2022,2022-10-30,8,8,,GNB,@,BUF,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2022,2022-11-06,9,9,,GNB,@,DET,L 9-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2022,2022-11-13,10,10,26.214,GNB,,DAL,W 31-28,,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,4,5%,14,47%,
58,2022,2022-11-17,11,11,26.218,GNB,,TEN,L 17-27,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,11,50%,
59,2022,2022-11-27,12,12,26.228,GNB,@,PHI,L 33-40,,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,17,55%,
60,2022,2022-12-04,13,13,26.235,GNB,@,CHI,W 28-19,,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,50%,
61,2022,2022-12-19,14,15,26.250,GNB,,LAR,W 24-12,,1,0,0.00,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,67%,
62,2022,2022-12-25,15,16,26.256,GNB,@,MIA,W 26-20,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,13,50%,
63,2022,2023-01-01,16,17,26.263,GNB,,MIN,W 41-17,,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,21%,13,46%,
64,2022,2023-01-08,17,18,26.270,GNB,,DET,L 16-20,,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,48%,
65,2023,2023-09-10,1,1,,GNB,@,CHI,W 38-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
