Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,23.008,GNB,@,CHI,W 38-20,*,4,3,50,16.67,0,75.0%,12.50,0,0,45,75%,0,0%,11,39%,
2,2023,2023-09-17,2,2,23.015,GNB,@,ATL,L 24-25,*,3,2,25,12.50,0,66.7%,8.33,0,0,44,88%,0,0%,11,41%,
3,2023,2023-09-24,3,3,23.022,GNB,,NOR,W 18-17,,8,6,49,8.17,0,75.0%,6.13,0,0,68,86%,0,0%,7,28%,
4,2023,2023-09-28,4,4,23.026,GNB,,DET,L 20-34,*,1,1,1,1.00,0,100.0%,1.00,0,0,14,25%,0,0%,5,17%,
5,2023,2023-10-09,5,5,23.037,GNB,@,LVR,L 13-17,*,7,6,34,5.67,0,85.7%,4.86,0,0,40,69%,0,0%,7,29%,
6,2023,2023-10-22,6,7,23.050,GNB,@,DEN,L 17-19,*,5,4,30,7.50,0,80.0%,6.00,0,0,43,67%,0,0%,9,36%,
7,2023,2023-10-29,7,8,23.057,GNB,,MIN,L 10-24,*,3,2,9,4.50,0,66.7%,3.00,0,0,49,72%,0,0%,0,0%,
8,2023,2023-11-05,8,9,23.064,GNB,,LAR,W 20-3,*,4,3,51,17.00,1,75.0%,12.75,1,6,60,83%,0,0%,5,22%,
9,2023,2023-11-12,9,10,23.071,GNB,@,PIT,L 19-23,*,4,2,64,32.00,0,50.0%,16.00,0,0,50,74%,0,0%,10,34%,
10,2023,2023-11-19,10,11,23.078,GNB,,LAC,W 23-20,*,6,4,28,7.00,0,66.7%,4.67,0,0,46,64%,0,0%,5,19%,
11,2023,2023-11-23,11,12,,GNB,@,DET,W 29-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2023,2023-12-03,12,13,,GNB,,KAN,W 27-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2023,2023-12-11,13,14,,GNB,@,NYG,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2023,2023-12-17,14,15,,GNB,,TAM,L 20-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2023,2023-12-24,15,16,,GNB,@,CAR,W 33-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2023,2023-12-31,16,17,,GNB,@,MIN,W 33-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2023,2024-01-07,17,18,23.127,GNB,,CHI,W 17-9,,1,1,11,11.00,0,100.0%,11.00,0,0,9,15%,0,0%,0,0%,
18,2024,2024-09-06,1,1,24.004,GNB,@,PHI,L 29-34,*,2,0,0,,0,0.0%,0.00,0,0,17,25%,0,0%,0,0%,
19,2024,2024-09-15,2,2,24.013,GNB,,IND,W 16-10,*,1,1,6,6.00,0,100.0%,6.00,0,0,31,44%,0,0%,1,5%,
20,2024,2024-09-22,3,3,24.020,GNB,@,TEN,W 30-14,,1,1,3,3.00,0,100.0%,3.00,0,0,35,56%,0,0%,5,18%,
21,2024,2024-09-29,4,4,24.027,GNB,,MIN,L 29-31,,3,3,13,4.33,0,100.0%,4.33,0,0,25,33%,0,0%,6,21%,
22,2024,2024-10-06,5,5,,GNB,@,LAR,W 24-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,2024,2024-10-13,6,6,,GNB,,ARI,W 34-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2024,2024-10-20,7,7,,GNB,,HOU,W 24-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2024,2024-10-27,8,8,,GNB,@,JAX,W 30-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2024,2024-11-03,9,9,,GNB,,DET,L 14-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2024,2024-11-17,10,11,,GNB,@,CHI,W 20-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2024,2024-11-24,11,12,,GNB,,SFO,W 38-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
