Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-06,1.0,1.0,23.133,GNB,@,PHI,L 29-34,,,,,,,,0.0,0%,0.0,0%,14.0,45%
2.0,2024.0,2024-09-15,2.0,2.0,23.142,GNB,,IND,W 16-10,,,,,,,,0.0,0%,0.0,0%,10.0,45%
3.0,2024.0,2024-09-22,3.0,3.0,23.149,GNB,@,TEN,W 30-14,,,,,,,,0.0,0%,0.0,0%,13.0,47%
4.0,2024.0,2024-09-29,4.0,4.0,23.156,GNB,,MIN,L 29-31,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0%,0.0,0%,14.0,48%
5.0,2024.0,2024-10-06,5.0,5.0,23.163,GNB,@,LAR,W 24-19,,,,,,,,0.0,0%,0.0,0%,11.0,50%
6.0,2024.0,2024-10-13,6.0,6.0,23.17,GNB,,ARI,W 34-13,,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0%,0.0,0%,15.0,56%
7.0,2024.0,2024-10-20,7.0,7.0,23.177,GNB,,HOU,W 24-22,,,,,,,,0.0,0%,0.0,0%,15.0,52%
8.0,2024.0,2024-10-27,8.0,8.0,23.184,GNB,@,JAX,W 30-27,,,,,,,,0.0,0%,0.0,0%,16.0,48%
9.0,2024.0,2024-11-03,9.0,9.0,23.191,GNB,,DET,L 14-24,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0%,0.0,0%,13.0,59%
10.0,2024.0,2024-11-17,10.0,11.0,23.205,GNB,@,CHI,W 20-19,,,,,,,,0.0,0%,0.0,0%,11.0,61%
11.0,2024.0,2024-11-24,11.0,12.0,23.212,GNB,,SFO,W 38-10,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0%,7.0,14%,13.0,52%
