Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,JAX,,IND,W 27-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2020,2020-09-20,2,2,,JAX,@,TEN,L 30-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2020,2020-09-24,3,3,23.175,JAX,,MIA,L 13-31,,,,,,,0.0%,,,,,,,,12,18%,0,0%,6,26%,
4,2020,2020-10-04,4,4,23.185,JAX,@,CIN,L 25-33,,,,,,,0.0%,,,,,,,,7,10%,0,0%,10,32%,
5,2020,2020-10-11,5,5,23.192,JAX,@,HOU,L 14-30,,,,,,,0.0%,,,,,,,,5,7%,0,0%,10,42%,
6,2020,2020-10-18,6,6,23.199,JAX,,DET,L 16-34,,2,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,16,25%,0,0%,10,39%,
7,2020,2020-10-25,7,7,,JAX,@,LAC,L 29-39,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2020,2020-11-08,8,9,23.220,JAX,,HOU,L 25-27,,,,,,,0.0%,,,,,,,,0,0%,0,0%,16,52%,
9,2020,2020-11-15,9,10,23.227,JAX,@,GNB,L 20-24,,,,,,,0.0%,,,,,,,,0,0%,0,0%,16,53%,
10,2020,2020-11-22,10,11,,JAX,,PIT,L 3-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2020,2020-11-29,11,12,,JAX,,CLE,L 25-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2020,2020-12-06,12,13,,JAX,@,MIN,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2020,2020-12-13,13,14,,JAX,,TEN,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2020,2020-12-20,14,15,23.262,JAX,@,BAL,L 14-40,,,,,,,0.0%,,,,,,,,0,0%,0,0%,2,9%,
15,2020,2020-12-27,15,16,,JAX,,CHI,L 17-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2020,2021-01-03,16,17,23.276,JAX,@,IND,L 14-28,,,,,,,0.0%,,,,,,,,0,0%,0,0%,6,21%,
17,2021,2021-09-12,1,1,,IND,,SEA,L 16-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2021,2021-09-19,2,2,,IND,,LAR,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2021,2021-09-26,3,3,,IND,@,TEN,L 16-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2021,2021-10-03,4,4,24.184,GNB,,PIT,W 27-17,,,,,,,0.0%,,,,,,,,0,0%,0,0%,7,28%,
21,2021,2021-10-10,5,5,24.191,GNB,@,CIN,W 25-22,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,4,6%,0,0%,7,23%,
22,2021,2021-10-17,6,6,24.198,GNB,@,CHI,W 24-14,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0%,0,0%,8,38%,
23,2021,2021-10-24,7,7,24.205,GNB,,WAS,W 24-10,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,1,2%,0,0%,9,48%,
24,2021,2021-10-28,8,8,24.209,GNB,@,ARI,W 24-21,,,,,,,0.0%,,,,,,,,0,0%,0,0%,10,45%,
25,2021,2021-11-07,9,9,24.219,GNB,@,KAN,L 7-13,,,,,,,0.0%,,,,,,,,1,2%,0,0%,13,59%,
26,2021,2021-11-14,10,10,24.226,GNB,,SEA,W 17-0,,1,1,4,4.00,0,100.0%,4.00,0.0,0,0,0,0,0,12,16%,0,0%,15,83%,
27,2021,2021-11-21,11,11,24.233,GNB,@,MIN,L 31-34,,,,,,,0.0%,,,,,,,,3,5%,0,0%,22,79%,
28,2021,2021-11-28,12,12,24.240,GNB,,LAR,W 36-28,,,,,,,0.0%,,,,,,,,3,4%,0,0%,29,81%,
29,2021,2021-12-12,13,14,24.254,GNB,,CHI,W 45-30,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,9,14%,0,0%,27,75%,
30,2021,2021-12-19,14,15,24.261,GNB,@,BAL,W 31-30,,1,1,22,22.00,0,100.0%,22.00,0.0,0,0,0,0,0,19,31%,0,0%,21,84%,
31,2021,2021-12-25,15,16,24.267,GNB,,CLE,W 24-22,,,,,,,0.0%,,,,,,,,13,22%,0,0%,19,83%,
32,2021,2022-01-02,16,17,24.275,GNB,,MIN,W 37-10,,2,2,9,4.50,0,100.0%,4.50,0.0,0,0,0,0,0,32,43%,0,0%,24,89%,
33,2021,2022-01-09,17,18,24.282,GNB,@,DET,L 30-37,,1,0,0,,0,0.0%,0.00,0.0,1,0,1,0,0,24,35%,0,0%,21,75%,
34,2022,2022-09-11,1,1,25.162,GNB,@,MIN,L 7-23,,1,1,3,3.00,0,100.0%,3.00,0.0,0,0,0,0,0,15,25%,0,0%,17,74%,
35,2022,2022-09-18,2,2,25.169,GNB,,CHI,W 27-10,,1,0,0,,0,0.0%,0.00,0.0,1,0,1,0,0,21,31%,0,0%,20,91%,
36,2022,2022-09-25,3,3,25.176,GNB,@,TAM,W 14-12,,2,2,26,13.00,0,100.0%,13.00,0.0,0,0,0,0,0,19,31%,0,0%,23,92%,
37,2022,2022-10-02,4,4,25.183,GNB,,NWE,W 27-24,,0,0,0,,0,0.0%,,0.0,1,1,2,0,0,21,29%,0,0%,26,81%,
38,2022,2022-10-09,5,5,25.190,GNB,,NYG,L 22-27,*,2,1,-3,-3.00,0,50.0%,-1.50,0.0,0,0,0,0,0,8,13%,0,0%,21,81%,
39,2022,2022-10-16,6,6,25.197,GNB,,NYJ,L 10-27,,,,,,,0.0%,,,,,,,,5,7%,0,0%,23,79%,
40,2022,2022-10-23,7,7,25.204,GNB,@,WAS,L 21-23,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,11,20%,0,0%,22,76%,
41,2022,2022-10-30,8,8,25.211,GNB,@,BUF,L 17-27,,,,,,,0.0%,,,,,,,,3,5%,0,0%,17,77%,
42,2022,2022-11-06,9,9,25.218,GNB,@,DET,L 9-15,,,,,,,0.0%,,,,,,,,5,7%,0,0%,10,77%,
43,2022,2022-11-13,10,10,25.225,GNB,,DAL,W 31-28,,,,,,,0.0%,,,,,,,,4,6%,0,0%,26,87%,
44,2022,2022-11-17,11,11,25.229,GNB,,TEN,L 17-27,,,,,,,0.0%,,,,,,,,3,5%,0,0%,18,82%,
45,2022,2022-11-27,12,12,25.239,GNB,@,PHI,L 33-40,,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,9,18%,0,0%,24,77%,
46,2022,2022-12-04,13,13,25.246,GNB,@,CHI,W 28-19,,,,,,,0.0%,,,,,,,,7,11%,0,0%,19,79%,
47,2022,2022-12-19,14,15,25.261,GNB,,LAR,W 24-12,,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,11,15%,0,0%,18,86%,
48,2022,2022-12-25,15,16,25.267,GNB,@,MIA,W 26-20,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,14,21%,0,0%,21,81%,
49,2022,2023-01-01,16,17,25.274,GNB,,MIN,W 41-17,,0,0,0,,0,0.0%,,0.0,1,1,2,0,0,10,16%,0,0%,23,82%,
50,2022,2023-01-08,17,18,25.281,GNB,,DET,L 16-20,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,8,13%,0,0%,18,72%,
51,2023,2023-09-10,1,1,,GNB,@,CHI,W 38-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2023,2023-09-17,2,2,,GNB,@,ATL,L 24-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,2023,2023-09-24,3,3,,GNB,,NOR,W 18-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
