Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
11,2023,2023-11-23,11,12,23.020,GNB,@,DET,W 29-22,*,2,2,15,7.50,1,100.0%,7.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,96%,0,0%,13,57%
12,2023,2023-12-03,12,13,23.030,GNB,,KAN,W 27-19,*,6,3,37,12.33,0,50.0%,6.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,95%,0,0%,12,55%
13,2023,2023-12-11,13,14,23.038,GNB,@,NYG,L 22-24,*,4,4,64,16.00,0,100.0%,16.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,12,45%
14,2023,2023-12-17,14,15,23.044,GNB,,TAM,L 20-34,*,6,4,57,14.25,1,66.7%,9.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,95%,0,0%,12,48%
15,2023,2023-12-24,15,16,23.051,GNB,@,CAR,W 33-30,*,6,4,60,15.00,0,66.7%,10.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,14,47%
16,2023,2023-12-31,16,17,23.058,GNB,@,MIN,W 33-10,*,6,6,48,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,82%,0,0%,11,46%
17,2023,2024-01-07,17,18,23.065,GNB,,CHI,W 17-9,*,3,3,31,10.33,0,100.0%,10.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,90%,0,0%,8,44%
18,2024,2024-09-06,1,1,23.308,GNB,@,PHI,L 29-34,*,3,2,37,18.50,0,66.7%,12.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,96%,0,0%,16,52%
19,2024,2024-09-15,2,2,23.317,GNB,,IND,W 16-10,*,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,80%,0,0%,11,50%
20,2024,2024-09-22,3,3,23.324,GNB,@,TEN,W 30-14,*,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,42,67%,0,0%,11,39%
21,2024,2024-09-29,4,4,23.331,GNB,,MIN,L 29-31,*,9,6,53,8.83,1,66.7%,5.89,0,0,,0,1,1,8,0.0,0,0,0,0,0,1,1,0,0,0,0,65,86%,0,0%,8,28%
22,2024,2024-10-06,5,5,23.338,GNB,@,LAR,W 24-19,*,5,4,88,22.00,2,80.0%,17.60,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,8,36%
23,2024,2024-10-13,6,6,23.345,GNB,,ARI,W 34-13,*,4,2,13,6.50,0,50.0%,3.25,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,7,26%
24,2024,2024-10-20,7,7,23.352,GNB,,HOU,W 24-22,*,4,3,33,11.00,1,75.0%,8.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,95%,0,0%,8,28%
25,2024,2024-10-27,8,8,23.359,GNB,@,JAX,W 30-27,*,3,3,78,26.00,1,100.0%,26.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,84%,0,0%,9,27%
26,2024,2024-11-03,9,9,24.000,GNB,,DET,L 14-24,*,6,4,34,8.50,0,66.7%,5.67,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,5,23%
27,2024,2024-11-17,10,11,24.014,GNB,@,CHI,W 20-19,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,93%,0,0%,3,17%
28,2024,2024-11-24,11,12,24.021,GNB,,SFO,W 38-10,*,2,2,26,13.00,1,100.0%,13.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,79%,0,0%,10,40%
