Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-06,1.0,1.0,22.001,GNB,@,PHI,L 29-34,*,0.0,7.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,76.0,100%,15.0,48%
2.0,2024.0,2024-09-15,2.0,2.0,22.01,GNB,,IND,W 16-10,*,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0%,42.0,75%,12.0,55%
3.0,2024.0,2024-09-22,3.0,3.0,22.017,GNB,@,TEN,W 30-14,*,,,,,,,,,,,0.0,0%,49.0,91%,12.0,43%
4.0,2024.0,2024-09-29,4.0,4.0,22.024,GNB,,MIN,L 29-31,*,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,57.0,84%,12.0,41%
5.0,2024.0,2024-10-06,5.0,5.0,22.031,GNB,@,LAR,W 24-19,*,0.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,57.0,73%,9.0,41%
6.0,2024.0,2024-10-13,6.0,6.0,22.038,GNB,,ARI,W 34-13,*,0.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,54.0,93%,10.0,37%
7.0,2024.0,2024-10-20,7.0,7.0,22.045,GNB,,HOU,W 24-22,,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,29.0,45%,12.0,41%
8.0,2024.0,2024-10-27,8.0,8.0,22.052,GNB,@,JAX,W 30-27,,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,49.0,86%,15.0,45%
9.0,2024.0,2024-11-03,9.0,9.0,22.059,GNB,,DET,L 14-24,*,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,57.0,100%,12.0,55%
10.0,2024.0,2024-11-17,10.0,11.0,22.073,GNB,@,CHI,W 20-19,*,0.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,52.0,72%,8.0,44%
11.0,2024.0,2024-11-24,11.0,12.0,22.08,GNB,,SFO,W 38-10,*,0.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,41.0,84%,9.0,36%
