Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
11,2012,2012-11-25,11,12,24.050,JAX,,TEN,W 24-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,235,47.00,0,235,47.0,0,0.0%,4,80.0%,0,0,0%,0,0%,9,30%
12,2012,2012-12-02,12,13,24.057,JAX,@,BUF,L 18-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,208,41.60,12,196,39.2,0,0.0%,3,60.0%,0,0,0%,0,0%,7,25%
13,2012,2012-12-09,13,14,24.064,JAX,,NYJ,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,363,45.38,18,345,43.1,0,0.0%,5,62.5%,0,0,0%,0,0%,11,39%
14,2012,2012-12-16,14,15,24.071,JAX,@,MIA,L 3-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,237,47.40,0,237,47.4,0,0.0%,2,40.0%,0,0,0%,0,0%,6,30%
15,2012,2012-12-23,15,16,24.078,JAX,,NWE,L 16-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,225,56.25,42,183,45.8,0,0.0%,2,50.0%,0,0,0%,0,0%,9,30%
16,2012,2012-12-30,16,17,24.085,JAX,@,TEN,L 20-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,232,46.40,160,72,14.4,0,0.0%,1,20.0%,0,0,0%,0,0%,7,24%
17,2013,2013-09-08,1,1,24.337,JAX,,KAN,L 2-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,11,556,50.55,80,456,41.5,1,9.1%,2,18.2%,0,0,0%,0,0%,11,34%
18,2013,2013-09-15,2,2,24.344,JAX,@,OAK,L 9-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,349,43.63,33,316,39.5,0,0.0%,3,37.5%,0,0,0%,0,0%,9,31%
19,2013,2013-09-22,3,3,24.351,JAX,@,SEA,L 17-45,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,299,42.71,33,266,38.0,0,0.0%,2,28.6%,0,0,0%,0,0%,10,30%
20,2013,2013-09-29,4,4,24.358,JAX,,IND,L 3-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,290,48.33,19,271,45.2,0,0.0%,1,16.7%,0,0,0%,0,0%,7,26%
21,2013,2013-10-06,5,5,25.000,JAX,@,STL,L 20-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,241,48.20,15,226,45.2,0,0.0%,1,20.0%,0,0,0%,0,0%,10,29%
22,2013,2013-10-13,6,6,25.007,JAX,@,DEN,L 19-35,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0.0,0,0,0,0,0,0,0,0,1,0,0,3,135,45.00,1,134,44.7,0,0.0%,2,66.7%,0,0,0%,0,0%,8,29%
23,2013,2013-10-20,7,7,25.014,JAX,,SDG,L 6-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,150,50.00,11,119,39.7,1,33.3%,1,33.3%,0,0,0%,0,0%,5,25%
24,2013,2013-10-27,8,8,25.021,JAX,,SFO,L 10-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,178,44.50,4,154,38.5,1,25.0%,0,0.0%,0,0,0%,0,0%,6,26%
25,2013,2013-11-10,9,10,25.035,JAX,@,TEN,W 29-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,1,0,0,1,0,0,7,304,43.43,15,269,38.4,1,14.3%,3,42.9%,0,0,0%,0,0%,12,34%
26,2013,2013-11-17,10,11,25.042,JAX,,ARI,L 14-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,382,47.75,22,360,45.0,0,0.0%,6,75.0%,0,0,0%,0,0%,11,32%
27,2013,2013-11-24,11,12,25.049,JAX,@,HOU,W 13-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,259,43.17,19,200,33.3,2,33.3%,2,33.3%,0,0,0%,0,0%,10,38%
28,2013,2013-12-01,12,13,25.056,JAX,@,CLE,W 32-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,306,43.71,49,237,33.9,1,14.3%,4,57.1%,0,0,0%,0,0%,13,38%
29,2013,2013-12-05,13,14,25.060,JAX,,HOU,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,341,42.63,21,300,37.5,1,12.5%,1,12.5%,0,0,0%,0,0%,13,38%
30,2013,2013-12-15,14,15,25.070,JAX,,BUF,L 20-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,136,45.33,4,132,44.0,0,0.0%,1,33.3%,0,0,0%,0,0%,7,26%
31,2013,2013-12-22,15,16,25.077,JAX,,TEN,L 16-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,182,45.50,-1,183,45.8,0,0.0%,2,50.0%,0,0,0%,0,0%,7,30%
32,2013,2013-12-29,16,17,25.084,JAX,@,IND,L 10-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,230,46.00,5,225,45.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%
33,2014,2014-09-07,1,1,25.336,JAX,@,PHI,L 17-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,372,46.50,62,310,38.8,0,0.0%,2,25.0%,0,0,0%,0,0%,13,36%
34,2014,2014-09-14,2,2,25.343,JAX,@,WAS,L 10-41,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,383,47.88,59,324,40.5,0,0.0%,2,25.0%,0,0,0%,0,0%,10,30%
