Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
96,2017,2017-12-31,16,17,29.086,TAM,,NOR,W 31-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,100,50.00,-7,107,53.5,0,0.0%,2,100.0%,0,0,0%,0,0%,6,23%
97,2018,2018-09-09,1,1,29.338,TAM,@,NOR,W 48-40,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,42,42.00,0,42,42.0,0,0.0%,0,0.0%,0,0,0%,0,0%,10,30%
98,2018,2018-09-16,2,2,29.345,TAM,,PHI,W 27-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,260,43.33,13,247,41.2,0,0.0%,2,33.3%,0,0,0%,0,0%,10,36%
99,2018,2018-09-24,3,3,29.353,TAM,,PIT,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,126,42.00,16,110,36.7,0,0.0%,1,33.3%,0,0,0%,0,0%,8,25%
100,2018,2018-09-30,4,4,29.359,TAM,@,CHI,L 10-48,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,214,42.80,14,200,40.0,0,0.0%,1,20.0%,0,0,0%,0,0%,7,25%
101,2018,2018-10-14,5,6,30.008,TAM,@,ATL,L 29-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,81,40.50,14,67,33.5,0,0.0%,1,50.0%,0,0,0%,0,0%,6,21%
102,2018,2018-10-21,6,7,30.015,TAM,,CLE,W 26-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,187,46.75,46,121,30.3,1,25.0%,1,25.0%,0,0,0%,0,0%,11,33%
103,2018,2018-10-28,7,8,30.022,TAM,@,CIN,L 34-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,149,49.67,29,120,40.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,24%
104,2018,2018-11-04,8,9,30.029,TAM,@,CAR,L 28-42,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,231,46.20,12,219,43.8,0,0.0%,2,40.0%,0,0,0%,0,0%,10,31%
105,2018,2018-11-11,9,10,30.036,TAM,,WAS,L 3-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,44,44.00,0,24,24.0,1,100.0%,0,0.0%,0,0,0%,0,0%,4,20%
106,2018,2018-11-18,10,11,30.043,TAM,@,NYG,L 35-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,44,44.00,5,39,39.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,21%
107,2018,2018-11-25,11,12,30.050,TAM,,SFO,W 27-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,230,46.00,6,224,44.8,0,0.0%,2,40.0%,0,0,0%,0,0%,10,36%
108,2018,2018-12-02,12,13,30.057,TAM,,CAR,W 24-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,267,44.50,6,241,40.2,1,16.7%,2,33.3%,0,0,0%,0,0%,10,42%
109,2018,2018-12-09,13,14,30.064,TAM,,NOR,L 14-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,225,45.00,29,196,32.7,0,0.0%,1,20.0%,1,0,0%,0,0%,10,38%
110,2018,2018-12-16,14,15,30.071,TAM,@,BAL,L 12-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,163,40.75,0,143,35.8,1,25.0%,1,25.0%,0,0,0%,0,0%,7,30%
111,2018,2018-12-23,15,16,30.078,TAM,@,DAL,L 20-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,102,51.00,13,89,44.5,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%
112,2018,2018-12-30,16,17,30.085,TAM,,ATL,L 32-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,202,50.50,28,174,43.5,0,0.0%,1,25.0%,0,0,0%,0,0%,8,25%
113,2019,2019-09-22,3,3,30.351,HOU,@,LAC,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,180,45.00,-1,181,45.3,0,0.0%,3,75.0%,0,0,0%,0,0%,9,33%
114,2019,2019-09-29,4,4,30.358,HOU,,CAR,L 10-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,257,51.40,0,257,51.4,0,0.0%,3,60.0%,0,0,0%,0,0%,8,32%
115,2019,2019-10-06,5,5,31.000,HOU,,ATL,W 53-32,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,35,35.00,0,35,35.0,0,0.0%,0,0.0%,0,0,0%,0,0%,10,29%
116,2019,2019-10-13,6,6,31.007,HOU,@,KAN,W 31-24,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,0,0%,0,0%,5,22%
117,2019,2019-10-20,7,7,31.014,HOU,@,IND,L 23-30,,0,0,,0,0,0,,0,0,,,1,-5,-5.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,89,44.50,0,69,34.5,1,50.0%,1,50.0%,0,0,0%,0,0%,9,32%
118,2019,2019-10-27,8,8,31.021,HOU,,OAK,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,207,51.75,3,184,46.0,1,25.0%,1,25.0%,0,0,0%,0,0%,9,30%
119,2019,2019-11-03,9,9,31.028,HOU,@,JAX,W 26-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,136,45.33,8,128,42.7,0,0.0%,1,33.3%,0,0,0%,0,0%,9,41%
120,2019,2019-11-17,10,11,31.042,HOU,@,BAL,L 7-41,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,112,37.33,4,108,36.0,0,0.0%,1,33.3%,0,0,0%,0,0%,5,21%
121,2019,2019-11-21,11,12,31.046,HOU,,IND,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,94,47.00,0,94,47.0,0,0.0%,1,50.0%,0,0,0%,0,0%,7,30%
122,2019,2019-12-01,12,13,31.056,HOU,,NWE,W 28-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,236,47.20,6,230,46.0,0,0.0%,3,60.0%,0,0,0%,0,0%,9,35%
123,2019,2019-12-08,13,14,31.063,HOU,,DEN,L 24-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,74,37.00,2,72,36.0,0,0.0%,1,50.0%,0,0,0%,0,0%,6,22%
124,2019,2019-12-15,14,15,31.070,HOU,@,TEN,W 24-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,185,46.25,19,166,41.5,0,0.0%,3,75.0%,0,0,0%,0,0%,10,37%
125,2019,2019-12-21,15,16,31.076,HOU,@,TAM,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,241,48.20,3,238,47.6,0,0.0%,3,60.0%,0,0,0%,0,0%,12,40%
126,2019,2019-12-29,16,17,31.084,HOU,,TEN,L 14-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,248,49.60,9,239,47.8,0,0.0%,3,60.0%,0,0,0%,0,0%,7,25%
127,2020,2020-09-10,1,1,31.340,HOU,@,KAN,L 20-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,123,41.00,0,123,41.0,0,0.0%,2,66.7%,0,0,0%,0,0%,6,24%
128,2020,2020-09-20,2,2,31.350,HOU,,BAL,L 16-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,140,46.67,8,132,44.0,0,0.0%,2,66.7%,0,0,0%,0,0%,7,25%
129,2020,2020-09-27,3,3,31.357,HOU,@,PIT,L 21-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,291,48.50,25,266,44.3,0,0.0%,1,16.7%,0,0,0%,0,0%,10,36%
130,2020,2020-10-04,4,4,31.364,HOU,,MIN,L 23-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,201,50.25,6,175,43.8,1,25.0%,0,0.0%,0,0,0%,0,0%,10,31%
131,2020,2020-10-11,5,5,32.005,HOU,,JAX,W 30-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,33,33.00,0,33,33.0,0,0.0%,1,100.0%,0,0,0%,0,0%,7,29%
132,2020,2020-10-18,6,6,32.012,HOU,@,TEN,L 36-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,209,52.25,20,169,42.3,1,25.0%,1,25.0%,0,0,0%,0,0%,9,31%
133,2020,2020-10-25,7,7,32.019,HOU,,GNB,L 20-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,205,51.25,6,179,44.8,1,25.0%,2,50.0%,0,0,0%,0,0%,9,30%
134,2020,2020-11-08,8,9,32.033,HOU,@,JAX,W 27-25,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,223,44.60,3,200,40.0,1,20.0%,3,60.0%,0,0,0%,0,0%,11,35%
135,2020,2020-11-15,9,10,32.040,HOU,@,CLE,L 7-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,168,56.00,11,137,45.7,1,33.3%,0,0.0%,0,0,0%,0,0%,6,35%
136,2020,2020-11-22,10,11,32.047,HOU,,NWE,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,161,40.25,3,158,39.5,0,0.0%,1,25.0%,0,0,0%,0,0%,9,33%
137,2020,2020-11-26,11,12,32.051,HOU,@,DET,W 41-25,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,117,39.00,0,117,39.0,0,0.0%,1,33.3%,0,1,2%,0,0%,11,37%
138,2020,2020-12-06,12,13,32.061,HOU,,IND,L 20-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,145,48.33,22,123,41.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,32%
139,2020,2020-12-13,13,14,32.068,HOU,@,CHI,L 7-36,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,172,43.00,4,168,42.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,22%
140,2020,2020-12-20,14,15,32.075,HOU,@,IND,L 20-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,95,47.50,13,82,41.0,0,0.0%,2,100.0%,0,0,0%,0,0%,6,26%
141,2020,2020-12-27,15,16,32.082,HOU,,CIN,L 31-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,180,45.00,7,153,38.3,1,25.0%,2,50.0%,0,0,0%,0,0%,9,28%
142,2020,2021-01-03,16,17,32.089,HOU,,TEN,L 38-41,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,42,42.00,0,42,42.0,0,0.0%,1,100.0%,0,0,0%,0,0%,10,29%
143,2021,2021-09-09,1,1,32.338,DAL,@,TAM,L 29-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,147,49.00,21,126,42.0,0,0.0%,1,33.3%,0,0,0%,0,0%,11,32%
144,2021,2021-09-19,2,2,32.348,DAL,@,LAC,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,44,44.00,6,38,38.0,0,0.0%,1,100.0%,0,0,0%,0,0%,5,26%
145,2021,2021-09-27,3,3,32.356,DAL,,PHI,W 41-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,202,50.50,-2,204,51.0,0,0.0%,2,50.0%,0,0,0%,0,0%,10,33%
146,2021,2021-10-03,4,4,32.362,DAL,,CAR,W 36-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,190,47.50,0,170,42.5,1,25.0%,2,50.0%,0,0,0%,0,0%,9,31%
147,2021,2021-10-10,5,5,33.004,DAL,,NYG,W 44-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,61,61.00,7,54,54.0,0,0.0%,1,100.0%,0,0,0%,0,0%,9,30%
148,2021,2021-10-17,6,6,33.011,DAL,@,NWE,W 35-29,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,51,51.00,23,28,28.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,25%
149,2021,2021-10-31,7,8,33.025,DAL,@,MIN,W 20-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,181,45.25,7,174,43.5,0,0.0%,1,25.0%,0,0,0%,0,0%,9,30%
150,2021,2021-11-07,8,9,33.032,DAL,,DEN,L 16-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,194,48.50,1,153,38.3,2,50.0%,1,25.0%,0,0,0%,0,0%,4,17%
151,2021,2021-11-14,9,10,33.039,DAL,,ATL,W 43-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,190,47.50,11,179,44.8,0,0.0%,0,0.0%,0,0,0%,0,0%,10,40%
152,2021,2021-11-21,10,11,33.046,DAL,@,KAN,L 9-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,280,46.67,9,271,45.2,0,0.0%,3,50.0%,0,0,0%,0,0%,9,33%
153,2021,2021-11-25,11,12,33.050,DAL,,LVR,L 33-36,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,385,55.00,34,351,50.1,0,0.0%,2,28.6%,0,0,0%,0,0%,13,31%
154,2021,2021-12-02,12,13,33.057,DAL,@,NOR,W 27-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,337,48.14,37,300,42.9,0,0.0%,2,28.6%,0,0,0%,0,0%,13,41%
155,2021,2021-12-12,13,14,33.067,DAL,@,WAS,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,268,44.67,0,248,41.3,1,16.7%,1,16.7%,0,0,0%,0,0%,11,37%
156,2021,2021-12-19,14,15,33.074,DAL,@,NYG,W 21-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,160,40.00,0,160,40.0,0,0.0%,4,100.0%,0,0,0%,0,0%,9,43%
157,2021,2021-12-26,15,16,33.081,DAL,,WAS,W 56-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,214,53.50,14,200,50.0,0,0.0%,1,25.0%,0,0,0%,0,0%,12,36%
158,2021,2022-01-02,16,17,33.088,DAL,,ARI,L 22-25,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,195,48.75,-5,200,50.0,0,0.0%,2,50.0%,0,0,0%,0,0%,7,27%
159,2021,2022-01-08,17,18,33.094,DAL,@,PHI,W 51-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,44,44.00,0,44,44.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,29%
160,2022,2022-09-11,1,1,33.340,DAL,,TAM,L 3-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,254,50.80,28,226,45.2,0,0.0%,2,40.0%,0,0,0%,0,0%,6,25%
161,2022,2022-09-18,2,2,33.347,DAL,,CIN,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,217,43.40,20,197,39.4,0,0.0%,4,80.0%,0,0,0%,0,0%,9,35%
162,2022,2022-09-26,3,3,33.355,DAL,@,NYG,W 23-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,178,44.50,1,157,39.3,1,25.0%,2,50.0%,0,0,0%,0,0%,10,34%
163,2022,2022-10-02,4,4,33.361,DAL,,WAS,W 25-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,256,42.67,8,248,41.3,0,0.0%,2,33.3%,0,0,0%,0,0%,12,40%
164,2022,2022-10-09,5,5,34.003,DAL,@,LAR,W 22-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,288,48.00,19,249,41.5,1,16.7%,3,50.0%,0,0,0%,0,0%,11,37%
165,2022,2022-10-16,6,6,34.010,DAL,@,PHI,L 17-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,119,59.50,14,85,42.5,1,50.0%,0,0.0%,0,0,0%,0,0%,6,25%
166,2022,2022-10-23,7,7,34.017,DAL,,DET,W 24-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,243,48.60,13,210,42.0,1,20.0%,0,0.0%,0,0,0%,0,0%,9,41%
167,2022,2022-10-30,8,8,34.024,DAL,,CHI,W 49-29,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,142,71.00,9,113,56.5,1,50.0%,0,0.0%,0,0,0%,0,0%,9,31%
168,2022,2022-11-13,9,10,34.038,DAL,@,GNB,L 28-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,246,49.20,32,214,42.8,0,0.0%,3,60.0%,0,0,0%,0,0%,9,30%
169,2022,2022-11-20,10,11,34.045,DAL,@,MIN,W 40-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,101,50.50,3,98,49.0,0,0.0%,2,100.0%,0,0,0%,0,0%,10,36%
170,2022,2022-11-24,11,12,34.049,DAL,,NYG,W 28-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,51,51.00,3,48,48.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,26%
171,2022,2022-12-04,12,13,34.059,DAL,,IND,W 54-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,198,49.50,4,174,43.5,1,25.0%,1,25.0%,0,0,0%,0,0%,11,35%
172,2022,2022-12-11,13,14,34.066,DAL,,HOU,W 27-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,157,52.33,57,100,33.3,0,0.0%,0,0.0%,0,0,0%,0,0%,8,29%
173,2022,2022-12-18,14,15,34.073,DAL,@,JAX,L 34-40,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,185,46.25,13,172,43.0,0,0.0%,2,50.0%,0,0,0%,0,0%,10,30%
174,2022,2022-12-24,15,16,34.079,DAL,,PHI,W 40-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,57,57.00,0,57,57.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,29%
175,2022,2022-12-29,16,17,34.084,DAL,@,TEN,W 27-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,121,40.33,0,121,40.3,0,0.0%,3,100.0%,0,0,0%,0,0%,8,32%
176,2022,2023-01-08,17,18,34.094,DAL,@,WAS,L 6-26,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0.0,0,0,0,0,0,1,0,0,1,-14,0,10,478,47.80,56,422,42.2,0,0.0%,3,30.0%,0,0,0%,0,0%,12,35%
177,2023,2023-09-10,1,1,34.339,DAL,@,NYG,W 40-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,146,48.67,7,119,39.7,1,33.3%,1,33.3%,0,0,0%,0,0%,10,42%
178,2023,2023-09-17,2,2,34.346,DAL,,NYJ,W 30-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,155,51.67,7,148,49.3,0,0.0%,1,33.3%,0,0,0%,0,0%,9,32%
179,2023,2023-09-24,3,3,34.353,DAL,@,ARI,L 16-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,102,51.00,19,83,41.5,0,0.0%,0,0.0%,0,0,0%,0,0%,6,24%
180,2023,2023-10-01,4,4,34.360,DAL,,NWE,W 38-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,112,56.00,-2,114,57.0,0,0.0%,2,100.0%,0,0,0%,0,0%,9,35%
181,2023,2023-10-08,5,5,35.002,DAL,@,SFO,L 10-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,254,50.80,39,215,43.0,0,0.0%,1,20.0%,0,0,0%,0,0%,7,26%
182,2023,2023-10-16,6,6,35.010,DAL,@,LAC,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,209,52.25,38,171,42.8,0,0.0%,1,25.0%,0,0,0%,0,0%,9,36%
183,2023,2023-10-29,7,8,35.023,DAL,,LAR,W 43-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,93,46.50,-5,98,49.0,0,0.0%,1,50.0%,0,0,0%,0,0%,9,30%
184,2023,2023-11-05,8,9,35.030,DAL,@,PHI,L 23-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,82,41.00,4,78,39.0,0,0.0%,1,50.0%,0,0,0%,0,0%,5,21%
185,2023,2023-11-12,9,10,35.037,DAL,,NYG,W 49-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,93,46.50,0,93,46.5,0,0.0%,2,100.0%,0,0,0%,0,0%,9,29%
186,2023,2023-11-19,10,11,35.044,DAL,@,CAR,W 33-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,176,58.67,14,162,54.0,1,33.3%,1,33.3%,0,0,0%,0,0%,9,33%
187,2023,2023-11-23,11,12,35.048,DAL,,WAS,W 45-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,158,52.67,9,149,49.7,0,0.0%,2,66.7%,0,0,0%,0,0%,9,36%
188,2023,2023-11-30,12,13,35.055,DAL,,SEA,W 41-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,7,25%
189,2023,2023-12-10,13,14,35.065,DAL,,PHI,W 33-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,48,48.00,18,30,30.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,32%
190,2023,2023-12-17,14,15,35.072,DAL,@,BUF,L 10-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,275,55.00,32,243,48.6,0,0.0%,3,60.0%,0,0,0%,0,0%,7,29%
191,2023,2023-12-24,15,16,35.079,DAL,@,MIA,L 20-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,178,59.33,32,146,48.7,0,0.0%,0,0.0%,0,0,0%,0,0%,7,27%
192,2023,2023-12-30,16,17,35.085,DAL,,DET,W 20-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,181,45.25,35,146,36.5,0,0.0%,1,25.0%,0,0,0%,0,0%,8,31%
193,2023,2024-01-07,17,18,35.093,DAL,@,WAS,W 38-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,8,36%
194,2024,2024-09-08,1,1,35.338,DAL,@,CLE,W 33-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,294,49.00,83,211,35.2,0,0.0%,0,0.0%,0,0,0%,0,0%,13,36%
195,2024,2024-09-15,2,2,35.345,DAL,,NOR,L 19-44,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,53,53.00,0,53,53.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,22%
196,2024,2024-09-22,3,3,35.352,DAL,,BAL,L 25-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,209,52.25,29,180,45.0,0,0.0%,2,50.0%,0,0,0%,0,0%,7,25%
197,2024,2024-09-26,4,4,35.356,DAL,@,NYG,W 20-15,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,165,55.00,22,123,41.0,1,33.3%,1,33.3%,0,0,0%,0,0%,8,32%
198,2024,2024-10-06,5,5,36.000,DAL,@,PIT,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,45,45.00,0,45,45.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,29%
