Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,,1,,DAL,,NYG,W 19-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2017,2017-09-17,2,2,22.017,DAL,@,DEN,L 17-42,,0,0,,0,0,0,,0,0,0,0.0,6,0,6,0,0,1,25,0,1,0,0,0,0,0,0,0,0%,65,84%,8,27%,
3,2017,2017-09-25,3,3,22.025,DAL,@,ARI,W 28-17,*,0,0,,0,0,0,,0,0,0,0.0,6,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,49,60%,1,3%,
4,2017,2017-10-01,4,4,22.031,DAL,,LAR,L 30-35,,0,0,,0,0,0,,0,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,81%,0,0%,
5,2017,2017-10-08,5,5,22.038,DAL,,GNB,L 31-35,*,0,0,,0,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,48,80%,2,8%,
6,2017,2017-10-22,6,7,22.052,DAL,@,SFO,W 40-10,,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,88%,5,21%,
7,2017,2017-10-29,7,8,22.059,DAL,@,WAS,W 33-19,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,86%,5,15%,
8,2017,2017-11-05,8,9,22.066,DAL,,KAN,W 28-17,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,77%,2,8%,
9,2017,2017-11-12,9,10,22.073,DAL,@,ATL,L 7-27,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,37,57%,1,5%,
10,2017,2017-11-19,10,11,22.080,DAL,,PHI,L 9-37,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,67%,2,8%,
11,2017,2017-11-23,11,12,22.084,DAL,,LAC,L 6-28,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,57%,0,0%,
12,2017,2017-11-30,12,13,22.091,DAL,,WAS,W 38-14,,0,0,,0,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,40%,2,7%,
13,2017,2017-12-10,13,14,22.101,DAL,@,NYG,W 30-10,*,0,0,,0,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,78,98%,1,3%,
14,2017,2017-12-17,14,15,22.108,DAL,@,OAK,W 20-17,*,0,0,,0,0,0,,0,0,0,0.0,4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,49,74%,3,12%,
15,2017,2017-12-24,15,16,22.115,DAL,,SEA,L 12-21,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,93%,3,11%,
16,2017,2017-12-31,16,17,22.122,DAL,@,PHI,W 6-0,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,88%,0,0%,
17,2018,2018-09-09,1,1,23.009,DAL,@,CAR,L 8-16,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,55%,
18,2018,2018-09-16,2,2,23.016,DAL,,NYG,W 20-13,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,9,35%,
19,2018,2018-09-23,,3,,DAL,@,SEA,L 13-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2018,2018-09-30,4,4,23.030,DAL,,DET,W 26-24,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,2,7%,
21,2018,2018-10-07,5,5,23.037,DAL,@,HOU,L 16-19,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0%,33,41%,3,10%,
22,2018,2018-10-14,6,6,23.044,DAL,,JAX,W 40-7,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,40,83%,15,48%,
23,2018,2018-10-21,7,7,23.051,DAL,@,WAS,L 17-20,,1,7,7.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,2%,12,20%,9,32%,
