Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,26.220,ATL,,TAM,L 24-31,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,87%,
2,2016,2016-09-18,2,2,26.227,ATL,@,OAK,W 35-28,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,24,80%,
3,2016,2016-09-26,3,3,26.235,ATL,@,NOR,W 45-32,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,25%,20,69%,
4,2016,2016-10-02,4,4,26.241,ATL,,CAR,W 48-33,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,69%,
5,2016,2016-10-09,5,5,26.248,ATL,@,DEN,W 23-16,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,13,19%,22,73%,
6,2016,2016-10-16,6,6,26.255,ATL,@,SEA,L 24-26,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,47%,
7,2016,2016-10-23,,7,,ATL,,SDG,L 30-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2016,2016-10-30,8,8,26.269,ATL,,GNB,W 33-32,,0,0,,0,0.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,21,34%,21,81%,
9,2016,2016-11-03,,9,,ATL,@,TAM,W 43-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2016,2016-11-13,10,10,26.283,ATL,@,PHI,L 15-24,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,82%,
11,2016,2016-11-27,11,12,26.297,ATL,,ARI,W 38-19,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,20,74%,
12,2016,2016-12-04,12,13,26.304,ATL,,KAN,L 28-29,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,83%,
13,2016,2016-12-11,13,14,26.311,ATL,@,LAR,W 42-14,,0,0,,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,22,67%,
14,2016,2016-12-18,14,15,26.318,ATL,,SFO,W 41-13,*,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,71%,12,41%,
15,2016,2016-12-24,15,16,26.324,ATL,@,CAR,W 33-16,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,13,42%,
16,2016,2017-01-01,16,17,26.332,ATL,,NOR,W 38-32,,0,0,,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,19%,24,73%,
17,2017,2017-09-10,1,1,27.218,ATL,@,CHI,W 23-17,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,73%,
18,2017,2017-09-17,2,2,27.225,ATL,,GNB,W 34-23,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,20,71%,
19,2017,2017-09-24,3,3,27.232,ATL,@,DET,W 30-26,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,79%,
20,2017,2017-10-01,4,4,27.239,ATL,,BUF,L 17-23,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,84%,
21,2017,2017-10-15,5,6,27.253,ATL,,MIA,L 17-20,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,78%,
22,2017,2017-10-22,6,7,27.260,ATL,@,NWE,L 7-23,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,11,55%,
23,2017,2017-10-29,7,8,27.267,ATL,@,NYJ,W 25-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,69%,
24,2017,2017-11-05,8,9,27.274,ATL,@,CAR,L 17-20,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,17,68%,
25,2017,2017-11-12,9,10,27.281,ATL,,DAL,W 27-7,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,14,64%,
26,2017,2017-11-20,10,11,27.289,ATL,@,SEA,W 34-31,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,18%,18,58%,
27,2017,2017-11-26,11,12,27.295,ATL,,TAM,W 34-20,,0,0,,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,66%,14,54%,
28,2017,2017-12-03,12,13,27.302,ATL,,MIN,L 9-14,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,16,70%,
29,2017,2017-12-07,,14,,ATL,,NOR,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2017,2017-12-17,,15,,ARI,@,WAS,L 15-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2017,2017-12-24,15,16,27.323,ARI,,NYG,W 23-0,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,50%,
32,2017,2017-12-31,16,17,27.330,ARI,@,SEA,W 26-24,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,46%,
33,2018,2018-10-14,6,6,28.252,DAL,,JAX,W 40-7,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,20,65%,
34,2018,2018-10-21,7,7,28.259,DAL,@,WAS,L 17-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,12,43%,
35,2018,2018-11-05,,9,,DAL,,TEN,L 14-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
36,2018,2018-11-11,,10,,DAL,@,PHI,W 27-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
37,2018,2018-11-18,,11,,DAL,@,ATL,W 22-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
38,2018,2018-11-22,,12,,DAL,,WAS,W 31-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
39,2018,2018-11-29,,13,,DAL,,NOR,W 13-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
40,2018,2018-12-09,,14,,DAL,,PHI,W 29-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
41,2018,2018-12-16,,15,,DAL,@,IND,L 0-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
42,2018,2018-12-23,,16,,DAL,,TAM,W 27-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
43,2018,2018-12-30,16,17,28.329,DAL,@,NYG,W 36-35,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,64%,
44,2019,2019-09-08,1,1,29.216,DAL,,NYG,W 35-17,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,62%,
45,2019,2019-09-15,2,2,29.223,DAL,@,WAS,W 31-21,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,58%,
46,2019,2019-09-22,3,3,29.230,DAL,,MIA,W 31-6,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,8,11%,18,64%,
47,2019,2019-09-29,4,4,29.237,DAL,@,NOR,L 10-12,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,14,67%,
48,2019,2019-10-06,5,5,29.244,DAL,,GNB,L 24-34,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,62%,
49,2019,2019-10-13,6,6,29.251,DAL,@,NYJ,L 22-24,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,20%,18,69%,
50,2019,2019-10-20,7,7,29.258,DAL,,PHI,W 37-10,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,16,64%,
51,2019,2019-11-04,8,9,29.273,DAL,@,NYG,W 37-18,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,71%,
52,2019,2019-11-10,9,10,29.279,DAL,,MIN,L 24-28,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,76%,
53,2019,2019-11-17,10,11,29.286,DAL,@,DET,W 35-27,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,23,74%,
54,2019,2019-11-24,11,12,29.293,DAL,@,NWE,L 9-13,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,22,76%,
55,2019,2019-11-28,12,13,29.297,DAL,,BUF,L 15-26,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,19,83%,
56,2019,2019-12-05,13,14,29.304,DAL,@,CHI,L 24-31,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,25,83%,
57,2019,2019-12-15,14,15,29.314,DAL,,LAR,W 44-21,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,55%,
58,2019,2019-12-22,15,16,29.321,DAL,@,PHI,L 9-17,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,43%,
59,2019,2019-12-29,16,17,29.328,DAL,,WAS,W 47-16,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,13,38%,
60,2020,2020-09-13,1,1,30.222,DAL,@,LAR,L 17-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,62%,
