Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,21.359,DAL,@,LAR,L 17-20,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,6,23%,
2,2020,2020-09-20,2,2,22.000,DAL,,ATL,W 40-39,*,0,0,,0,0,0,0.0,6,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,75,100%,8,22%,
3,2020,2020-09-27,3,3,22.007,DAL,@,SEA,L 31-38,*,0,0,,0,0,0,0.0,9,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,76,100%,1,3%,
4,2020,2020-10-04,4,4,22.014,DAL,,CLE,L 38-49,*,0,0,,0,0,0,1.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,99%,1,3%,
5,2020,2020-10-11,5,5,22.021,DAL,,NYG,W 37-34,*,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,50,74%,0,0%,
6,2020,2020-10-19,6,6,22.029,DAL,,ARI,L 10-38,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,60,97%,0,0%,
7,2020,2020-10-25,7,7,22.035,DAL,@,WAS,L 3-25,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,61,88%,0,0%,
8,2020,2020-11-01,8,8,22.042,DAL,@,PHI,L 9-23,*,0,0,,0,0,0,0.0,6,1,7,0,0,2,33,0,4,0,0,0,0,0,0,0,0%,63,98%,0,0%,
9,2020,2020-11-08,9,9,22.049,DAL,,PIT,L 19-24,*,0,0,,0,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,77%,0,0%,
10,2020,2020-11-22,10,11,,DAL,@,MIN,W 31-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,2020,2020-11-26,11,12,,DAL,,WAS,L 16-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,2020,2020-12-08,12,13,,DAL,@,BAL,L 17-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,2020,2020-12-13,13,14,,DAL,@,CIN,W 30-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,2020,2020-12-20,14,15,22.091,DAL,,SFO,W 41-33,,0,0,,0,0,0,0.0,3,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,43,51%,0,0%,
15,2020,2020-12-27,15,16,22.098,DAL,,PHI,W 37-17,*,0,0,,0,0,0,0.0,1,0,1,0,0,1,10,0,1,0,0,0,0,0,0,0,0%,73,100%,0,0%,
16,2020,2021-01-03,16,17,22.105,DAL,@,NYG,L 19-23,*,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,56,97%,0,0%,
17,2021,2021-09-09,1,1,22.354,DAL,@,TAM,L 29-31,*,0,0,,0,0,0,0.0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0%,65,100%,0,0%,
18,2021,2021-09-19,2,2,22.364,DAL,@,LAC,W 20-17,*,0,0,,0,0,0,0.0,6,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,71,100%,0,0%,
19,2021,2021-09-27,3,3,23.007,DAL,,PHI,W 41-21,*,0,0,,0,1,6,0.0,2,0,2,0,0,1,59,1,3,0,0,0,0,0,0,0,0%,54,93%,0,0%,
20,2021,2021-10-03,4,4,23.013,DAL,,CAR,W 36-28,*,0,0,,0,0,0,0.0,4,0,4,0,0,2,23,0,2,0,0,0,0,0,0,0,0%,50,71%,0,0%,
21,2021,2021-10-10,5,5,23.020,DAL,,NYG,W 44-20,*,0,0,,0,0,0,0.0,3,2,5,0,0,1,18,0,2,0,0,0,0,0,0,0,0%,57,84%,0,0%,
22,2021,2021-10-17,6,6,23.027,DAL,@,NWE,W 35-29,*,0,0,,0,1,6,0.0,5,0,5,0,0,1,42,1,1,0,0,0,0,0,0,0,0%,53,98%,0,0%,
