Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,22.086,DAL,@,NYG,W 40-0,,0.0,1,1,2,1,0,0,0%,17,24%,0,0%
2,2023,2023-09-17,2,2,22.093,DAL,,NYJ,W 30-10,,,,,,,,0,0%,11,23%,0,0%
3,2023,2023-09-24,3,3,22.100,DAL,@,ARI,L 16-28,,0.0,0,1,1,0,0,0,0%,12,20%,1,4%
4,2023,2023-10-01,4,4,22.107,DAL,,NWE,W 38-3,,,,,,,,0,0%,17,31%,0,0%
5,2023,2023-10-08,5,5,22.114,DAL,@,SFO,L 10-42,,0.0,1,0,1,0,0,0,0%,22,31%,0,0%
6,2023,2023-10-16,6,6,22.122,DAL,@,LAC,W 20-17,,0.0,0,0,0,0,0,0,0%,18,25%,1,4%
7,2023,2023-10-29,7,8,22.135,DAL,,LAR,W 43-20,,0.0,1,0,1,0,0,0,0%,18,29%,0,0%
8,2023,2023-11-05,8,9,22.142,DAL,@,PHI,L 23-28,,,,,,,,0,0%,12,19%,0,0%
9,2023,2023-11-12,9,10,22.149,DAL,,NYG,W 49-17,,0.0,3,0,3,1,1,0,0%,25,44%,0,0%
10,2023,2023-11-19,10,11,22.156,DAL,@,CAR,W 33-10,,0.0,0,1,1,0,1,0,0%,19,32%,0,0%
11,2023,2023-11-23,11,12,22.160,DAL,,WAS,W 45-10,,0.0,1,0,1,0,0,0,0%,20,26%,0,0%
12,2023,2023-11-30,12,13,22.167,DAL,,SEA,W 41-35,,,,,,,,0,0%,11,16%,0,0%
13,2023,2023-12-10,13,14,22.177,DAL,,PHI,W 33-13,,,,,,,,0,0%,13,24%,1,4%
14,2023,2023-12-17,14,15,22.184,DAL,@,BUF,L 10-31,*,1.0,1,1,2,1,1,0,0%,32,47%,5,21%
15,2023,2023-12-24,15,16,22.191,DAL,@,MIA,L 20-22,*,0.0,1,0,1,0,0,0,0%,26,40%,6,23%
16,2023,2023-12-30,16,17,22.197,DAL,,DET,W 20-19,*,,,,,,,0,0%,16,23%,7,27%
17,2023,2024-01-07,17,18,22.205,DAL,@,WAS,W 38-10,,,,,,,,0,0%,15,31%,0,0%
18,2024,2024-09-08,1,1,23.084,DAL,@,CLE,W 33-17,*,,,,,,,0,0%,23,30%,0,0%
19,2024,2024-09-15,2,2,23.091,DAL,,NOR,L 19-44,*,,,,,,,0,0%,33,56%,0,0%
20,2024,2024-09-22,3,3,23.098,DAL,,BAL,L 25-28,*,0.0,3,0,3,0,0,0,0%,46,73%,0,0%
21,2024,2024-09-26,4,4,23.102,DAL,@,NYG,W 20-15,*,0.0,2,1,3,1,0,0,0%,26,38%,0,0%
22,2024,2024-10-06,5,5,23.112,DAL,@,PIT,W 20-17,*,0.0,3,1,4,0,0,0,0%,28,48%,0,0%
23,2024,2024-10-13,6,6,23.119,DAL,,DET,L 9-47,*,0.0,2,1,3,0,0,0,0%,32,47%,0,0%
24,2024,2024-10-27,7,8,23.133,DAL,@,SFO,L 24-30,*,0.0,1,2,3,0,0,0,0%,38,56%,0,0%
25,2024,2024-11-03,8,9,23.140,DAL,@,ATL,L 21-27,*,,,,,,,0,0%,28,49%,0,0%
26,2024,2024-11-10,9,10,23.147,DAL,,PHI,L 6-34,*,0.0,2,3,5,1,0,0,0%,31,46%,0,0%
27,2024,2024-11-18,10,11,23.155,DAL,,HOU,L 10-34,*,0.0,2,2,4,0,0,0,0%,43,67%,0,0%
