Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,21.158,DAL,@,LAR,L 17-20,*,6,5,59,11.80,0,83.3%,9.83,0,0,,0,0,0,,0,1,20,20.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,3,12%,
2,2020,2020-09-20,2,2,21.165,DAL,,ATL,W 40-39,*,9,6,106,17.67,0,66.7%,11.78,1,9,9.00,0,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,83%,0,0%,4,11%,
3,2020,2020-09-27,3,3,21.172,DAL,@,SEA,L 31-38,*,7,5,65,13.00,0,71.4%,9.29,1,1,1.00,0,0,0,,0,3,32,10.67,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,60%,0,0%,4,12%,
4,2020,2020-10-04,4,4,21.179,DAL,,CLE,L 38-49,*,7,5,79,15.80,2,71.4%,11.29,1,3,3.00,0,0,0,,0,3,26,8.67,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,62,76%,0,0%,6,19%,
5,2020,2020-10-11,5,5,21.186,DAL,,NYG,W 37-34,*,11,8,124,15.50,0,72.7%,11.27,0,0,,0,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,55%,0,0%,2,6%,
6,2020,2020-10-19,6,6,21.194,DAL,,ARI,L 10-38,*,11,7,64,9.14,0,63.6%,5.82,0,0,,0,0,0,,0,2,1,0.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,60,67%,0,0%,3,11%,
7,2020,2020-10-25,7,7,21.200,DAL,@,WAS,L 3-25,,5,0,0,,0,0.0%,0.00,1,1,1.00,0,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,54%,0,0%,1,5%,
8,2020,2020-11-01,8,8,21.207,DAL,@,PHI,L 9-23,,5,4,27,6.75,0,80.0%,5.40,1,19,19.00,0,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,47%,0,0%,1,5%,
9,2020,2020-11-08,9,9,21.214,DAL,,PIT,L 19-24,*,7,4,71,17.75,1,57.1%,10.14,0,0,,0,0,0,,0,1,6,6.00,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,38,53%,0,0%,1,4%,
10,2020,2020-11-22,10,11,21.228,DAL,@,MIN,W 31-28,*,6,4,34,8.50,1,66.7%,5.67,2,12,6.00,0,0,0,,0,3,48,16.00,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,44,67%,0,0%,3,12%,
