Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,24.347,DAL,@,NYG,W 40-0,,,,,,,0.0%,,0,0,,,,,,,16,28%,0,0%,17,71%
2,2023,2023-09-17,2,2,24.354,DAL,,NYJ,W 30-10,,1,1,1,1.00,1,100.0%,1.00,1,6,0.0,0,0,0,0,0,31,36%,0,0%,12,43%
3,2023,2023-09-24,3,3,24.361,DAL,@,ARI,L 16-28,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,19,23%,0,0%,12,48%
4,2023,2023-10-01,4,4,25.003,DAL,,NWE,W 38-3,,3,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,39,56%,0,0%,14,54%
5,2023,2023-10-08,5,5,25.010,DAL,@,SFO,L 10-42,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,20,41%,0,0%,15,56%
6,2023,2023-10-16,6,6,25.018,DAL,@,LAC,W 20-17,,,,,,,0.0%,,0,0,,,,,,,17,27%,0,0%,13,52%
7,2023,2023-10-29,7,8,25.031,DAL,,LAR,W 43-20,,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0,0,0,0,25,38%,0,0%,15,50%
8,2023,2023-11-05,8,9,25.038,DAL,@,PHI,L 23-28,,1,1,0,0.00,0,100.0%,0.00,0,0,0.0,0,0,0,0,0,12,16%,0,0%,10,42%
9,2023,2023-11-12,9,10,25.045,DAL,,NYG,W 49-17,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,28,36%,0,0%,13,42%
10,2023,2023-11-19,10,11,25.052,DAL,@,CAR,W 33-10,,2,2,23,11.50,1,100.0%,11.50,1,6,0.0,0,0,0,0,0,25,35%,0,0%,12,44%
11,2023,2023-11-23,11,12,25.056,DAL,,WAS,W 45-10,,2,1,12,12.00,0,50.0%,6.00,0,0,0.0,0,0,0,0,0,22,41%,0,0%,12,48%
12,2023,2023-11-30,12,13,25.063,DAL,,SEA,W 41-35,,1,1,12,12.00,0,100.0%,12.00,0,0,0.0,0,0,0,0,0,25,28%,0,0%,13,46%
13,2023,2023-12-10,13,14,25.073,DAL,,PHI,W 33-13,,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,19,23%,0,0%,12,48%
14,2023,2023-12-17,14,15,25.080,DAL,@,BUF,L 10-31,,,,,,,0.0%,,0,0,,,,,,,12,21%,0,0%,13,54%
15,2023,2023-12-24,15,16,25.087,DAL,@,MIA,L 20-22,,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,1,0,1,0,0,13,20%,0,0%,13,50%
16,2023,2023-12-30,16,17,25.093,DAL,,DET,W 20-19,,,,,,,0.0%,,0,0,,,,,,,17,26%,0,0%,13,50%
17,2023,2024-01-07,17,18,25.101,DAL,@,WAS,W 38-10,,,,,,,0.0%,,0,0,,,,,,,28,39%,0,0%,11,50%
18,2024,2024-09-08,1,1,25.346,DAL,@,CLE,W 33-17,,,,,,,0.0%,,0,0,,,,,,,19,30%,0,0%,13,36%
19,2024,2024-09-15,2,2,25.353,DAL,,NOR,L 19-44,*,6,6,43,7.17,0,100.0%,7.17,0,0,0.0,0,0,0,0,0,28,40%,0,0%,5,19%
20,2024,2024-09-22,3,3,25.360,DAL,,BAL,L 25-28,,2,1,5,5.00,0,50.0%,2.50,0,0,0.0,0,0,0,0,0,25,31%,0,0%,7,25%
21,2024,2024-09-26,4,4,25.364,DAL,@,NYG,W 20-15,,,,,,,0.0%,,0,0,,,,,,,19,34%,0,0%,9,36%
22,2024,2024-10-06,5,5,26.008,DAL,@,PIT,W 20-17,,2,1,8,8.00,0,50.0%,4.00,0,0,0.0,0,0,0,0,0,20,26%,0,0%,7,29%
23,2024,2024-10-13,6,6,26.015,DAL,,DET,L 9-47,,,,,,,0.0%,,0,0,,,,,,,21,30%,0,0%,5,18%
24,2024,2024-10-27,7,8,26.029,DAL,@,SFO,L 24-30,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,2,3%,0,0%,15,50%
25,2024,2024-11-03,8,9,26.036,DAL,@,ATL,L 21-27,,,,,,,0.0%,,0,0,,,,,,,1,1%,0,0%,12,46%
26,2024,2024-11-10,9,10,26.043,DAL,,PHI,L 6-34,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,11,18%,0,0%,15,54%
27,2024,2024-11-18,10,11,26.051,DAL,,HOU,L 10-34,,10,6,56,9.33,0,60.0%,5.60,0,0,0.0,0,0,0,0,0,44,53%,0,0%,14,52%
