Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
20,2018,2018-09-30,4,4,22.181,IND,,HOU,L 34-37,*,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,86,100%,0,0%,
21,2018,2018-10-04,5,5,22.185,IND,@,NWE,L 24-38,*,0,0,0.0,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,100%,1,3%,
22,2018,2018-10-14,6,6,22.195,IND,@,NYJ,L 34-42,*,0,0,0.0,1,0,1,0,0,1,27,0,1,0,0,0,0,0,0,0,0%,71,100%,0,0%,
23,2018,2018-10-21,7,7,22.202,IND,,BUF,W 37-5,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,88%,0,0%,
24,2018,2018-10-28,,8,,IND,@,OAK,W 42-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2018,2018-11-11,9,10,22.223,IND,,JAX,W 29-26,*,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,75,100%,0,0%,
26,2018,2018-11-18,,11,,IND,,TEN,W 38-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2018,2018-11-25,11,12,22.237,IND,,MIA,W 27-24,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,100%,0,0%,
28,2018,2018-12-02,12,13,22.244,IND,@,JAX,L 0-6,*,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,1,5%,
29,2018,2018-12-09,13,14,22.251,IND,@,HOU,W 24-21,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,100%,0,0%,
30,2018,2018-12-16,14,15,22.258,IND,,DAL,W 23-0,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,100%,0,0%,
31,2018,2018-12-23,15,16,22.265,IND,,NYG,W 28-27,*,0,0,0.0,4,2,6,0,0,1,7,0,1,0,0,0,0,0,0,0,0%,64,100%,5,19%,
32,2018,2018-12-30,16,17,22.272,IND,@,TEN,W 33-17,*,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,49,100%,3,10%,
33,2019,2019-09-08,1,1,23.159,IND,@,LAC,L 24-30,*,0,0,0.0,4,1,5,0,0,1,26,0,1,0,0,0,0,0,0,0,0%,54,86%,5,19%,
34,2019,2019-09-15,2,2,23.166,IND,@,TEN,W 19-17,*,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,3,12%,
35,2019,2019-09-22,3,3,23.173,IND,,ATL,W 27-24,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,70%,2,9%,
36,2019,2019-09-29,,4,,IND,,OAK,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2019,2019-10-06,,5,,IND,@,KAN,W 19-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2019,2019-10-20,,7,,IND,,HOU,W 30-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
