Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,21.161,DAL,,TAM,L 3-19,*,,,,,,0.0%,,,,,,,,,,,,,,69,100%,0,0%,1,4%,
2,2022,2022-09-18,2,2,21.168,DAL,,CIN,W 20-17,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,4,15%,
3,2022,2022-09-26,3,3,21.176,DAL,@,NYG,W 23-16,*,,,,,,0.0%,,,,,,,,,,,,,,64,100%,0,0%,6,21%,
4,2022,2022-10-02,4,4,21.182,DAL,,WAS,W 25-10,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,6,20%,
5,2022,2022-10-09,5,5,21.189,DAL,@,LAR,W 22-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,55,100%,0,0%,5,17%,
6,2022,2022-10-16,6,6,21.196,DAL,@,PHI,L 17-26,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,4,17%,
7,2022,2022-10-23,7,7,21.203,DAL,,DET,W 24-6,*,,,,,,0.0%,,,,,,,,,,,,,,63,100%,0,0%,4,18%,
8,2022,2022-10-30,8,8,21.210,DAL,,CHI,W 49-29,*,,,,,,0.0%,,,,,,,,,,,,,,58,100%,0,0%,7,24%,
9,2022,2022-11-13,9,10,21.224,DAL,@,GNB,L 28-31,*,,,,,,0.0%,,,,,,,,,,,,,,83,100%,0,0%,4,13%,
10,2022,2022-11-20,10,11,21.231,DAL,@,MIN,W 40-3,*,,,,,,0.0%,,,,,,,,,,,,,,72,100%,0,0%,8,29%,
11,2022,2022-11-24,11,12,21.235,DAL,,NYG,W 28-20,*,,,,,,0.0%,,,,,,,,,,,,,,75,100%,0,0%,5,22%,
12,2022,2022-12-04,12,13,21.245,DAL,,IND,W 54-19,*,,,,,,0.0%,,,,,,,,,,,,,,58,85%,0,0%,7,23%,
13,2022,2022-12-11,13,14,21.252,DAL,,HOU,W 27-23,*,,,,,,0.0%,,,,,,,,,,,,,,63,89%,0,0%,5,18%,
14,2022,2022-12-18,14,15,21.259,DAL,@,JAX,L 34-40,*,,,,,,0.0%,,,,,,,,,,,,,,75,100%,0,0%,6,18%,
15,2022,2022-12-24,15,16,21.265,DAL,,PHI,W 40-34,*,,,,,,0.0%,,,,,,,,,,,,,,73,100%,0,0%,8,26%,
16,2022,2022-12-29,16,17,21.270,DAL,@,TEN,W 27-13,*,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,80,100%,0,0%,5,20%,
17,2022,2023-01-08,17,18,21.280,DAL,@,WAS,L 6-26,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,1,3%,
18,2023,2023-09-10,1,1,,DAL,@,NYG,W 40-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2023,2023-09-17,2,2,,DAL,,NYJ,W 30-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2023,2023-09-24,3,3,22.174,DAL,@,ARI,L 16-28,*,,,,,,0.0%,,,,,,,,,,,,,,81,100%,0,0%,4,16%,
21,2023,2023-10-01,4,4,22.181,DAL,,NWE,W 38-3,*,,,,,,0.0%,,,,,,,,,,,,,,70,100%,0,0%,7,27%,
22,2023,2023-10-08,5,5,22.188,DAL,@,SFO,L 10-42,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,49,100%,0,0%,2,7%,
23,2023,2023-10-16,6,6,22.196,DAL,@,LAC,W 20-17,*,,,,,,0.0%,,,,,,,,,,,,,,64,100%,0,0%,4,16%,
