Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
20,2015,2015-10-04,4,4,23.159,DAL,@,NOR,L 20-26,*,,0,0,1.0,3,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,53,73%,6,20%,
21,2015,2015-10-11,5,5,23.166,DAL,,NWE,L 6-30,*,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,58%,7,25%,
22,2015,2015-10-25,6,7,23.180,DAL,@,NYG,L 20-27,*,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,62%,5,19%,
23,2015,2015-11-01,7,8,23.187,DAL,,SEA,L 12-13,,,0,0,0.0,5,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,55%,4,16%,
24,2015,2015-11-08,8,9,23.194,DAL,,PHI,L 27-33,,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,54%,4,12%,
25,2015,2015-11-15,9,10,23.201,DAL,@,TAM,L 6-10,,,0,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,51%,3,14%,
26,2015,2015-11-22,10,11,23.208,DAL,@,MIA,W 24-14,*,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,32,67%,5,21%,
27,2015,2015-11-26,11,12,23.212,DAL,,CAR,L 14-33,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,61%,10,37%,
28,2015,2015-12-07,12,13,23.223,DAL,@,WAS,W 19-16,*,,0,0,2.0,4,0,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0%,47,72%,7,23%,
29,2015,2015-12-13,13,14,23.229,DAL,@,GNB,L 7-28,*,,0,0,1.0,4,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,51,59%,5,19%,
30,2015,2015-12-19,14,15,23.235,DAL,,NYJ,L 16-19,*,,0,0,1.0,6,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,73%,7,24%,
31,2015,2015-12-27,15,16,23.243,DAL,@,BUF,L 6-16,*,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,77%,3,14%,
32,2015,2016-01-03,16,17,23.250,DAL,,WAS,L 23-34,*,1,0,2,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,58%,7,23%,
33,2016,2016-09-11,,1,,DAL,,NYG,L 19-20,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
34,2016,2016-09-18,,2,,DAL,@,WAS,W 27-23,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
35,2016,2016-09-25,,3,,DAL,,CHI,W 31-17,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
36,2016,2016-10-02,,4,,DAL,@,SFO,W 24-17,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
37,2016,2016-10-09,5,5,24.164,DAL,,CIN,W 28-14,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,17,24%,1,5%,
38,2016,2016-10-16,6,6,24.171,DAL,@,GNB,W 30-16,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,29,41%,0,0%,
39,2016,2016-10-30,7,8,24.185,DAL,,PHI,W 29-23,,,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,51%,0,0%,
40,2016,2016-11-06,8,9,24.192,DAL,@,CLE,W 35-10,,,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,32,73%,3,12%,
41,2016,2016-11-13,9,10,24.199,DAL,@,PIT,W 35-30,,,0,0,1.0,4,0,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0%,49,66%,1,3%,
42,2016,2016-11-20,10,11,24.206,DAL,,BAL,W 27-17,*,,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,75%,0,0%,
43,2016,2016-11-24,11,12,24.210,DAL,,WAS,W 31-26,*,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,69%,0,0%,
44,2016,2016-12-01,12,13,24.217,DAL,@,MIN,W 17-15,*,,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,55,74%,3,11%,
45,2016,2016-12-11,13,14,24.227,DAL,@,NYG,L 7-10,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,13,19%,0,0%,
46,2016,2016-12-18,,15,,DAL,,TAM,W 26-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,2016,2016-12-26,,16,,DAL,,DET,W 42-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,2016,2017-01-01,,17,,DAL,@,PHI,L 13-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2017,2017-09-10,1,1,25.135,DAL,,NYG,W 19-3,*,,0,0,1.5,3,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,35,61%,1,4%,
50,2017,2017-09-17,2,2,25.142,DAL,@,DEN,L 17-42,*,,0,0,2.0,5,2,7,1,2,0,0,0,0,0,0,1,0,0,0,0,0%,45,58%,7,23%,
51,2017,2017-09-25,3,3,25.150,DAL,@,ARI,W 28-17,*,,0,0,3.0,5,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0%,56,69%,4,13%,
52,2017,2017-10-01,4,4,25.156,DAL,,LAR,L 30-35,*,,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,48,70%,9,27%,
53,2017,2017-10-08,5,5,25.163,DAL,,GNB,L 31-35,*,,0,0,1.0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,82%,5,19%,
54,2017,2017-10-22,6,7,25.177,DAL,@,SFO,W 40-10,*,,0,0,1.0,2,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0%,52,79%,2,8%,
55,2017,2017-10-29,7,8,25.184,DAL,@,WAS,W 33-19,*,,0,0,1.0,1,1,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0%,37,63%,5,15%,
56,2017,2017-11-05,8,9,25.191,DAL,,KAN,W 28-17,*,,0,0,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,72%,4,16%,
57,2017,2017-11-12,9,10,25.198,DAL,@,ATL,L 7-27,*,,0,0,1.0,2,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,65%,5,23%,
58,2017,2017-11-19,10,11,25.205,DAL,,PHI,L 9-37,*,,0,0,0.0,4,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,39,61%,4,15%,
59,2017,2017-11-23,11,12,25.209,DAL,,LAC,L 6-28,*,,0,0,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,68%,6,32%,
60,2017,2017-11-30,12,13,25.216,DAL,,WAS,W 38-14,*,,0,0,2.0,4,0,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0%,35,58%,3,11%,
61,2017,2017-12-10,13,14,25.226,DAL,@,NYG,W 30-10,*,,0,0,0.0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,59,74%,4,13%,
62,2017,2017-12-17,14,15,25.233,DAL,@,OAK,W 20-17,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,82%,4,17%,
63,2017,2017-12-24,15,16,25.240,DAL,,SEA,L 12-21,*,,0,0,1.0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,34,60%,3,11%,
64,2017,2017-12-31,16,17,25.247,DAL,@,PHI,W 6-0,*,,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,29,49%,1,5%,
65,2018,2018-09-09,1,1,26.134,DAL,@,CAR,L 8-16,*,,0,0,1.0,6,1,7,3,1,0,0,0,0,0,0,0,1,5,0,0,0%,48,72%,3,14%,
66,2018,2018-09-16,2,2,26.141,DAL,,NYG,W 20-13,*,,0,0,1.0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,52,76%,5,19%,
67,2018,2018-09-23,3,3,26.148,DAL,@,SEA,L 13-24,*,,0,0,0.5,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,55,80%,6,21%,
68,2018,2018-09-30,4,4,26.155,DAL,,DET,W 26-24,*,,0,0,3.0,6,2,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0%,40,74%,6,22%,
69,2018,2018-10-07,5,5,26.162,DAL,@,HOU,L 16-19,*,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,76%,5,17%,
70,2018,2018-10-14,6,6,26.169,DAL,,JAX,W 40-7,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,50%,2,6%,
71,2018,2018-10-21,7,7,26.176,DAL,@,WAS,L 17-20,*,,0,0,0.0,4,3,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0%,51,85%,4,14%,
72,2018,2018-11-05,8,9,26.191,DAL,,TEN,L 14-28,*,,0,0,1.0,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,40,57%,4,20%,
73,2018,2018-11-11,9,10,26.197,DAL,@,PHI,W 27-20,*,,0,0,0.0,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,56,90%,4,14%,
74,2018,2018-11-18,10,11,26.204,DAL,@,ATL,W 22-19,*,,0,0,1.5,3,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,47,84%,7,27%,
75,2018,2018-11-22,11,12,26.208,DAL,,WAS,W 31-23,*,,0,0,0.5,2,1,3,0,3,1,13,0,1,0,0,0,0,0,0,0,0%,52,83%,5,16%,
76,2018,2018-11-29,12,13,26.215,DAL,,NOR,W 13-10,*,,0,0,0.0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,79%,4,20%,
77,2018,2018-12-09,13,14,26.225,DAL,,PHI,W 29-23,*,,0,0,0.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,46,88%,6,21%,
78,2018,2018-12-16,14,15,26.232,DAL,@,IND,L 0-23,*,,0,0,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,67%,5,33%,
79,2018,2018-12-23,15,16,26.239,DAL,,TAM,W 27-20,*,,0,0,1.0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,62,78%,3,11%,
80,2018,2018-12-30,16,17,26.246,DAL,@,NYG,W 36-35,*,,0,0,1.0,2,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,11,15%,0,0%,
81,2019,2019-09-08,1,1,27.133,DAL,,NYG,W 35-17,*,,0,0,0.5,1,1,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0%,31,46%,3,12%,
82,2019,2019-09-15,2,2,27.140,DAL,@,WAS,W 31-21,*,,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,75%,4,17%,
83,2019,2019-09-22,3,3,27.147,DAL,,MIA,W 31-6,*,,0,0,1.0,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0%,49,70%,4,14%,
84,2019,2019-09-29,4,4,27.154,DAL,@,NOR,L 10-12,*,,0,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,54%,3,14%,
85,2019,2019-10-06,5,5,27.161,DAL,,GNB,L 24-34,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,63%,4,12%,
86,2019,2019-10-13,6,6,27.168,DAL,@,NYJ,L 22-24,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,72%,3,12%,
87,2019,2019-10-20,7,7,27.175,DAL,,PHI,W 37-10,*,,0,0,1.0,2,2,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,43,72%,2,8%,
88,2019,2019-11-04,8,9,27.190,DAL,@,NYG,W 37-18,*,,0,0,1.0,3,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,45,63%,6,19%,
89,2019,2019-11-10,9,10,27.196,DAL,,MIN,L 24-28,*,,0,0,0.0,5,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,63%,4,16%,
90,2019,2019-11-17,10,11,27.203,DAL,@,DET,W 35-27,*,,0,0,0.0,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,69%,7,23%,
91,2019,2019-11-24,11,12,27.210,DAL,@,NWE,L 9-13,*,,0,0,0.0,4,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,72%,8,28%,
92,2019,2019-11-28,12,13,27.214,DAL,,BUF,L 15-26,*,,0,0,0.5,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,65%,7,30%,
93,2019,2019-12-05,13,14,27.221,DAL,@,CHI,L 24-31,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,73%,5,17%,
94,2019,2019-12-15,14,15,27.231,DAL,,LAR,W 44-21,*,,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,61%,2,6%,
95,2019,2019-12-22,15,16,27.238,DAL,@,PHI,L 9-17,*,,0,0,0.0,2,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0%,42,58%,0,0%,
96,2019,2019-12-29,16,17,27.245,DAL,,WAS,W 47-16,*,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,12,19%,0,0%,
97,2020,2020-09-13,1,1,28.138,DAL,@,LAR,L 17-20,*,,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,46,63%,6,23%,
98,2020,2020-09-20,2,2,28.145,DAL,,ATL,W 40-39,*,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,37%,6,16%,
99,2020,2020-09-27,3,3,28.152,DAL,@,SEA,L 31-38,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,41%,0,0%,
100,2020,2020-10-04,4,4,28.159,DAL,,CLE,L 38-49,*,,0,0,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,50%,3,10%,
101,2020,2020-10-11,5,5,28.166,DAL,,NYG,W 37-34,*,,0,0,1.0,2,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,47,69%,5,15%,
102,2020,2020-10-19,6,6,28.174,DAL,,ARI,L 10-38,*,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,65%,8,30%,
103,2020,2020-10-25,7,7,28.180,DAL,@,WAS,L 3-25,*,,0,0,1.0,4,3,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,62%,3,15%,
104,2020,2020-11-01,8,8,28.187,DAL,@,PHI,L 9-23,*,,0,0,1.0,5,1,6,3,2,0,0,0,0,0,0,1,0,0,0,0,0%,46,72%,1,5%,
105,2020,2020-11-08,9,9,28.194,DAL,,PIT,L 19-24,*,,0,0,0.0,3,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,47,68%,5,19%,
106,2020,2020-11-22,10,11,28.208,DAL,@,MIN,W 31-28,*,,0,0,0.5,1,3,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0%,50,77%,4,15%,
107,2020,2020-11-26,11,12,28.212,DAL,,WAS,L 16-41,*,,0,0,1.0,1,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,35,51%,6,21%,
108,2020,2020-12-08,12,13,28.224,DAL,@,BAL,L 17-34,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,78%,8,29%,
109,2020,2020-12-13,13,14,28.229,DAL,@,CIN,W 30-7,,,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,40,56%,1,5%,
110,2020,2020-12-20,14,15,28.236,DAL,,SFO,W 41-33,*,,0,0,1.0,3,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,52,62%,4,11%,
111,2020,2020-12-27,15,16,28.243,DAL,,PHI,W 37-17,*,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,62%,6,19%,
112,2020,2021-01-03,16,17,28.250,DAL,@,NYG,L 19-23,*,,0,0,1.0,3,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,37,64%,4,13%,
113,2021,2021-09-09,1,1,29.134,DAL,@,TAM,L 29-31,*,,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,43,66%,0,0%,
114,2021,2021-09-19,2,2,,DAL,@,LAC,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
115,2021,2021-09-27,3,3,,DAL,,PHI,W 41-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
116,2021,2021-10-03,4,4,,DAL,,CAR,W 36-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
117,2021,2021-10-10,5,5,,DAL,,NYG,W 44-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
118,2021,2021-10-17,6,6,,DAL,@,NWE,W 35-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
119,2021,2021-10-31,7,8,,DAL,@,MIN,W 20-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
