Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
98,2020,2020-09-20,2,2,26.361,HOU,,BAL,L 16-33,*,8,5,95,19.00,0,62.5%,11.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,90%,0,0%,0,0%,
99,2020,2020-09-27,3,3,27.002,HOU,@,PIT,L 21-28,*,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,87%,0,0%,0,0%,
100,2020,2020-10-04,4,4,27.009,HOU,,MIN,L 23-31,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,94%,0,0%,0,0%,
101,2020,2020-10-11,5,5,27.016,HOU,,JAX,W 30-14,*,12,8,161,20.13,1,66.7%,13.42,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,48,83%,0,0%,0,0%,
102,2020,2020-10-18,6,6,27.023,HOU,@,TEN,L 36-42,*,9,9,68,7.56,1,100.0%,7.56,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,62,87%,0,0%,0,0%,
103,2020,2020-10-25,7,7,27.030,HOU,,GNB,L 20-35,*,9,7,60,8.57,0,77.8%,6.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,81%,0,0%,0,0%,
104,2020,2020-11-08,8,9,27.044,HOU,@,JAX,W 27-25,*,9,3,83,27.67,1,33.3%,9.22,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,58,91%,0,0%,0,0%,
105,2020,2020-11-15,9,10,27.051,HOU,@,CLE,L 7-10,*,8,6,39,6.50,0,75.0%,4.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,96%,0,0%,0,0%,
106,2020,2020-11-22,10,11,27.058,HOU,,NWE,W 27-20,*,5,4,85,21.25,0,80.0%,17.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,
107,2020,2020-11-26,11,12,27.062,HOU,@,DET,W 41-25,*,5,5,85,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,49,86%,0,0%,0,0%,
108,2020,2020-12-06,12,13,27.072,HOU,,IND,L 20-26,*,8,5,65,13.00,0,62.5%,8.13,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,
109,2020,2020-12-13,13,14,,HOU,@,CHI,L 7-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
110,2020,2020-12-20,14,15,27.086,HOU,@,IND,L 20-27,*,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,99%,0,0%,0,0%,
111,2020,2020-12-27,15,16,27.093,HOU,,CIN,L 31-37,*,10,7,141,20.14,1,70.0%,14.10,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,96%,0,0%,0,0%,
112,2020,2021-01-03,16,17,27.100,HOU,,TEN,L 38-41,*,16,11,166,15.09,2,68.8%,10.38,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,60,95%,0,0%,0,0%,
113,2021,2021-09-12,1,1,27.352,HOU,,JAX,W 37-21,*,7,5,132,26.40,0,71.4%,18.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,78%,0,0%,0,0%,
114,2021,2021-09-19,2,2,27.359,HOU,@,CLE,L 21-31,*,14,9,78,8.67,1,64.3%,5.57,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,92%,0,0%,0,0%,
115,2021,2021-09-23,3,3,27.363,HOU,,CAR,L 9-24,*,11,9,112,12.44,0,81.8%,10.18,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,95%,0,0%,0,0%,
116,2021,2021-10-03,4,4,28.008,HOU,@,BUF,L 0-40,*,7,5,47,9.40,0,71.4%,6.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,87%,0,0%,0,0%,
117,2021,2021-10-10,5,5,28.015,HOU,,NWE,L 22-25,*,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,
118,2021,2021-10-17,6,6,28.022,HOU,@,IND,L 3-31,*,13,9,89,9.89,0,69.2%,6.85,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,91%,0,0%,0,0%,
119,2021,2021-10-24,7,7,28.029,HOU,@,ARI,L 5-31,*,7,5,21,4.20,0,71.4%,3.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,
120,2021,2021-10-31,8,8,28.036,HOU,,LAR,L 22-38,*,6,6,83,13.83,1,100.0%,13.83,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,54,89%,0,0%,0,0%,
121,2021,2021-11-07,9,9,28.043,HOU,@,MIA,L 9-17,*,14,6,56,9.33,0,42.9%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,97%,0,0%,0,0%,
122,2021,2021-11-21,10,11,28.057,HOU,@,TEN,W 22-13,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,
123,2021,2021-11-28,11,12,28.064,HOU,,NYJ,L 14-21,*,5,3,45,15.00,1,60.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,47,82%,0,0%,0,0%,
124,2021,2021-12-05,12,13,28.071,HOU,,IND,L 0-31,*,6,3,38,12.67,0,50.0%,6.33,1,16,16.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,43,83%,0,0%,0,0%,
125,2021,2021-12-12,13,14,28.078,HOU,,SEA,L 13-33,*,11,8,101,12.63,0,72.7%,9.18,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,81%,0,0%,0,0%,
126,2021,2021-12-19,14,15,28.085,HOU,@,JAX,W 30-16,*,10,7,102,14.57,2,70.0%,10.20,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,49,83%,0,0%,0,0%,
127,2021,2021-12-26,15,16,,HOU,,LAC,W 41-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
128,2021,2022-01-02,16,17,28.099,HOU,@,SFO,L 7-23,*,11,7,66,9.43,1,63.6%,6.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,53,79%,0,0%,0,0%,
129,2021,2022-01-09,17,18,28.106,HOU,,TEN,L 25-28,*,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,18,32%,0,0%,0,0%,
130,2022,2022-09-11,1,1,28.351,HOU,,IND,T 20-20,*,12,7,82,11.71,0,58.3%,6.83,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,91%,0,0%,0,0%,
131,2022,2022-09-18,2,2,28.358,HOU,@,DEN,L 9-16,*,10,4,54,13.50,0,40.0%,5.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,87%,0,0%,0,0%,
132,2022,2022-09-25,3,3,29.000,HOU,@,CHI,L 20-23,*,7,2,22,11.00,0,28.6%,3.14,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,86%,0,0%,0,0%,
133,2022,2022-10-02,4,4,29.007,HOU,,LAC,L 24-34,*,7,7,57,8.14,1,100.0%,8.14,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,46,81%,0,0%,0,0%,
134,2022,2022-10-09,5,5,29.014,HOU,@,JAX,W 13-6,*,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,78%,0,0%,0,0%,
135,2022,2022-10-23,6,7,29.028,HOU,@,LVR,L 20-38,*,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,89%,0,0%,0,0%,
136,2022,2022-10-30,7,8,29.035,HOU,,TEN,L 10-17,*,6,4,73,18.25,0,66.7%,12.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,81%,0,0%,0,0%,
137,2022,2022-11-03,8,9,,HOU,,PHI,L 17-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
138,2022,2022-11-13,9,10,29.049,HOU,@,NYG,L 16-24,*,7,4,37,9.25,0,57.1%,5.29,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,64%,0,0%,0,0%,
139,2022,2022-11-20,10,11,29.056,HOU,,WAS,L 10-23,*,6,3,70,23.33,0,50.0%,11.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,
140,2022,2022-11-27,11,12,29.063,HOU,@,MIA,L 15-30,*,5,5,59,11.80,0,100.0%,11.80,1,2,2.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,
141,2022,2022-12-04,12,13,,HOU,,CLE,L 14-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
142,2022,2022-12-11,13,14,,HOU,@,DAL,L 23-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
143,2022,2022-12-18,14,15,,HOU,,KAN,L 24-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
144,2022,2022-12-24,15,16,29.090,HOU,@,TEN,W 19-14,*,9,4,34,8.50,1,44.4%,3.78,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,51,76%,0,0%,0,0%,
145,2022,2023-01-01,16,17,29.098,HOU,,JAX,L 3-31,*,7,4,39,9.75,0,57.1%,5.57,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,77%,0,0%,0,0%,
146,2022,2023-01-08,17,18,29.105,HOU,@,IND,W 32-31,*,6,5,106,21.20,1,83.3%,17.67,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,59,91%,0,0%,0,0%,
147,2023,2023-09-10,1,1,29.350,DAL,@,NYG,W 40-0,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,34,59%,0,0%,0,0%,
148,2023,2023-09-17,2,2,,DAL,,NYJ,W 30-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
149,2023,2023-09-24,3,3,29.364,DAL,@,ARI,L 16-28,*,7,2,17,8.50,0,28.6%,2.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,80%,0,0%,0,0%,
150,2023,2023-10-01,4,4,30.006,DAL,,NWE,W 38-3,*,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,49,70%,0,0%,0,0%,
151,2023,2023-10-08,5,5,30.013,DAL,@,SFO,L 10-42,*,4,1,7,7.00,0,25.0%,1.75,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,32,65%,0,0%,0,0%,
152,2023,2023-10-16,6,6,30.021,DAL,@,LAC,W 20-17,*,4,4,36,9.00,1,100.0%,9.00,1,14,14.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,78%,0,0%,0,0%,
153,2023,2023-10-29,7,8,30.034,DAL,,LAR,W 43-20,*,4,3,49,16.33,1,75.0%,12.25,1,3,3.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,40,62%,0,0%,0,0%,
154,2023,2023-11-05,8,9,30.041,DAL,@,PHI,L 23-28,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,77%,0,0%,0,0%,
155,2023,2023-11-12,9,10,30.048,DAL,,NYG,W 49-17,*,10,9,173,19.22,1,90.0%,17.30,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,41,53%,0,0%,0,0%,
156,2023,2023-11-19,10,11,30.055,DAL,@,CAR,W 33-10,*,4,3,42,14.00,0,75.0%,10.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,72%,0,0%,0,0%,
157,2023,2023-11-23,11,12,30.059,DAL,,WAS,W 45-10,*,5,4,72,18.00,1,80.0%,14.40,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,43,80%,0,0%,0,0%,
158,2023,2023-11-30,12,13,30.066,DAL,,SEA,W 41-35,*,4,4,45,11.25,1,100.0%,11.25,0,0,,0,0,0,,0,0,0,,0,1,1,8,0,0,0,0,0,0,80,90%,0,0%,0,0%,
159,2023,2023-12-10,13,14,30.076,DAL,,PHI,W 33-13,*,5,2,37,18.50,0,40.0%,7.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,63,77%,0,0%,0,0%,
160,2023,2023-12-17,14,15,30.083,DAL,@,BUF,L 10-31,*,6,2,10,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,74%,0,0%,0,0%,
161,2023,2023-12-24,15,16,30.090,DAL,@,MIA,L 20-22,*,2,2,14,7.00,1,100.0%,7.00,1,9,9.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,79%,0,0%,0,0%,
162,2023,2023-12-30,16,17,30.096,DAL,,DET,W 20-19,*,8,5,60,12.00,1,62.5%,7.50,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,51,78%,0,0%,1,4%,
163,2023,2024-01-07,17,18,30.104,DAL,@,WAS,W 38-10,*,8,6,39,6.50,1,75.0%,4.88,1,3,3.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,57,79%,0,0%,0,0%,
164,2024,2024-09-08,1,1,30.349,DAL,@,CLE,W 33-17,*,7,4,40,10.00,1,57.1%,5.71,1,5,5.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,79%,0,0%,0,0%,
165,2024,2024-09-15,2,2,30.356,DAL,,NOR,L 19-44,*,2,2,19,9.50,0,100.0%,9.50,1,-3,-3.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,
166,2024,2024-09-22,3,3,30.363,DAL,,BAL,L 25-28,*,6,2,16,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,80%,0,0%,0,0%,
167,2024,2024-09-26,4,4,31.001,DAL,@,NYG,W 20-15,*,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,
168,2024,2024-10-06,5,5,,DAL,@,PIT,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
169,2024,2024-10-13,6,6,,DAL,,DET,L 9-47,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
170,2024,2024-10-27,7,8,,DAL,@,SFO,L 24-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
171,2024,2024-11-03,8,9,,DAL,@,ATL,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
172,2024,2024-11-10,9,10,,DAL,,PHI,L 6-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
173,2024,2024-11-18,10,11,,DAL,,HOU,L 10-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
