Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
13,2014,2014-12-07,,14,,NOR,,CAR,L 10-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,2014,2014-12-15,,15,,NOR,@,CHI,W 31-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2014,2014-12-21,,16,,NOR,,ATL,L 14-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2014,2014-12-28,,17,,NOR,@,TAM,W 23-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2015,2015-09-13,1,1,21.353,NOR,@,ARI,L 19-31,*,8,4,49,12.25,0,50.0%,6.13,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,
18,2015,2015-09-20,2,2,21.360,NOR,,TAM,L 19-26,*,7,5,62,12.40,0,71.4%,8.86,1,-4,-4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,85%,0,0%,0,0%,
19,2015,2015-09-27,3,3,22.002,NOR,@,CAR,L 22-27,*,8,7,79,11.29,0,87.5%,9.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,56,80%,0,0%,0,0%,
20,2015,2015-10-04,4,4,22.009,NOR,,DAL,W 26-20,*,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%,
21,2015,2015-10-11,5,5,22.016,NOR,@,PHI,L 17-39,*,9,5,107,21.40,1,55.6%,11.89,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,61,88%,0,0%,0,0%,
22,2015,2015-10-15,6,6,22.020,NOR,,ATL,W 31-21,,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,76%,0,0%,0,0%,
