Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
32,2022,2022-12-24,15,16,24.317,DAL,,PHI,W 40-34,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,9,13%,14,45%,
33,2022,2022-12-29,16,17,24.322,DAL,@,TEN,W 27-13,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,38%,9,36%,
34,2022,2023-01-08,17,18,24.332,DAL,@,WAS,L 6-26,,,0,0,0.0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,33%,8,24%,
35,2023,2023-09-10,1,1,25.212,DAL,@,NYG,W 40-0,,,0,0,1.0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,30,43%,9,38%,
36,2023,2023-09-17,2,2,25.219,DAL,,NYJ,W 30-10,*,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,30%,9,32%,
37,2023,2023-09-24,3,3,25.226,DAL,@,ARI,L 16-28,,,0,0,,,,,,,,,,,,,,,,,0,0%,18,30%,10,40%,
38,2023,2023-10-01,4,4,25.233,DAL,,NWE,W 38-3,*,1,0,2,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,27%,9,35%,
39,2023,2023-10-08,5,5,25.240,DAL,@,SFO,L 10-42,,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,27%,9,33%,
40,2023,2023-10-16,6,6,25.248,DAL,@,LAC,W 20-17,,,0,0,,,,,,,,,,,,,,,,,0,0%,20,27%,9,36%,
41,2023,2023-10-29,7,8,25.261,DAL,,LAR,W 43-20,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,26%,11,37%,
42,2023,2023-11-05,8,9,25.268,DAL,@,PHI,L 23-28,,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,24%,9,38%,
43,2023,2023-11-12,9,10,25.275,DAL,,NYG,W 49-17,*,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,40%,12,39%,
44,2023,2023-11-19,10,11,25.282,DAL,@,CAR,W 33-10,,,0,0,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,12,20%,12,44%,
45,2023,2023-11-23,11,12,25.286,DAL,,WAS,W 45-10,,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,24%,13,52%,
46,2023,2023-11-30,12,13,25.293,DAL,,SEA,W 41-35,,,0,0,,,,,,,,,,,,,,,,,0,0%,11,16%,13,46%,
47,2023,2023-12-10,13,14,25.303,DAL,,PHI,W 33-13,,,0,0,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,24%,11,44%,
48,2023,2023-12-17,14,15,25.310,DAL,@,BUF,L 10-31,,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,41%,15,63%,
49,2023,2023-12-24,15,16,25.317,DAL,@,MIA,L 20-22,,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,29%,15,58%,
50,2023,2023-12-30,16,17,25.323,DAL,,DET,W 20-19,,,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,22,32%,15,58%,
51,2023,2024-01-07,17,18,25.331,DAL,@,WAS,W 38-10,,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,31%,10,45%,
52,2024,2024-09-08,1,1,26.211,DAL,@,CLE,W 33-17,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,38%,11,31%,
53,2024,2024-09-15,2,2,26.218,DAL,,NOR,L 19-44,,,0,0,1.0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,47%,12,44%,
54,2024,2024-09-22,3,3,26.225,DAL,,BAL,L 25-28,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,13,47%,
55,2024,2024-09-26,4,4,26.229,DAL,@,NYG,W 20-15,,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,36%,11,44%,
56,2024,2024-10-06,5,5,26.239,DAL,@,PIT,W 20-17,*,,0,0,0.5,1,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,90%,9,38%,
57,2024,2024-10-13,6,6,26.246,DAL,,DET,L 9-47,*,,0,0,0.5,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,66%,12,43%,
58,2024,2024-10-27,7,8,26.260,DAL,@,SFO,L 24-30,*,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,85%,10,33%,
59,2024,2024-11-03,8,9,26.267,DAL,@,ATL,L 21-27,*,,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,93%,7,27%,
60,2024,2024-11-10,9,10,26.274,DAL,,PHI,L 6-34,*,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,80%,8,29%,
61,2024,2024-11-18,10,11,26.282,DAL,,HOU,L 10-34,*,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,95%,10,37%,
