Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
35,2022,2022-09-18,2,2,25.106,DAL,,CIN,W 20-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,61,100%,0,0%,4,15%,
36,2022,2022-09-26,3,3,25.114,DAL,@,NYG,W 23-16,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,64,100%,0,0%,6,21%,
37,2022,2022-10-02,4,4,25.120,DAL,,WAS,W 25-10,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,61,100%,0,0%,6,20%,
38,2022,2022-10-09,5,5,25.127,DAL,@,LAR,W 22-10,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,55,100%,0,0%,5,17%,
39,2022,2022-10-16,6,6,25.134,DAL,@,PHI,L 17-26,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,67,100%,0,0%,4,17%,
40,2022,2022-10-23,7,7,25.141,DAL,,DET,W 24-6,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,63,100%,0,0%,4,18%,
41,2022,2022-10-30,8,8,25.148,DAL,,CHI,W 49-29,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,58,100%,0,0%,7,24%,
42,2022,2022-11-13,9,10,25.162,DAL,@,GNB,L 28-31,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,83,100%,0,0%,4,13%,
43,2022,2022-11-20,10,11,25.169,DAL,@,MIN,W 40-3,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,64,89%,0,0%,8,29%,
44,2022,2022-11-24,11,12,25.173,DAL,,NYG,W 28-20,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,75,100%,0,0%,5,22%,
45,2022,2022-12-04,12,13,25.183,DAL,,IND,W 54-19,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,65,96%,0,0%,7,23%,
46,2022,2022-12-11,13,14,25.190,DAL,,HOU,W 27-23,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,33,46%,0,0%,2,7%,
47,2022,2022-12-18,14,15,,DAL,@,JAX,L 34-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,2022,2022-12-24,15,16,,DAL,,PHI,W 40-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2022,2022-12-29,16,17,,DAL,@,TEN,W 27-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2022,2023-01-08,17,18,,DAL,@,WAS,L 6-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,2023,2023-09-10,1,1,26.098,DAL,@,NYG,W 40-0,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,58,100%,0,0%,7,29%,
52,2023,2023-09-17,2,2,26.105,DAL,,NYJ,W 30-10,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,87,100%,0,0%,4,14%,
53,2023,2023-09-24,3,3,26.112,DAL,@,ARI,L 16-28,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,81,100%,0,0%,0,0%,
54,2023,2023-10-01,4,4,26.119,DAL,,NWE,W 38-3,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,70,100%,0,0%,7,27%,
55,2023,2023-10-08,5,5,26.126,DAL,@,SFO,L 10-42,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,100%,0,0%,2,7%,
56,2023,2023-10-16,6,6,26.134,DAL,@,LAC,W 20-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,64,100%,0,0%,4,16%,
57,2023,2023-10-29,7,8,26.147,DAL,,LAR,W 43-20,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,65,100%,0,0%,7,23%,
58,2023,2023-11-05,8,9,26.154,DAL,@,PHI,L 23-28,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,75,100%,0,0%,3,13%,
59,2023,2023-11-12,9,10,26.161,DAL,,NYG,W 49-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,78,100%,0,0%,7,23%,
60,2023,2023-11-19,10,11,26.168,DAL,@,CAR,W 33-10,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,72,100%,0,0%,6,22%,
61,2023,2023-11-23,11,12,26.172,DAL,,WAS,W 45-10,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,54,100%,0,0%,6,24%,
62,2023,2023-11-30,12,13,26.179,DAL,,SEA,W 41-35,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,89,100%,0,0%,7,25%,
63,2023,2023-12-10,13,14,26.189,DAL,,PHI,W 33-13,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,82,100%,0,0%,7,28%,
64,2023,2023-12-17,14,15,26.196,DAL,@,BUF,L 10-31,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,57,100%,0,0%,2,8%,
65,2023,2023-12-24,15,16,26.203,DAL,@,MIA,L 20-22,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,66,100%,0,0%,4,15%,
66,2023,2023-12-30,16,17,26.209,DAL,,DET,W 20-19,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,65,100%,0,0%,4,15%,
67,2023,2024-01-07,17,18,26.217,DAL,@,WAS,W 38-10,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,65,90%,0,0%,8,36%,
68,2024,2024-09-08,1,1,27.096,DAL,@,CLE,W 33-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,63,100%,0,0%,0,0%,
69,2024,2024-09-15,2,2,27.103,DAL,,NOR,L 19-44,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,70,100%,0,0%,0,0%,
70,2024,2024-09-22,3,3,27.110,DAL,,BAL,L 25-28,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,80,100%,0,0%,0,0%,
71,2024,2024-09-26,4,4,27.114,DAL,@,NYG,W 20-15,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,56,100%,0,0%,0,0%,
72,2024,2024-10-06,5,5,27.124,DAL,@,PIT,W 20-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,76,100%,0,0%,4,17%,
73,2024,2024-10-13,6,6,27.131,DAL,,DET,L 9-47,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,69,100%,0,0%,3,11%,
74,2024,2024-10-27,7,8,27.145,DAL,@,SFO,L 24-30,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,62,100%,0,0%,4,13%,
75,2024,2024-11-03,8,9,27.152,DAL,@,ATL,L 21-27,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,77,100%,0,0%,3,12%,
76,2024,2024-11-10,9,10,27.159,DAL,,PHI,L 6-34,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,60,100%,0,0%,2,7%,
77,2024,2024-11-18,10,11,27.167,DAL,,HOU,L 10-34,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,83,100%,0,0%,4,15%,
