Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.236,DAL,,TAM,L 3-19,,,,,,,0.0%,,0,0,,,,,,,,,,,,,11,16%,0,0%,11,46%,
2,2022,2022-09-18,2,2,23.243,DAL,,CIN,W 20-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,34,56%,0,0%,11,42%,
3,2022,2022-09-26,3,3,23.251,DAL,@,NYG,W 23-16,*,3,2,13,6.50,0,66.7%,4.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,
4,2022,2022-10-02,4,4,23.257,DAL,,WAS,W 25-10,,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,28%,0,0%,9,30%,
5,2022,2022-10-09,5,5,23.264,DAL,@,LAR,W 22-10,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,35,64%,0,0%,9,30%,
6,2022,2022-10-16,6,6,23.271,DAL,@,PHI,L 17-26,*,6,4,40,10.00,1,66.7%,6.67,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,34,51%,0,0%,4,17%,
7,2022,2022-10-23,7,7,23.278,DAL,,DET,W 24-6,*,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,38%,0,0%,8,36%,
8,2022,2022-10-30,8,8,23.285,DAL,,CHI,W 49-29,,1,1,1,1.00,1,100.0%,1.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,55%,0,0%,7,24%,
9,2022,2022-11-13,9,10,23.299,DAL,@,GNB,L 28-31,,,,,,,0.0%,,0,0,,,,,,,,,,,,,26,31%,0,0%,11,37%,
10,2022,2022-11-20,10,11,23.306,DAL,@,MIN,W 40-3,,2,2,15,7.50,0,100.0%,7.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,50%,0,0%,4,14%,
11,2022,2022-11-24,11,12,23.310,DAL,,NYG,W 28-20,,3,3,57,19.00,0,100.0%,19.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,48%,0,0%,5,22%,
12,2022,2022-12-04,12,13,23.320,DAL,,IND,W 54-19,*,2,2,-1,-0.50,0,100.0%,-0.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,47%,0,0%,9,29%,
13,2022,2022-12-11,13,14,23.327,DAL,,HOU,W 27-23,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,8,11%,0,0%,6,21%,
14,2022,2022-12-18,14,15,,DAL,@,JAX,L 34-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
