Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,24.256,DAL,@,CLE,W 33-17,,,,,,,0.0%,,19.0,30%,0.0,0%,4.0,11%
2.0,2024.0,2024-09-15,2.0,2.0,24.263,DAL,,NOR,L 19-44,,1.0,0.0,0.0,,0.0,0.0%,0.0,22.0,31%,0.0,0%,1.0,4%
3.0,2024.0,2024-09-22,3.0,3.0,24.27,DAL,,BAL,L 25-28,,,,,,,0.0%,,9.0,11%,0.0,0%,9.0,32%
4.0,2024.0,2024-09-26,4.0,4.0,24.274,DAL,@,NYG,W 20-15,,,,,,,0.0%,,5.0,9%,0.0,0%,9.0,36%
5.0,2024.0,2024-10-06,5.0,5.0,24.284,DAL,@,PIT,W 20-17,,3.0,2.0,20.0,10.0,0.0,66.7%,6.67,15.0,20%,0.0,0%,4.0,17%
6.0,2024.0,2024-10-13,6.0,6.0,24.291,DAL,,DET,L 9-47,,,,,,,0.0%,,13.0,19%,0.0,0%,10.0,36%
7.0,2024.0,2024-10-27,7.0,8.0,24.305,DAL,@,SFO,L 24-30,,2.0,0.0,0.0,,0.0,0.0%,0.0,19.0,31%,0.0,0%,7.0,23%
8.0,2024.0,2024-11-03,8.0,9.0,24.312,DAL,@,ATL,L 21-27,,,,,,,0.0%,,16.0,21%,0.0,0%,5.0,19%
9.0,2024.0,2024-11-10,9.0,10.0,24.319,DAL,,PHI,L 6-34,,,,,,,0.0%,,6.0,10%,0.0,0%,7.0,25%
10.0,2024.0,2024-11-18,10.0,11.0,24.327,DAL,,HOU,L 10-34,,5.0,4.0,42.0,10.5,0.0,80.0%,8.4,41.0,49%,0.0,0%,10.0,37%
