Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,DAL,,TAM,L 3-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-18,2,2,,DAL,,CIN,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2023,2023-10-08,5,5,24.223,DAL,@,SFO,L 10-42,*,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,22,45%,0,0%,18,67%,
23,2023,2023-10-16,6,6,24.231,DAL,@,LAC,W 20-17,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,15,23%,0,0%,21,84%,
24,2023,2023-10-29,7,8,24.244,DAL,,LAR,W 43-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,45%,0,0%,21,70%,
25,2023,2023-11-05,8,9,24.251,DAL,@,PHI,L 23-28,*,5,3,49,16.33,1,60.0%,9.80,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,41%,0,0%,21,88%,
26,2023,2023-11-12,9,10,24.258,DAL,,NYG,W 49-17,*,5,2,2,1.00,0,40.0%,0.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,62%,0,0%,22,71%,
27,2023,2023-11-19,10,11,24.265,DAL,@,CAR,W 33-10,,5,2,12,6.00,0,40.0%,2.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,42%,0,0%,17,63%,
28,2023,2023-11-23,11,12,24.269,DAL,,WAS,W 45-10,,3,2,49,24.50,0,66.7%,16.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,37%,0,0%,17,68%,
29,2023,2023-11-30,12,13,24.276,DAL,,SEA,W 41-35,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,36%,0,0%,21,75%,
30,2023,2023-12-10,13,14,24.286,DAL,,PHI,W 33-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,37,45%,0,0%,17,68%,
31,2023,2023-12-17,14,15,24.293,DAL,@,BUF,L 10-31,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,28,49%,0,0%,10,42%,
