Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1,2017,2017-09-11,1,1,24.244,NOR,@,MIN,L 19-29,,0.0,0,0,0,,,0,0%,0,0%,8,28%
2,2017,2017-09-17,2,2,24.250,NOR,,NWE,L 20-36,,0.0,0,0,0,,,0,0%,0,0%,9,29%
3,2017,2017-09-24,3,3,24.257,NOR,@,CAR,W 34-13,,0.0,0,0,0,,,0,0%,0,0%,10,38%
4,2017,2017-10-01,4,4,24.264,NOR,@,MIA,W 20-0,,0.0,0,0,0,,,0,0%,0,0%,8,42%
5,2017,2017-10-15,5,6,24.278,NOR,,DET,W 52-38,,0.0,0,0,0,,,0,0%,0,0%,17,37%
6,2017,2017-10-22,6,7,24.285,NOR,@,GNB,W 26-17,,0.0,0,0,0,,,0,0%,0,0%,7,27%
7,2017,2017-10-29,7,8,24.292,NOR,,CHI,W 20-12,,0.0,0,0,0,,,0,0%,0,0%,9,35%
8,2017,2017-11-05,8,9,24.299,NOR,,TAM,W 30-10,,0.0,0,0,0,,,0,0%,0,0%,8,30%
9,2017,2017-11-12,9,10,24.306,NOR,@,BUF,W 47-10,,0.0,0,0,0,,,0,0%,0,0%,8,29%
10,2017,2017-11-19,10,11,24.313,NOR,,WAS,W 34-31,,0.0,0,0,0,,,0,0%,0,0%,9,27%
11,2017,2017-11-26,11,12,24.320,NOR,@,LAR,L 20-26,,0.0,0,0,0,,,0,0%,0,0%,11,33%
12,2017,2017-12-03,12,13,24.327,NOR,,CAR,W 31-21,,0.0,0,0,0,,,0,0%,0,0%,10,34%
13,2017,2017-12-07,13,14,24.331,NOR,@,ATL,L 17-20,,0.0,0,0,0,,,0,0%,0,0%,9,38%
14,2017,2017-12-17,14,15,24.341,NOR,,NYJ,W 31-19,,0.0,0,0,0,,,0,0%,0,0%,9,30%
15,2017,2017-12-24,15,16,24.348,NOR,,ATL,W 23-13,,0.0,0,0,0,,,0,0%,0,0%,11,38%
16,2017,2017-12-31,16,17,24.355,NOR,@,TAM,L 24-31,,0.0,0,0,0,,,0,0%,0,0%,9,35%
17,2018,2018-09-09,1,1,25.242,NOR,,TAM,L 40-48,,0.0,0,0,0,,,0,0%,0,0%,7,21%
18,2018,2018-09-16,2,2,25.249,NOR,,CLE,W 21-18,,0.0,0,0,0,,,0,0%,0,0%,8,30%
19,2018,2018-09-23,3,3,25.256,NOR,@,ATL,W 43-37,,0.0,0,0,0,,,0,0%,0,0%,11,31%
20,2018,2018-09-30,4,4,25.263,NOR,@,NYG,W 33-18,,0.0,0,0,0,,,0,0%,0,0%,11,38%
21,2018,2018-10-08,5,5,25.271,NOR,,WAS,W 43-19,,0.0,0,0,0,,,0,0%,0,0%,6,24%
22,2018,2018-10-21,6,7,25.284,NOR,@,BAL,W 24-23,,0.0,1,0,1,0,0,0,0%,0,0%,7,29%
23,2018,2018-10-28,7,8,25.291,NOR,@,MIN,W 30-20,,0.0,0,0,0,,,0,0%,0,0%,8,33%
24,2018,2018-11-04,8,9,25.298,NOR,,LAR,W 45-35,,0.0,0,0,0,,,0,0%,0,0%,9,29%
25,2018,2018-11-11,9,10,25.305,NOR,@,CIN,W 51-14,,0.0,0,0,0,,,0,0%,0,0%,9,32%
26,2018,2018-11-18,10,11,25.312,NOR,,PHI,W 48-7,,0.0,0,0,0,,,0,0%,0,0%,11,39%
27,2018,2018-11-22,11,12,25.316,NOR,,ATL,W 31-17,,0.0,0,0,0,,,0,0%,0,0%,8,35%
28,2018,2018-11-29,12,13,25.323,NOR,@,DAL,L 10-13,,0.0,0,0,0,,,0,0%,0,0%,7,35%
29,2018,2018-12-09,13,14,25.333,NOR,@,TAM,W 28-14,,0.0,0,0,0,,,0,0%,0,0%,7,27%
30,2018,2018-12-17,14,15,25.341,NOR,@,CAR,W 12-9,,0.0,0,0,0,,,0,0%,0,0%,7,35%
31,2018,2018-12-23,15,16,25.347,NOR,,PIT,W 31-28,,0.0,0,0,0,,,0,0%,0,0%,10,34%
32,2018,2018-12-30,16,17,25.354,NOR,,CAR,L 14-33,,0.0,0,0,0,,,0,0%,0,0%,7,28%
33,2019,2019-09-09,1,1,26.242,NOR,,HOU,W 30-28,,,,,,,,0,0%,0,0%,9,30%
34,2019,2019-09-15,2,2,26.248,NOR,@,LAR,L 9-27,,,,,,,,0,0%,0,0%,8,30%
35,2019,2019-09-22,3,3,26.255,NOR,@,SEA,W 33-27,,,,,,,,0,0%,0,0%,11,39%
36,2019,2019-09-29,4,4,26.262,NOR,,DAL,W 12-10,,,,,,,,0,0%,0,0%,8,38%
37,2019,2019-10-06,5,5,26.269,NOR,,TAM,W 31-24,,,,,,,,0,0%,0,0%,9,30%
38,2019,2019-10-13,6,6,26.276,NOR,@,JAX,W 13-6,,,,,,,,0,0%,0,0%,9,39%
39,2019,2019-10-20,7,7,26.283,NOR,@,CHI,W 36-25,,,,,,,,0,0%,0,0%,12,34%
40,2019,2019-10-27,8,8,26.290,NOR,,ARI,W 31-9,,,,,,,,0,0%,0,0%,9,32%
41,2019,2019-11-10,9,10,26.304,NOR,,ATL,L 9-26,,,,,,,,0,0%,0,0%,7,26%
42,2019,2019-11-17,10,11,26.311,NOR,@,TAM,W 34-17,,,,,,,,0,0%,0,0%,9,35%
43,2019,2019-11-24,11,12,26.318,NOR,,CAR,W 34-31,,,,,,,,0,0%,0,0%,10,32%
44,2019,2019-11-28,12,13,26.322,NOR,@,ATL,W 26-18,,,,,,,,0,0%,0,0%,10,33%
45,2019,2019-12-08,13,14,26.332,NOR,,SFO,L 46-48,,,,,,,,0,0%,0,0%,8,22%
46,2019,2019-12-16,14,15,26.340,NOR,,IND,W 34-7,,,,,,,,0,0%,0,0%,8,33%
47,2019,2019-12-22,15,16,26.346,NOR,@,TEN,W 38-28,,,,,,,,0,0%,0,0%,13,36%
48,2019,2019-12-29,16,17,26.353,NOR,@,CAR,W 42-10,,,,,,,,0,0%,0,0%,12,39%
