Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
27,2022,2022-09-18,2,2,26.005,NOR,,TAM,L 10-20,,7,4,40,10.00,0,57.1%,5.71,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,10,38%,
28,2022,2022-09-25,3,3,26.012,NOR,@,CAR,L 14-22,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,47,68%,0,0%,13,45%,
29,2022,2022-10-02,4,4,26.019,NOR,,MIN,L 25-28,,4,3,33,11.00,0,75.0%,8.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,48%,0,0%,16,52%,
30,2022,2022-10-09,5,5,26.026,NOR,,SEA,W 39-32,,2,1,13,13.00,0,50.0%,6.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,57%,0,0%,19,56%,
31,2022,2022-10-16,6,6,26.033,NOR,,CIN,L 26-30,*,6,4,41,10.25,0,66.7%,6.83,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,78%,0,0%,17,59%,
32,2022,2022-10-20,7,7,26.037,NOR,@,ARI,L 34-42,*,5,5,32,6.40,2,100.0%,6.40,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,53,74%,0,0%,16,50%,
33,2022,2022-10-30,8,8,26.047,NOR,,LVR,W 24-0,*,4,2,14,7.00,0,50.0%,3.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,73%,0,0%,6,32%,
34,2022,2022-11-07,9,9,26.055,NOR,,BAL,L 13-27,*,2,2,42,21.00,1,100.0%,21.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,75%,0,0%,9,35%,
35,2022,2022-11-13,10,10,26.061,NOR,@,PIT,L 10-20,*,7,5,44,8.80,1,71.4%,6.29,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,66%,0,0%,7,29%,
36,2022,2022-11-20,11,11,26.068,NOR,,LAR,W 27-20,*,4,3,47,15.67,1,75.0%,11.75,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,63%,0,0%,16,52%,
