Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-11,1,1,22.048,NOR,@,MIN,L 19-29,,7,18,2.57,0,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,,0,0,0,0,0,0,0,0,31,50%,0,0%,8,28%,
2,2017,2017-09-17,2,2,22.054,NOR,,NWE,L 20-36,,1,3,3.00,0,7,3,51,17.00,0,42.9%,7.29,0,0,,0,0,0,,0,0,,,3,71,23.67,0,0,0,,0,,0,0,0,0,0,0,0,0,17,26%,0,0%,8,26%,
3,2017,2017-09-24,3,3,22.061,NOR,@,CAR,W 34-13,,2,37,18.50,1,5,3,5,1.67,0,60.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,17,29%,0,0%,4,15%,
4,2017,2017-10-01,4,4,22.068,NOR,@,MIA,W 20-0,,5,25,5.00,0,10,10,71,7.10,1,100.0%,7.10,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,,1,6,0,0,0,0,0,0,26,35%,0,0%,1,5%,
5,2017,2017-10-15,5,6,22.082,NOR,,DET,W 52-38,*,10,75,7.50,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,44%,0,0%,7,15%,
6,2017,2017-10-22,6,7,22.089,NOR,@,GNB,W 26-17,,9,57,6.33,0,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,49%,0,0%,0,0%,
7,2017,2017-10-29,7,8,22.096,NOR,,CHI,W 20-12,,8,28,3.50,1,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,31,51%,0,0%,1,4%,
8,2017,2017-11-05,8,9,22.103,NOR,,TAM,W 30-10,,10,68,6.80,1,7,6,84,14.00,1,85.7%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,1,1,0,0,0,0,26,43%,0,0%,1,4%,
9,2017,2017-11-12,9,10,22.110,NOR,@,BUF,W 47-10,,12,106,8.83,1,5,5,32,6.40,0,100.0%,6.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,29,38%,0,0%,1,4%,
10,2017,2017-11-19,10,11,22.117,NOR,,WAS,W 34-31,,8,42,5.25,0,9,6,74,12.33,1,66.7%,8.22,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,8,0,0,0,0,0,0,46,65%,0,0%,0,0%,
11,2017,2017-11-26,11,12,22.124,NOR,@,LAR,L 20-26,*,5,87,17.40,1,6,6,101,16.83,1,100.0%,16.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,32,56%,0,0%,1,3%,
12,2017,2017-12-03,12,13,22.131,NOR,,CAR,W 31-21,*,9,60,6.67,2,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,37,58%,0,0%,1,3%,
13,2017,2017-12-07,13,14,22.135,NOR,@,ATL,L 17-20,,1,2,2.00,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,6,12%,0,0%,0,0%,
14,2017,2017-12-17,14,15,22.145,NOR,,NYJ,W 31-19,,12,44,3.67,0,7,6,45,7.50,1,85.7%,6.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,32,48%,0,0%,1,3%,
15,2017,2017-12-24,15,16,22.152,NOR,,ATL,W 23-13,,12,32,2.67,0,9,7,58,8.29,0,77.8%,6.44,0,0,,0,0,0,,0,0,,,2,72,36.00,0,0,0,,0,,0,0,0,0,0,0,0,0,37,58%,0,0%,4,14%,
16,2017,2017-12-31,16,17,22.159,NOR,@,TAM,L 24-31,,9,44,4.89,1,7,6,84,14.00,0,85.7%,12.00,0,0,,0,0,0,,0,0,,,4,155,38.75,1,0,0,,0,,2,12,0,0,0,0,0,0,31,53%,0,0%,6,23%,
17,2018,2018-09-09,1,1,23.046,NOR,,TAM,L 40-48,*,8,29,3.63,2,12,9,112,12.44,1,75.0%,9.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,3,20,0,0,0,0,0,0,52,81%,0,0%,0,0%,
18,2018,2018-09-16,2,2,23.053,NOR,,CLE,W 21-18,*,13,46,3.54,0,6,6,53,8.83,0,100.0%,8.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,2,0,0,0,0,0,0,51,77%,0,0%,2,7%,
19,2018,2018-09-23,3,3,23.060,NOR,@,ATL,W 43-37,*,16,66,4.13,0,20,15,124,8.27,0,75.0%,6.20,0,0,,0,0,0,,0,0,,,0,0,,0,3,16,5.33,0,,0,0,0,0,0,0,0,0,67,85%,0,0%,3,8%,
20,2018,2018-09-30,4,4,23.067,NOR,@,NYG,W 33-18,*,19,134,7.05,3,9,5,47,9.40,0,55.6%,5.22,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,0,59,84%,0,0%,1,3%,
21,2018,2018-10-08,5,5,23.075,NOR,,WAS,W 43-19,,6,24,4.00,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,31,47%,0,0%,4,16%,
22,2018,2018-10-21,6,7,23.088,NOR,@,BAL,W 24-23,*,17,64,3.76,1,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,,1,6,0,0,0,0,0,0,39,55%,0,0%,4,17%,
23,2018,2018-10-28,7,8,23.095,NOR,@,MIN,W 30-20,*,13,45,3.46,1,8,7,31,4.43,1,87.5%,3.88,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,,2,12,0,0,0,0,0,0,38,72%,0,0%,3,12%,
24,2018,2018-11-04,8,9,23.102,NOR,,LAR,W 45-35,*,19,82,4.32,2,5,4,34,8.50,1,80.0%,6.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,0,41,58%,0,0%,1,3%,
25,2018,2018-11-11,9,10,23.109,NOR,@,CIN,W 51-14,*,12,56,4.67,2,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,,2,12,0,0,0,0,0,0,34,45%,0,0%,3,11%,
26,2018,2018-11-18,10,11,23.116,NOR,,PHI,W 48-7,*,13,71,5.46,0,1,1,37,37.00,1,100.0%,37.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,,1,6,0,0,0,0,0,0,44,63%,0,0%,5,18%,
