Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
22,2023,2023-10-08,5,5,23.103,NOR,@,NWE,W 34-0,*,5,2,12,6.00,1,40.0%,2.40,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,79%,0,0%,0,0%,
23,2023,2023-10-15,6,6,23.110,NOR,@,HOU,L 13-20,*,10,7,96,13.71,0,70.0%,9.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,88%,0,0%,0,0%,
24,2023,2023-10-19,7,7,23.114,NOR,,JAX,L 24-31,*,15,7,57,8.14,0,46.7%,3.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,81%,0,0%,0,0%,
25,2023,2023-10-29,8,8,23.124,NOR,@,IND,W 38-27,*,9,5,46,9.20,0,55.6%,5.11,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,74%,0,0%,0,0%,
26,2023,2023-11-05,9,9,23.131,NOR,,CHI,W 24-17,*,8,6,46,7.67,1,75.0%,5.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,71%,0,0%,0,0%,
27,2023,2023-11-12,10,10,23.138,NOR,@,MIN,L 19-27,*,9,6,94,15.67,1,66.7%,10.44,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,81%,0,0%,0,0%,
28,2023,2023-11-26,11,12,23.152,NOR,@,ATL,L 15-24,*,9,7,114,16.29,0,77.8%,12.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,47%,0,0%,0,0%,
29,2023,2023-12-03,12,13,23.159,NOR,,DET,L 28-33,*,8,5,119,23.80,0,62.5%,14.88,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,61%,0,0%,0,0%,
30,2023,2023-12-10,13,14,23.166,NOR,,CAR,W 28-6,,5,4,28,7.00,1,80.0%,5.60,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,65%,0,0%,0,0%,
31,2023,2023-12-17,14,15,,NOR,,NYG,W 24-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
