Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
21,2020,2020-10-19,6,6,24.334,DAL,,ARI,L 10-38,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,28%,0,0%,5,19%,
22,2020,2020-10-25,7,7,24.340,DAL,@,WAS,L 3-25,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,20,35%,0,0%,5,25%,
23,2020,2020-11-01,8,8,24.347,DAL,@,PHI,L 9-23,,2,0,0,,0,0.0%,0.00,2,-11,-5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,24%,0,0%,3,14%,
24,2020,2020-11-08,9,9,24.354,DAL,,PIT,L 19-24,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,15%,0,0%,5,19%,
25,2020,2020-11-22,10,11,25.002,DAL,@,MIN,W 31-28,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,14,21%,0,0%,3,12%,
26,2020,2020-11-26,11,12,25.006,DAL,,WAS,L 16-41,,0,0,0,,0,0.0%,,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,20%,0,0%,3,10%,
27,2020,2020-12-08,12,13,25.018,DAL,@,BAL,L 17-34,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,20,25%,0,0%,3,11%,
28,2020,2020-12-13,13,14,25.023,DAL,@,CIN,W 30-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,7,14%,0,0%,4,19%,
29,2020,2020-12-20,14,15,25.030,DAL,,SFO,W 41-33,,0,0,0,,0,0.0%,,0,0,,0,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,28%,0,0%,11,29%,
30,2020,2020-12-27,15,16,25.037,DAL,,PHI,W 37-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,19%,0,0%,9,29%,
31,2020,2021-01-03,16,17,25.044,DAL,@,NYG,L 19-23,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,8%,0,0%,11,37%,
32,2021,2021-09-09,1,1,25.293,DAL,@,TAM,L 29-31,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,34,40%,0,0%,8,24%,
33,2021,2021-09-19,2,2,25.303,DAL,@,LAC,W 20-17,,2,2,20,10.00,0,100.0%,10.00,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,58%,0,0%,2,11%,
34,2021,2021-09-27,3,3,25.311,DAL,,PHI,W 41-21,,4,2,17,8.50,1,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,38%,0,0%,8,27%,
35,2021,2021-10-03,4,4,25.317,DAL,,CAR,W 36-28,,2,2,30,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,57%,0,0%,5,17%,
36,2021,2021-10-10,5,5,25.324,DAL,,NYG,W 44-20,*,1,1,35,35.00,0,100.0%,35.00,1,6,6.00,0,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,67%,0,0%,2,7%,
37,2021,2021-10-17,6,6,25.331,DAL,@,NWE,W 35-29,*,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,-1,-0.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,44,49%,0,0%,5,18%,
38,2021,2021-10-31,7,8,25.345,DAL,@,MIN,W 20-16,,3,3,84,28.00,1,100.0%,28.00,0,0,,0,1,1,100.00,35,0,0,118.7,0,0,35.00,35.00,0,0,,0,1,7,7.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,58%,0,0%,5,17%,
39,2021,2021-11-07,8,9,25.352,DAL,,DEN,L 16-30,*,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,51,82%,0,0%,4,17%,
40,2021,2021-11-14,9,10,25.359,DAL,,ATL,W 43-3,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1,1%,0,0%,0,0%,
41,2021,2021-11-21,10,11,26.001,DAL,@,KAN,L 9-19,,7,4,36,9.00,0,57.1%,5.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,63%,0,0%,3,11%,
42,2021,2021-11-25,11,12,26.005,DAL,,LVR,L 33-36,*,10,7,104,14.86,0,70.0%,10.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,73%,0,0%,5,12%,
43,2021,2021-12-02,12,13,,DAL,@,NOR,W 27-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,2021,2021-12-12,13,14,26.022,DAL,@,WAS,W 27-20,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,11%,0,0%,2,7%,
45,2021,2021-12-19,14,15,26.029,DAL,@,NYG,W 21-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1,1%,0,0%,0,0%,
46,2021,2021-12-26,15,16,26.036,DAL,,WAS,W 56-14,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,26,36%,0,0%,2,6%,
47,2021,2022-01-02,16,17,26.043,DAL,,ARI,L 22-25,,6,6,35,5.83,1,100.0%,5.83,0,0,,0,1,1,100.00,31,0,0,118.7,0,0,31.00,31.00,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,30,47%,0,0%,0,0%,
48,2021,2022-01-08,17,18,26.049,DAL,@,PHI,W 51-26,,6,5,119,23.80,2,83.3%,19.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,42,68%,0,0%,1,3%,
