Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,NOR,,CAR,W 47-10,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,NOR,@,DAL,W 44-19,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,NOR,,PHI,L 12-15,Did Not Play
4.0,2024.0,2024-09-29,4.0,4.0,,NOR,@,ATL,L 24-26,Did Not Play
5.0,2024.0,2024-10-07,5.0,5.0,,NOR,@,KAN,L 13-26,Did Not Play
6.0,2024.0,2024-10-13,6.0,6.0,,NOR,,TAM,L 27-51,Did Not Play
7.0,2024.0,2024-10-17,7.0,7.0,,NOR,,DEN,L 10-33,Did Not Play
8.0,2024.0,2024-10-27,8.0,8.0,,NOR,@,LAC,L 8-26,Did Not Play
9.0,2024.0,2024-11-03,9.0,9.0,,NOR,@,CAR,L 22-23,Did Not Play
10.0,2024.0,2024-11-10,10.0,10.0,,NOR,,ATL,W 20-17,Did Not Play
11.0,2024.0,2024-11-17,11.0,11.0,,NOR,,CLE,W 35-14,Did Not Play
