Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
34,2019,2019-09-15,,2,,GNB,,MIN,W 21-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2019,2019-09-22,3,3,26.054,GNB,,DEN,W 27-16,,,,,,,,,,,,0,,,0,0,0,1,2%,0,0%,6,23%,
36,2019,2019-09-26,4,4,26.058,GNB,,PHI,L 27-34,,,,,,,,,,,,0,,,0,0,0,2,3%,0,0%,5,19%,
37,2019,2019-10-06,5,5,26.068,GNB,@,DAL,W 34-24,,,,,,,,,,,,0,,,0,0,0,54,75%,0,0%,6,18%,
38,2019,2019-10-14,6,6,26.076,GNB,,DET,W 23-22,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,6,19%,
39,2019,2019-10-20,7,7,26.082,GNB,,OAK,W 42-24,,,,,,,,,,,,0,,,0,0,0,6,10%,0,0%,6,22%,
40,2019,2019-10-27,8,8,26.089,GNB,@,KAN,W 31-24,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,5,19%,
41,2019,2019-11-03,9,9,26.096,GNB,@,LAC,L 11-26,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,1,4%,
42,2019,2019-11-10,10,10,26.103,GNB,,CAR,W 24-16,,,,,,,,,,,,0,,,0,0,0,2,3%,0,0%,5,22%,
43,2019,2019-11-24,,12,,GNB,@,SFO,L 8-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2019,2019-12-01,12,13,26.124,GNB,@,NYG,W 31-13,,,,,,,,,,,,0,,,0,0,0,2,3%,0,0%,5,23%,
45,2019,2019-12-08,13,14,26.131,GNB,,WAS,W 20-15,,,,,,,,,,,,0,,,0,0,0,2,3%,0,0%,4,16%,
46,2019,2019-12-15,14,15,26.138,GNB,,CHI,W 21-13,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,3,11%,
47,2019,2019-12-23,15,16,26.146,GNB,@,MIN,W 23-10,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,4,15%,
48,2019,2019-12-29,16,17,26.152,GNB,@,DET,W 23-20,,,,,,,,,,,,0,,,0,0,0,68,77%,0,0%,6,19%,
49,2020,2020-09-13,1,1,27.045,GNB,@,MIN,W 43-34,*,,,,,,,,,,,0,,,0,0,0,32,41%,0,0%,4,15%,
50,2020,2020-09-20,2,2,27.052,GNB,,DET,W 42-21,*,,,,,,,,,,,0,,,0,0,0,73,100%,0,0%,6,20%,
51,2020,2020-09-27,3,3,27.059,GNB,@,NOR,W 37-30,*,,,,,,,,,,,0,,,0,0,0,62,100%,0,0%,7,22%,
52,2020,2020-10-05,4,4,27.067,GNB,,ATL,W 30-16,*,,,,,,,,,,,0,,,0,0,0,63,100%,0,0%,5,22%,
53,2020,2020-10-18,5,6,27.080,GNB,@,TAM,L 10-38,*,,,,,,,,,,,0,,,0,0,0,63,100%,0,0%,2,7%,
54,2020,2020-10-25,6,7,27.087,GNB,@,HOU,W 35-20,*,,,,,,,,,,,0,,,0,0,0,62,100%,0,0%,5,17%,
55,2020,2020-11-01,7,8,27.094,GNB,,MIN,L 22-28,*,,,,,,,,,,,0,,,0,0,0,74,100%,0,0%,2,11%,
56,2020,2020-11-05,8,9,27.098,GNB,@,SFO,W 34-17,*,,,,,,,,,,,0,,,0,0,0,66,100%,0,0%,6,22%,
57,2020,2020-11-15,9,10,27.108,GNB,,JAX,W 24-20,*,,,,,,,,,,,0,,,0,0,0,65,100%,0,0%,4,13%,
58,2020,2020-11-22,10,11,27.115,GNB,@,IND,L 31-34,*,,,,,,,,,,,0,,,0,0,0,60,100%,0,0%,5,16%,
59,2020,2020-11-29,11,12,27.122,GNB,,CHI,W 41-25,*,,,,,,,,,,,0,,,0,0,0,58,82%,0,0%,4,16%,
60,2020,2020-12-06,12,13,27.129,GNB,,PHI,W 30-16,*,,,,,,,,,,,0,,,0,0,0,61,100%,0,0%,0,0%,
61,2020,2020-12-13,13,14,27.136,GNB,@,DET,W 31-24,*,,,,,,,,,,,0,,,0,0,0,67,100%,0,0%,6,23%,
62,2020,2020-12-19,14,15,27.142,GNB,,CAR,W 24-16,*,,,,,,,,,,,0,,,0,0,0,62,100%,0,0%,4,14%,
63,2020,2020-12-27,15,16,27.150,GNB,,TEN,W 40-14,,,,,,,,,,,,0,,,0,0,0,25,38%,0,0%,6,27%,
64,2020,2021-01-03,16,17,27.157,GNB,@,CHI,W 35-16,*,,,,,,,,,,,0,,,0,0,0,46,100%,0,0%,5,22%,
65,2021,2021-09-12,1,1,28.044,GNB,@,NOR,L 3-38,*,,,,,,,,,,,,,,,,,57,100%,0,0%,1,5%,
66,2021,2021-09-20,2,2,28.052,GNB,,DET,W 35-17,,,,,,,,,,,,,,,,,,0,0%,0,0%,5,22%,
67,2021,2021-09-26,3,3,28.058,GNB,@,SFO,W 30-28,,,,,,,,,,,,,,,,,,0,0%,0,0%,6,22%,
68,2021,2021-10-03,4,4,28.065,GNB,,PIT,W 27-17,,,,,,,,,,,,,,,,,,0,0%,0,0%,6,24%,
69,2021,2021-10-10,5,5,28.072,GNB,@,CIN,W 25-22,*,,,,,,,,,,,,,,,,,64,100%,0,0%,0,0%,
70,2021,2021-10-17,6,6,28.079,GNB,@,CHI,W 24-14,,,,,,,,,,,,,,,,,,55,93%,0,0%,3,14%,
71,2021,2021-10-24,7,7,28.086,GNB,,WAS,W 24-10,*,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,0,0,56,100%,0,0%,0,0%,
72,2021,2021-10-28,8,8,28.090,GNB,@,ARI,W 24-21,*,,,,,,,,,,,,,,,,,73,100%,0,0%,0,0%,
73,2021,2021-11-07,9,9,28.100,GNB,@,KAN,L 7-13,*,,,,,,,,,,,,,,,,,63,100%,0,0%,0,0%,
74,2021,2021-11-14,10,10,28.107,GNB,,SEA,W 17-0,*,,,,,,,,,,,,,,,,,74,100%,0,0%,4,22%,
75,2021,2021-11-21,11,11,28.114,GNB,@,MIN,L 31-34,*,,,,,,,,,,,,,,,,,59,100%,0,0%,6,21%,
76,2021,2021-11-28,12,12,28.121,GNB,,LAR,W 36-28,*,,,,,,,,,,,,,,,,,82,100%,0,0%,7,19%,
77,2021,2021-12-12,13,14,28.135,GNB,,CHI,W 45-30,*,,,,,,,,,,,,,,,,,65,100%,0,0%,7,19%,
78,2021,2021-12-19,14,15,28.142,GNB,@,BAL,W 31-30,*,,,,,,,,,,,,,,,,,62,100%,0,0%,5,20%,
79,2021,2021-12-25,15,16,28.148,GNB,,CLE,W 24-22,*,,,,,,,,,,,,,,,,,59,100%,0,0%,4,17%,
80,2021,2022-01-02,16,17,28.156,GNB,,MIN,W 37-10,*,,,,,,,,,,,,,,,,,74,99%,0,0%,7,26%,
81,2021,2022-01-09,17,18,28.163,GNB,@,DET,L 30-37,*,,,,,,,,,,,,,,,,,68,100%,0,0%,3,11%,
82,2022,2022-09-11,1,1,29.043,CHI,,SFO,W 19-10,,,,,,,,,,,,,,,,,,27,47%,0,0%,0,0%,
83,2022,2022-09-18,2,2,29.050,CHI,@,GNB,L 10-27,,,,,,,,,,,,,,,,,,22,54%,0,0%,0,0%,
84,2022,2022-09-25,3,3,29.057,CHI,,HOU,W 23-20,*,,,,,,,,,,,,,,,,,41,65%,0,0%,1,3%,
85,2022,2022-10-02,4,4,29.064,CHI,@,NYG,L 12-20,*,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,-18,0,50,81%,0,0%,2,7%,
86,2022,2022-10-09,5,5,29.071,CHI,@,MIN,L 22-29,*,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,11,0,50,100%,0,0%,4,17%,
87,2022,2022-10-13,6,6,29.075,CHI,,WAS,L 7-12,*,,,,,,,,,,,,,,,,,69,96%,0,0%,0,0%,
88,2022,2022-10-24,7,7,29.086,CHI,@,NWE,W 33-14,*,,,,,,,,,,,,,,,,,10,14%,0,0%,1,4%,
89,2022,2022-10-30,8,8,,CHI,@,DAL,L 29-49,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2022,2022-11-06,9,9,,CHI,,MIA,L 32-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
91,2022,2022-11-13,10,10,,CHI,,DET,L 30-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
92,2022,2022-11-20,11,11,,CHI,@,ATL,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
93,2022,2022-11-27,12,12,,CHI,@,NYJ,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
94,2022,2022-12-04,13,13,,CHI,,GNB,L 19-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
95,2022,2022-12-18,14,15,,CHI,,PHI,L 20-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
96,2022,2022-12-24,15,16,,CHI,,BUF,L 13-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
97,2022,2023-01-01,16,17,,CHI,@,DET,L 10-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
98,2022,2023-01-08,17,18,,CHI,,MIN,L 13-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
99,2023,2023-09-10,1,1,30.042,CHI,,GNB,L 20-38,*,,,,,,,,,,,,,,,,,74,100%,0,0%,2,7%,
100,2023,2023-09-17,2,2,30.049,CHI,@,TAM,L 17-27,*,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,0,0,51,96%,0,0%,3,11%,
101,2023,2023-09-24,3,3,30.056,CHI,@,KAN,L 10-41,*,,,,,,,,,,,,,,,,,51,100%,0,0%,2,8%,
102,2023,2023-10-01,4,4,30.063,CHI,,DEN,L 28-31,*,,,,,,,,,,,,,,,,,72,100%,0,0%,4,15%,
103,2023,2023-10-05,5,5,30.067,CHI,@,WAS,W 40-20,*,,,,,,,,,,,,,,,,,22,34%,0,0%,3,10%,
104,2023,2023-10-15,6,6,30.077,CHI,,MIN,L 13-19,,,,,,,,,,,,,,,,,,21,32%,0,0%,3,12%,
105,2023,2023-10-22,7,7,30.084,CHI,,LVR,W 30-12,*,,,,,,,,,,,,,,,,,69,97%,0,0%,5,22%,
106,2023,2023-10-29,8,8,30.091,CHI,@,LAC,L 13-30,*,,,,,,,,,,,,,,,,,65,98%,0,0%,1,5%,
107,2023,2023-11-05,9,9,30.098,CHI,@,NOR,L 17-24,*,0,0,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,68,100%,0,0%,4,17%,
108,2023,2023-11-09,10,10,30.102,CHI,,CAR,W 16-13,*,,,,,,,,,,,,,,,,,72,100%,0,0%,4,14%,
109,2023,2023-11-19,11,11,30.112,CHI,@,DET,L 26-31,*,,,,,,,,,,,,,,,,,35,47%,0,0%,2,8%,
110,2023,2023-11-27,12,12,30.120,CHI,@,MIN,W 12-10,*,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,0,0,70,100%,0,0%,5,25%,
111,2023,2023-12-10,13,14,30.133,CHI,,DET,W 28-13,*,,,,,,,,,,,,,,,,,71,100%,0,0%,5,21%,
112,2023,2023-12-17,14,15,30.140,CHI,@,CLE,L 17-20,*,,,,,,,,,,,,,,,,,73,100%,0,0%,3,9%,
113,2023,2023-12-24,15,16,30.147,CHI,,ARI,W 27-16,*,,,,,,,,,,,,,,,,,70,100%,0,0%,5,17%,
114,2023,2023-12-31,16,17,30.154,CHI,,ATL,W 37-17,*,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,74,100%,0,0%,8,25%,
