Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
29,2020,2020-12-13,13,14,,KAN,@,MIA,W 33-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2020,2020-12-20,14,15,,KAN,@,NOR,W 32-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2020,2020-12-27,15,16,,KAN,,ATL,W 17-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2020,2021-01-03,16,17,24.147,KAN,,LAC,L 21-38,*,0.0,2,0,2,0,0,0,0,0,0,0,0%,51,71%,4,18%,
33,2021,2021-09-12,1,1,25.034,KAN,,CLE,W 33-29,,0.0,0,1,1,0,0,0,0,0,0,0,0%,11,19%,0,0%,
34,2021,2021-09-19,2,2,25.041,KAN,@,BAL,L 35-36,,0.0,1,2,3,0,0,0,0,0,0,0,0%,29,38%,0,0%,
35,2021,2021-09-26,3,3,25.048,KAN,,LAC,L 24-30,,0.0,0,0,0,0,0,0,0,0,0,0,0%,24,36%,0,0%,
36,2021,2021-10-03,4,4,25.055,KAN,@,PHI,W 42-30,,,,,,,,,,,,0,0%,23,31%,0,0%,
37,2021,2021-10-10,5,5,25.062,KAN,,BUF,L 20-38,,,,,,,,,,,,0,0%,20,35%,0,0%,
38,2021,2021-10-17,6,6,25.069,KAN,@,WAS,W 31-13,,0.0,0,0,0,0,0,0,0,0,0,0,0%,14,24%,0,0%,
39,2021,2021-10-24,7,7,25.076,KAN,@,TEN,L 3-27,,0.0,1,3,4,0,0,0,0,0,0,0,0%,23,34%,0,0%,
40,2021,2021-11-01,8,8,,KAN,,NYG,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2021,2021-11-07,9,9,,KAN,,GNB,W 13-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,2021,2021-11-14,10,10,,KAN,@,LVR,W 41-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2021,2021-11-21,11,11,,KAN,,DAL,W 19-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,2021,2021-12-05,12,13,,KAN,,DEN,W 22-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
